pair,label,split,population,n,harm_n,nonharm_n,total_n,fraction,full_triples,subset_triples,harmful_triples,noharm_triples,mean_confidence,utility,prevalence,prevalence_lo,prevalence_hi,prevalence_valid_replicates,auroc,auroc_lo,auroc_hi,auroc_valid_replicates,ap,ap_lo,ap_hi,ap_valid_replicates,ap_lift,ap_lift_lo,ap_lift_hi,ap_lift_valid_replicates,bootstrap_replicates,bootstrap_seed
mkgw_mhyper_native,W-N,dev_oof,all,25656,5863,19793,25656,1.0,4276,4276,2658,4227,0.1627168656056036,0.0031292426108172175,0.22852354225132523,0.22158559401309635,0.2356563766760212,2000,0.4731747938769884,0.4628052143458003,0.48323355080560415,2000,0.20154501910560366,0.19465770424431308,0.2088071984845427,2000,-0.026978523145721578,-0.0306265856097674,-0.023321814251296005,2000,2000,20260915
mkgw_mhyper_native,W-N,dev_oof,proposed,23061,5863,17198,25656,0.8988540692235735,4276,4276,2658,4174,0.1796208051649414,0.003481368909549739,0.25423875807640606,0.24655364096227128,0.26198890847636397,2000,0.5445582614084907,0.5330278965681237,0.5554991269212147,2000,0.2825801612741523,0.27203143107212574,0.2940002211467821,2000,0.02834140319774625,0.021038548387923538,0.03653238910783009,2000,2000,20260915
mkgw_mhyper_native,W-N,dev_oof,executed,16238,3837,12401,25656,0.6329123791705644,4276,4036,1908,3727,0.22942443420407696,0.004851280956561565,0.236297573592807,0.2276735897875988,0.24540870634230916,2000,0.5246666867159968,0.5108095814173412,0.5381666379284038,2000,0.2538817896599301,0.24241824817101812,0.2671480596309819,2000,0.01758421606712307,0.00917536090588096,0.02698150313696162,2000,2000,20260915
mkgw_mhyper_native,W-N,test,all,25644,5804,19840,25644,1.0,4274,4274,2642,4222,0.1629971428436555,0.002436276204252291,0.22632974574949305,0.21903759163936984,0.2336218998596163,2000,0.4634118563601854,0.45343795767790157,0.4741924038476088,2000,0.19599889451985913,0.18909950507624257,0.20284079526999352,2000,-0.030330851229633915,-0.0337381197287041,-0.026567275856543584,2000,2000,20260916
mkgw_mhyper_native,W-N,test,proposed,22848,5804,17044,25644,0.8909686476368741,4274,4274,2642,4156,0.1813082387893899,0.002734412945634005,0.2540266106442577,0.24593716423247824,0.26231293658567845,2000,0.5394327170961088,0.5282048479755854,0.5514642673067551,2000,0.27616997761572654,0.2653526706887214,0.287192271669672,2000,0.022143366971468847,0.01517338345161542,0.030297848215762316,2000,2000,20260916
mkgw_mhyper_native,W-N,test,executed,16240,3885,12355,25644,0.6332865387615036,4274,4038,1955,3732,0.22970352067626112,0.0038634149296685595,0.23922413793103448,0.23005586723952823,0.2482104024415477,2000,0.5253793424574484,0.5113262422888593,0.5396208667218018,2000,0.25576769329577215,0.24337233112602535,0.2686067832504707,2000,0.016543555364737672,0.008575324049539654,0.02627523657301114,2000,2000,20260916
mkgw_mhyper_adamf,W-A,dev_oof,all,25656,1702,23954,25656,1.0,4276,4276,1121,4274,0.145591854202121,0.0008054211096483177,0.06633925787340193,0.06244153414405987,0.07019897879638291,2000,0.4598545444573702,0.44607861078638916,0.47283750461671453,2000,0.05567020611558513,0.052076307944597625,0.05921733117393398,2000,-0.010669051757816801,-0.01213751128858191,-0.009127875599780781,2000,2000,20260917
mkgw_mhyper_adamf,W-A,dev_oof,proposed,9966,1702,8264,25656,0.3884471468662301,4276,3467,1121,3300,0.1372746523957664,0.0020734380884143326,0.17078065422436284,0.16121479885273846,0.17966590119167491,2000,0.4542325283846918,0.4371074722228034,0.47097503254757367,2000,0.15169854440686395,0.1420230592093596,0.16252308667465018,2000,-0.019082109817498888,-0.02455730399931348,-0.011943167500402538,2000,2000,20260917
mkgw_mhyper_adamf,W-A,dev_oof,executed,4998,961,4037,25656,0.19480823199251637,4276,2199,677,1997,0.21362807928641941,0.006179907745632489,0.19227691076430573,0.17937296009877365,0.2055412948637519,2000,0.5068608348839829,0.4831356024395659,0.5307723866080888,2000,0.19195048330564748,0.17729063514736468,0.2108530937896842,2000,-0.0003264274586582405,-0.010920933117226339,0.013565269082004878,2000,2000,20260917
mkgw_mhyper_adamf,W-A,test,all,25644,1696,23948,25644,1.0,4274,4274,1147,4271,0.14540998388486423,0.0010464960385770253,0.06613632818593043,0.06235279207611917,0.0699578848853533,2000,0.467789610390122,0.45350077178592857,0.48122058041660554,2000,0.05653883755873551,0.05306877402915537,0.06009582393639715,2000,-0.009597490627194921,-0.011164408546108374,-0.007961376325026203,2000,2000,20260918
mkgw_mhyper_adamf,W-A,test,proposed,10156,1696,8460,25644,0.39603805958508814,4274,3524,1147,3346,0.13929743594341915,0.002642412801621626,0.16699487987396613,0.158119831512838,0.17596633565263925,2000,0.4699774744636246,0.4531408922416819,0.4874243589687109,2000,0.15396008564584976,0.144083788098445,0.16527856785451672,2000,-0.013034794228116375,-0.01895623805334386,-0.005637478266690167,2000,2000,20260918
mkgw_mhyper_adamf,W-A,test,executed,5204,928,4276,25644,0.20293245983465918,4274,2285,666,2085,0.21429583918899386,0.00499630080362509,0.17832436587240585,0.16579765607348712,0.19121018073788987,2000,0.5000255788119738,0.47810335923189445,0.5216970438723216,2000,0.17464453306262112,0.16080216462155764,0.19092827251423813,2000,-0.0036798328097847333,-0.012372089993612775,0.007759552229968613,2000,2000,20260918
db15k_mhyper_native,D-N,dev_oof,all,47532,2519,45013,47532,1.0,7922,7922,1834,7920,0.12937866707849635,5.69242157046324e-05,0.05299587646217285,0.05055541529916688,0.05549945300008415,2000,0.3571735665582984,0.3481935207213235,0.36655855208974136,2000,0.0373809928381654,0.03565674573912093,0.03919619138955969,2000,-0.015614883624007453,-0.016501034227033966,-0.01463924501318884,2000,2000,20260919
db15k_mhyper_native,D-N,dev_oof,proposed,16792,2519,14273,47532,0.3532777918034166,7922,5821,1834,5520,0.1524973252453808,0.00016113159962318876,0.15001191043353979,0.14331036357687552,0.1565716005576174,2000,0.47665392425539,0.4634300019313305,0.4901416562261606,2000,0.14438672107535666,0.13682265028076165,0.15335860637988297,2000,-0.005625189358183125,-0.010561545504764628,0.0005297609901127215,2000,2000,20260919
db15k_mhyper_native,D-N,dev_oof,executed,4807,783,4024,47532,0.10113186905663553,7922,2497,635,2248,0.20901767377934952,-8.720508106459619e-05,0.16288745579363428,0.15078161671057771,0.1742869912401321,2000,0.46041360394465897,0.43820755789621113,0.48646871506069167,2000,0.14505769258476756,0.13311914011161374,0.1593584201378438,2000,-0.017829763208866728,-0.024596830249965004,-0.007942621625445366,2000,2000,20260919
db15k_mhyper_native,D-N,test,all,59412,3164,56248,59412,1.0,9902,9902,2248,9901,0.12954331459845536,-0.00014714892820924416,0.05325523463273413,0.051067124486635695,0.05549383962835791,2000,0.3499739100149042,0.3419160628612782,0.35850806375202854,2000,0.037230969980688804,0.03568595381952186,0.03887985586373316,2000,-0.016024264652045324,-0.016837656126622632,-0.015175490629883673,2000,2000,20260920
db15k_mhyper_native,D-N,test,proposed,20143,3164,16979,59412,0.3390392513296977,9902,7070,2248,6697,0.15441892876537522,-0.00043401738185809536,0.15707690016382864,0.15103721411579152,0.16315126417682974,2000,0.47605961003810093,0.46441234116038865,0.4879870405554449,2000,0.15060315460133375,0.14353417370527616,0.15894283462487094,2000,-0.006473745562494887,-0.011117366127652935,-0.0010892596285361673,2000,2000,20260920
db15k_mhyper_native,D-N,test,executed,4678,846,3832,59412,0.07873830202652662,9902,2977,706,2603,0.24310898635112943,-0.0010315596417548323,0.18084651560495937,0.16843172431493364,0.19271059497653567,2000,0.48897396319163744,0.466586904829011,0.5106457830876422,2000,0.17569322658523695,0.16148669369891241,0.19275866729833505,2000,-0.0051532890197224235,-0.014742681006490017,0.007380284202355419,2000,2000,20260920
db15k_mhyper_adamf,D-A,dev_oof,all,47532,3463,44069,47532,1.0,7922,7922,2308,7915,0.10833591476890288,-0.002099700538249607,0.07285618109904907,0.06988923251704116,0.0758436421779012,2000,0.39853513588379735,0.3890773466929627,0.4077810284141102,2000,0.054696668732449556,0.05247457836136535,0.05701714029912544,2000,-0.01815951236659951,-0.019302570553637224,-0.016983944263916178,2000,2000,20260921
db15k_mhyper_adamf,D-A,dev_oof,proposed,19200,3463,15737,47532,0.4039383993940924,7922,5846,2308,5602,0.11422482010391026,-0.0051980711450041826,0.18036458333333333,0.1740709721647975,0.18678159929412896,2000,0.45156735577996615,0.4394172316035085,0.46390070419796153,2000,0.16137129856819826,0.15426277932553775,0.16899507169015215,2000,-0.018993284765135066,-0.023234255437902477,-0.01383215415701823,2000,2000,20260921
db15k_mhyper_adamf,D-A,dev_oof,executed,173,44,129,47532,0.003639653286207187,7922,107,39,86,0.3320682784074708,0.010012855730634065,0.2543352601156069,0.19047619047619047,0.32240877842411425,2000,0.4813248766737139,0.38934606737431815,0.5688563730250973,2000,0.23734775636735825,0.17724293324961457,0.32859878372330703,2000,-0.016987503748248672,-0.046888903303176875,0.03701750526387668,2000,2000,20260921
db15k_mhyper_adamf,D-A,test,all,59412,5086,54326,59412,1.0,9902,9902,3315,9897,0.10835595125272522,-0.0029890139034676054,0.08560560156197401,0.08279430081465024,0.08851831279876118,2000,0.4163923261861161,0.4083354791312612,0.4246618096357302,2000,0.06641816716049478,0.06401573886772567,0.06888015733005129,2000,-0.019187434401479228,-0.02031308020032189,-0.018005832472496403,2000,2000,20260922
db15k_mhyper_adamf,D-A,test,proposed,25756,5086,20670,59412,0.4335151147916246,9902,7593,3315,7302,0.10828905146373889,-0.006894832040410675,0.1974685510172387,0.19143872875452073,0.20350880174190294,2000,0.43963765659300574,0.42956344476869457,0.4498665916433604,2000,0.17579069119710106,0.16870599590345464,0.18345429503157373,2000,-0.021677859820137646,-0.026027358972571777,-0.01664813226036195,2000,2000,20260922
db15k_mhyper_adamf,D-A,test,executed,267,56,211,59412,0.0044940416077560085,9902,156,46,130,0.33801830947932193,0.04707423913237121,0.20973782771535582,0.15412155693032847,0.270766947452868,2000,0.5443889641164523,0.46725861549425524,0.6310908175653698,2000,0.22773418294067843,0.1682295659409052,0.3194428845560884,2000,0.017996355225322613,-0.01463659950502669,0.09230158845749828,2000,2000,20260922
mkgw_native_adamf,W-NA,dev_oof,all,25656,5405,20251,25656,1.0,4276,4276,2773,4264,0.07401356713544854,-0.003392786667478285,0.21067196757093856,0.20462952135952603,0.2169473027751793,2000,0.37678803997801685,0.36831787888074274,0.38524578167738627,2000,0.15844107902866625,0.15324166902824304,0.16372077504102256,2000,-0.052230888542272313,-0.05445364120145697,-0.04992227083152354,2000,2000,20260923
mkgw_native_adamf,W-NA,dev_oof,proposed,19661,5405,14256,25656,0.7663314624259433,4276,4271,2773,4163,0.09234376702527261,-0.004427309635360505,0.2749097197497584,0.26730673784055886,0.2828793114996084,2000,0.535022980083495,0.5253180468718726,0.5454576698058627,2000,0.2890895449684941,0.2791872199488043,0.30030412426537006,2000,0.014179825218735675,0.007814673318497185,0.021462371127326633,2000,2000,20260923
mkgw_native_adamf,W-NA,dev_oof,executed,1029,254,775,25656,0.04010757717492984,4276,537,184,463,0.2592351992305678,0.003664136409590545,0.2468415937803693,0.21631363544412338,0.2784267506870084,2000,0.4755651511303023,0.43049211777541774,0.5200251313089151,2000,0.23026891738567137,0.19677489419099028,0.2726174215635605,2000,-0.01657267639469792,-0.03489663391296201,0.012390359913043826,2000,2000,20260923
mkgw_native_adamf,W-NA,test,all,25644,5572,20072,25644,1.0,4274,4274,2837,4260,0.07280727514485695,-0.0032495873602875923,0.2172827951957573,0.21084756668226487,0.22325007799095303,2000,0.39286497539224907,0.3845033851297318,0.40123547905842505,2000,0.16744689151101522,0.16229239430626088,0.17255271102035158,2000,-0.04983590368474208,-0.052236689583803966,-0.04730584149303008,2000,2000,20260924
mkgw_native_adamf,W-NA,test,proposed,20282,5572,14710,25644,0.7909062548744346,4274,4273,2837,4181,0.0887757927767158,-0.0041086884068245256,0.274726358347303,0.2668019416426768,0.28207453825234463,2000,0.5360697339274795,0.5257289631059777,0.5463474640066673,2000,0.2916516511673257,0.28181099290431677,0.3018156325758112,2000,0.016925292820022697,0.010220233726890498,0.024635008599981297,2000,2000,20260924
mkgw_native_adamf,W-NA,test,executed,926,235,691,25644,0.03610981126189362,4274,481,163,412,0.2594285644769074,0.0038471424020765817,0.25377969762419006,0.21929799383648557,0.2868263040336355,2000,0.4639252394001909,0.4185652608704421,0.5093712680271698,2000,0.2393557127508905,0.20333687203446527,0.2843709548657986,2000,-0.014423984873299572,-0.035551543359323784,0.01777996575567272,2000,2000,20260924
db15k_native_adamf,D-NA,dev_oof,all,47532,1566,45966,47532,1.0,7922,7922,1131,7920,0.04006628797747794,-0.0010014751751757825,0.03294622570058066,0.03098912311705798,0.034903328284103335,2000,0.21983905423126618,0.21076953250553526,0.22900009514525949,2000,0.019482972375532086,0.018345299788858724,0.020692148153631,2000,-0.013463253325048573,-0.01428889687615022,-0.012619167279529095,2000,2000,20260925
db15k_native_adamf,D-NA,dev_oof,proposed,12378,1566,10812,47532,0.260414036859379,7922,5469,1131,5311,0.06864175046631626,-0.003845703508357997,0.12651478429471644,0.11946492712754989,0.13354827172741068,2000,0.4951311134830086,0.47871065903950827,0.5114360227375676,2000,0.1274749773739109,0.11871743504396069,0.13745422015322487,2000,0.0009601930791944546,-0.00494471399167566,0.008603873172168684,2000,2000,20260925
db15k_native_adamf,D-NA,dev_oof,executed,1829,238,1591,47532,0.038479340233947654,7922,1369,207,1242,0.12378781985921923,0.000792965749705485,0.13012575177692728,0.11415943939007454,0.14763321402283255,2000,0.5109320283738888,0.4701561762072703,0.5537547406234015,2000,0.14079446603906678,0.1183355470914644,0.17277958694408338,2000,0.0106687142621395,-0.004784987682984018,0.03609665995675053,2000,2000,20260925
db15k_native_adamf,D-NA,test,all,59412,2233,57179,59412,1.0,9902,9902,1572,9900,0.040470234694637654,-0.0006633827850472061,0.03758499966336767,0.03556478489194102,0.03955471958526897,2000,0.23089656763883679,0.22284771835220782,0.23867706030728275,2000,0.022623801051410142,0.021418584236047537,0.023792916278912623,2000,-0.014961198611957525,-0.015751260481163702,-0.014103213553720496,2000,2000,20260926
