dataset,pair_id,representation,distance_decile,neighbor_pairs,distance_low,distance_high,mean_distance,direction_agreement,exact_action_agreement,beneficial_set_jaccard,both_empty_rate,matched_direction_agreement_reference,matched_exact_action_agreement_reference,matched_beneficial_set_jaccard_reference
mkg_y,mkg_y_mhyper_native,X4,1,79950,0.0,1.413387966156006,1.106873980789804,0.5666791744840526,0.3147091932457786,0.38564008430642344,0.16385240775484677,0.4629325730292117,0.27748968920901695,0.26650614887894275
mkg_y,mkg_y_mhyper_native,X4,2,79950,1.413387966156006,1.6450132131576538,1.5382231669428947,0.5816260162601626,0.3561100687929956,0.37642100034696657,0.21210756722951846,0.4629325730292117,0.27748968920901695,0.26650614887894275
mkg_y,mkg_y_mhyper_native,X4,3,79949,1.6450132131576538,1.8261874914169312,1.737274264719421,0.573403044440831,0.35831592640308196,0.35395078939760255,0.22874582546373312,0.4629325730292117,0.27748968920901695,0.26650614887894275
mkg_y,mkg_y_mhyper_native,X4,4,79951,1.8261874914169312,2.005310535430908,1.9151680216187048,0.5493114532651249,0.34718765243711774,0.32109242963783613,0.23278007779765106,0.4629325730292117,0.27748968920901695,0.26650614887894275
mkg_y,mkg_y_mhyper_native,X4,5,79950,2.005310535430908,2.199732184410095,2.100933533191979,0.5430644152595372,0.3401000625390869,0.3121434656489691,0.23181988742964352,0.4629325730292117,0.27748968920901695,0.26650614887894275
mkg_y,mkg_y_mhyper_native,X4,6,79949,2.199732184410095,2.420999050140381,2.3081134116114783,0.5173548136937297,0.3226181690827903,0.28965485314624795,0.2224543146255738,0.4629325730292117,0.27748968920901695,0.26650614887894275
mkg_y,mkg_y_mhyper_native,X4,7,79951,2.420999050140381,2.6794364213943482,2.5461180167917394,0.5032457380145339,0.3178446798664182,0.2724104285069453,0.22144813698390264,0.4629325730292117,0.27748968920901695,0.26650614887894275
mkg_y,mkg_y_mhyper_native,X4,8,79950,2.6794364213943482,3.033783292770386,2.8420180185024555,0.4940712945590994,0.32627892432770483,0.24349617282003072,0.24776735459662289,0.4629325730292117,0.27748968920901695,0.26650614887894275
mkg_y,mkg_y_mhyper_native,X4,9,79950,3.033783292770386,3.7700116634368896,3.3452987918561514,0.49307066916823017,0.33677298311444653,0.22909618436743578,0.27227016885553473,0.4629325730292117,0.27748968920901695,0.26650614887894275
mkg_y,mkg_y_mhyper_native,X4,10,79950,3.7700116634368896,21.09563446044922,4.9313344167186886,0.4613008130081301,0.26271419637273297,0.255892927905064,0.1865791119449656,0.4629325730292117,0.27748968920901695,0.26650614887894275
