pair,label,split,alignment,n,population_n,mass,utility,utility_contribution,harm_rate,benefit_rate,conditional_loss,loss_p95,mean_loss,mean_gain
mkgw_mhyper_native,W-N,dev_oof,all,25656,25656,1.0,0.0030704357722422314,0.0030704357722422314,0.149555659494855,0.20100561272217024,0.03142996412094395,0.16666666666666669,0.004700529012007402,0.007770964784249634
mkgw_mhyper_native,W-N,dev_oof,unchanged,9418,25656,0.36708762082943563,0.0,0.0,0.0,0.0,,,0.0,0.0
mkgw_mhyper_native,W-N,dev_oof,tied_endpoints,4838,25656,0.18857187402556908,-8.271638483027883e-05,-1.5597983700065835e-05,0.011575031004547334,0.009301364200082679,0.1156595509336588,0.5,0.0013387628880291223,0.0012560465031988435
mkgw_mhyper_native,W-N,dev_oof,winner_aligned,6991,25656,0.2724898659183037,0.020965096583727066,0.005712776357064075,0.0746674295522815,0.6742955228150479,0.07393495488803904,0.5,0.005520533035553767,0.026485629619280825
mkgw_mhyper_native,W-N,dev_oof,winner_opposed,4409,25656,0.1718506392266916,-0.015285032473209415,-0.002626742601121777,0.7391698797913359,0.09026990247221592,0.02317452931212662,0.09571428571428528,0.017129914045865422,0.0018448815726560086
mkgw_mhyper_native,W-N,test,all,25644,25644,1.0,0.0024466486686093203,0.0024466486686093203,0.15149742629854937,0.1941974730931212,0.03606094302748472,0.25,0.005463140058562554,0.007909788727171874
mkgw_mhyper_native,W-N,test,unchanged,9404,25644,0.36671346123849635,0.0,0.0,0.0,0.0,,,0.0,0.0
mkgw_mhyper_native,W-N,test,tied_endpoints,4914,25644,0.19162377164248948,0.0004202377050106064,8.05275340205163e-05,0.009768009768009768,0.01282051282051282,0.16832393456902897,0.5,0.001644189837060112,0.0020644275420707184
mkgw_mhyper_native,W-N,test,winner_aligned,6806,25644,0.2654032132272656,0.020953969695708376,0.005561250887107752,0.0765501028504261,0.6633852483103144,0.0771532056498695,0.5,0.005906085827737586,0.026860055523445957
mkgw_mhyper_native,W-N,test,winner_opposed,4520,25644,0.17625955389174855,-0.018127413135751308,-0.0031951297525189483,0.7336283185840708,0.08893805309734513,0.02769010695382471,0.16666666666666669,0.02031424660594751,0.0021868334701961993
mkgw_mhyper_adamf,W-A,dev_oof,all,25656,25656,1.0,0.0012038969018035228,0.0012038969018035228,0.03745712503897724,0.1312363579669473,0.039404640231695084,0.5,0.0014759845362745157,0.0026798814380780385
mkgw_mhyper_adamf,W-A,dev_oof,unchanged,20658,25656,0.8051917680074836,0.0,0.0,0.0,0.0,,,0.0,0.0
mkgw_mhyper_adamf,W-A,dev_oof,tied_endpoints,231,25656,0.009003741814780168,0.018968434295456825,0.00017078688502691482,0.017316017316017316,0.09523809523809523,0.10731792717086835,0.16666666666666669,0.0018583190852098416,0.020826753380666665
mkgw_mhyper_adamf,W-A,dev_oof,winner_aligned,2635,25656,0.10270502026816339,0.019882247867255454,0.00204200667018312,0.0174573055028463,0.9468690702087287,0.007348943669940932,0.04583333333333333,0.00012829275476936732,0.02001054062202482
mkgw_mhyper_adamf,W-A,dev_oof,winner_opposed,2132,25656,0.08309946990957282,-0.012140831397653597,-0.0010088966534065119,0.4272983114446529,0.398686679174484,0.040725067118724714,0.5,0.017401752413301226,0.00526092101564763
mkgw_mhyper_adamf,W-A,test,all,25644,25644,1.0,0.001013911612153524,0.001013911612153524,0.03618780221494307,0.1380439868975199,0.039379354634442684,0.5,0.0014250522968633134,0.0024389639090168372
mkgw_mhyper_adamf,W-A,test,unchanged,20440,25644,0.7970675401653409,0.0,0.0,0.0,0.0,,,0.0,0.0
mkgw_mhyper_adamf,W-A,test,tied_endpoints,223,25644,0.008695991265013258,0.02990038759234369,0.0002600135093235315,0.02242152466367713,0.13901345291479822,0.09142857142857143,0.16666666666666669,0.0020499679692504804,0.03195035556159417
mkgw_mhyper_adamf,W-A,test,winner_aligned,2655,25644,0.10353299017313991,0.01550814553130618,0.0016056046788963465,0.014689265536723164,0.9461393596986817,0.007710864156052706,0.05333333333333337,0.00011326693110585896,0.015621412462412042
mkgw_mhyper_adamf,W-A,test,winner_opposed,2326,25644,0.090703478396506,-0.009390010075943932,-0.0008517065760663542,0.38005159071367156,0.4286328460877042,0.04048209789766278,0.5,0.015385285701433318,0.005995275625489385
db15k_mhyper_native,D-N,dev_oof,all,47532,47532,1.0,-8.819212839298039e-06,-8.819212839298039e-06,0.01647311285029033,0.04058318606412522,0.031060527262383796,0.16666666666666669,0.0005116635707827677,0.0005028443579434697
db15k_mhyper_native,D-N,dev_oof,unchanged,42725,47532,0.8988681309433645,0.0,0.0,0.0,0.0,,,0.0,0.0
db15k_mhyper_native,D-N,dev_oof,tied_endpoints,825,47532,0.017356728098964908,0.002572400987314772,4.4648464498331376e-05,0.01575757575757576,0.027878787878787878,0.09075369075369076,0.16666666666666669,0.0014300581573308848,0.004002459144645657
