pair,learner,bin,lower,upper,n,mean_score,win_frequency
db15k_mhyper_native,balanced,9,0.9,1.0,0,,
db15k_mhyper_native,unweighted,0,0.0,0.1,0,,
db15k_mhyper_native,unweighted,1,0.1,0.2,0,,
db15k_mhyper_native,unweighted,2,0.2,0.3,2,0.2552568030882371,1.0
db15k_mhyper_native,unweighted,3,0.3,0.4,3,0.35700070799612416,0.6666666666666666
db15k_mhyper_native,unweighted,4,0.4,0.5,337,0.484879751122165,0.5548961424332344
db15k_mhyper_native,unweighted,5,0.5,0.6,11584,0.562290065725659,0.5693197513812155
db15k_mhyper_native,unweighted,6,0.6,0.7,17809,0.6501060905615922,0.6445617384468527
db15k_mhyper_native,unweighted,7,0.7,0.8,6318,0.7358431739917828,0.7264957264957265
db15k_mhyper_native,unweighted,8,0.8,0.9,952,0.8187552239351539,0.8665966386554622
db15k_mhyper_native,unweighted,9,0.9,1.0,0,,
db15k_mhyper_native,train_prior,0,0.0,0.1,0,,
db15k_mhyper_native,train_prior,1,0.1,0.2,0,,
db15k_mhyper_native,train_prior,2,0.2,0.3,0,,
db15k_mhyper_native,train_prior,3,0.3,0.4,0,,
db15k_mhyper_native,train_prior,4,0.4,0.5,0,,
db15k_mhyper_native,train_prior,5,0.5,0.6,0,,
db15k_mhyper_native,train_prior,6,0.6,0.7,37005,0.6399089966193473,0.6399135251992973
db15k_mhyper_native,train_prior,7,0.7,0.8,0,,
db15k_mhyper_native,train_prior,8,0.8,0.9,0,,
db15k_mhyper_native,train_prior,9,0.9,1.0,0,,
db15k_mhyper_adamf,balanced,0,0.0,0.1,0,,
db15k_mhyper_adamf,balanced,1,0.1,0.2,0,,
db15k_mhyper_adamf,balanced,2,0.2,0.3,7,0.29382131003764933,0.2857142857142857
db15k_mhyper_adamf,balanced,3,0.3,0.4,1336,0.37835743605408084,0.5576347305389222
db15k_mhyper_adamf,balanced,4,0.4,0.5,19751,0.45717409665419073,0.6007290770087591
db15k_mhyper_adamf,balanced,5,0.5,0.6,14071,0.5397661005103056,0.6846705991045412
db15k_mhyper_adamf,balanced,6,0.6,0.7,3099,0.6376662672644792,0.7282994514359471
db15k_mhyper_adamf,balanced,7,0.7,0.8,661,0.7073666524921037,0.886535552193646
db15k_mhyper_adamf,balanced,8,0.8,0.9,0,,
db15k_mhyper_adamf,balanced,9,0.9,1.0,0,,
db15k_mhyper_adamf,unweighted,0,0.0,0.1,0,,
db15k_mhyper_adamf,unweighted,1,0.1,0.2,0,,
db15k_mhyper_adamf,unweighted,2,0.2,0.3,0,,
db15k_mhyper_adamf,unweighted,3,0.3,0.4,0,,
db15k_mhyper_adamf,unweighted,4,0.4,0.5,190,0.4803537890258048,0.5473684210526316
db15k_mhyper_adamf,unweighted,5,0.5,0.6,9489,0.5735225093686525,0.5883654758141006
db15k_mhyper_adamf,unweighted,6,0.6,0.7,22121,0.6448840675214398,0.640160933050043
db15k_mhyper_adamf,unweighted,7,0.7,0.8,6457,0.7362262707304014,0.7207681585875794
db15k_mhyper_adamf,unweighted,8,0.8,0.9,668,0.8101379382562515,0.8787425149700598
db15k_mhyper_adamf,unweighted,9,0.9,1.0,0,,
db15k_mhyper_adamf,train_prior,0,0.0,0.1,0,,
db15k_mhyper_adamf,train_prior,1,0.1,0.2,0,,
db15k_mhyper_adamf,train_prior,2,0.2,0.3,0,,
db15k_mhyper_adamf,train_prior,3,0.3,0.4,0,,
db15k_mhyper_adamf,train_prior,4,0.4,0.5,0,,
db15k_mhyper_adamf,train_prior,5,0.5,0.6,0,,
db15k_mhyper_adamf,train_prior,6,0.6,0.7,38925,0.6445349442070726,0.6445472061657033
db15k_mhyper_adamf,train_prior,7,0.7,0.8,0,,
db15k_mhyper_adamf,train_prior,8,0.8,0.9,0,,
db15k_mhyper_adamf,train_prior,9,0.9,1.0,0,,
mkgw_native_adamf,balanced,0,0.0,0.1,0,,
mkgw_native_adamf,balanced,1,0.1,0.2,0,,
mkgw_native_adamf,balanced,2,0.2,0.3,2,0.28049977937582027,1.0
mkgw_native_adamf,balanced,3,0.3,0.4,731,0.367183182026714,0.4911080711354309
mkgw_native_adamf,balanced,4,0.4,0.5,8013,0.46770300123866015,0.6061400224634969
mkgw_native_adamf,balanced,5,0.5,0.6,11686,0.5315596672815701,0.6559986308403217
mkgw_native_adamf,balanced,6,0.6,0.7,90,0.6197559195622552,0.7
mkgw_native_adamf,balanced,7,0.7,0.8,0,,
mkgw_native_adamf,balanced,8,0.8,0.9,0,,
mkgw_native_adamf,balanced,9,0.9,1.0,0,,
mkgw_native_adamf,unweighted,0,0.0,0.1,0,,
mkgw_native_adamf,unweighted,1,0.1,0.2,0,,
mkgw_native_adamf,unweighted,2,0.2,0.3,0,,
mkgw_native_adamf,unweighted,3,0.3,0.4,1,0.37890132397044374,1.0
mkgw_native_adamf,unweighted,4,0.4,0.5,369,0.4763579155446849,0.45799457994579945
mkgw_native_adamf,unweighted,5,0.5,0.6,3780,0.5705917042886353,0.5783068783068783
mkgw_native_adamf,unweighted,6,0.6,0.7,16056,0.6468975368384338,0.6458644743398106
mkgw_native_adamf,unweighted,7,0.7,0.8,316,0.7157071808816161,0.6993670886075949
mkgw_native_adamf,unweighted,8,0.8,0.9,0,,
mkgw_native_adamf,unweighted,9,0.9,1.0,0,,
mkgw_native_adamf,train_prior,0,0.0,0.1,0,,
mkgw_native_adamf,train_prior,1,0.1,0.2,0,,
mkgw_native_adamf,train_prior,2,0.2,0.3,0,,
mkgw_native_adamf,train_prior,3,0.3,0.4,0,,
mkgw_native_adamf,train_prior,4,0.4,0.5,0,,
mkgw_native_adamf,train_prior,5,0.5,0.6,0,,
mkgw_native_adamf,train_prior,6,0.6,0.7,20522,0.6308731552940425,0.6308839294415749
mkgw_native_adamf,train_prior,7,0.7,0.8,0,,
mkgw_native_adamf,train_prior,8,0.8,0.9,0,,
mkgw_native_adamf,train_prior,9,0.9,1.0,0,,
db15k_native_adamf,balanced,0,0.0,0.1,0,,
db15k_native_adamf,balanced,1,0.1,0.2,0,,
db15k_native_adamf,balanced,2,0.2,0.3,0,,
db15k_native_adamf,balanced,3,0.3,0.4,26,0.38581416049279965,0.19230769230769232
db15k_native_adamf,balanced,4,0.4,0.5,16434,0.47716298929238593,0.4905683339418279
db15k_native_adamf,balanced,5,0.5,0.6,22041,0.5170737122598675,0.5309196497436596
db15k_native_adamf,balanced,6,0.6,0.7,7,0.6255154645941877,0.7142857142857143
db15k_native_adamf,balanced,7,0.7,0.8,2,0.7595257260981959,0.5
db15k_native_adamf,balanced,8,0.8,0.9,2,0.8133182168595146,0.5
db15k_native_adamf,balanced,9,0.9,1.0,3,0.9627598004666506,0.0
db15k_native_adamf,unweighted,0,0.0,0.1,0,,
db15k_native_adamf,unweighted,1,0.1,0.2,0,,
db15k_native_adamf,unweighted,2,0.2,0.3,0,,
db15k_native_adamf,unweighted,3,0.3,0.4,11,0.38727493392778006,0.18181818181818182
db15k_native_adamf,unweighted,4,0.4,0.5,10136,0.4797606803318304,0.48411602209944754
db15k_native_adamf,unweighted,5,0.5,0.6,28346,0.5254185120707735,0.5241656671135257
db15k_native_adamf,unweighted,6,0.6,0.7,15,0.6208100230831747,0.4666666666666667
