dataset,pair_id,representation,direction,count,mae,smooth_l1,spearman,positive_prevalence,positive_auprc,positive_auprc_lift,positive_auroc,harmful_prevalence,harmful_auprc,harmful_auprc_lift,harmful_auroc,positive_vs_harmful_auroc,positive_vs_harmful_auroc_lift,nonzero_activity_auprc,nonzero_activity_prevalence,nonzero_activity_auprc_lift,highest_10pct_actual_mean_advantage,highest_10pct_positive_rate,highest_10pct_harmful_rate,h1_style_pass,n_rows,n_queries
db15k,db15k_mhyper_adamf,C0,head,95064,0.025029657183738757,0.02137923075685438,0.06296976363143221,0.43762097113523524,0.49248486391607926,0.054863892780844026,0.5799520265874994,0.2666624589750063,0.25273072299769467,-0.013931735977311621,0.4621103498152695,0.5155288586584604,0.015528858658460432,0.6376803582776731,0.7042834301102415,-0.06660307183256842,-0.0016432407328124884,0.501051967178624,0.29086892488954347,False,95064,23766
db15k,db15k_mhyper_adamf,C0,tail,95064,0.038682171381372504,0.03438898890092657,0.11303941386289652,0.2560695952200623,0.3291363722908107,0.07306677707074843,0.580645260937304,0.1554847260792729,0.19921915438191026,0.04373442830263735,0.5521748843605789,0.6003819716428229,0.10038197164282292,0.4251399300136684,0.41155432129933517,0.01358560871433323,-0.0035334191030231402,0.3867031348621923,0.14148958552493163,False,95064,23766
db15k,db15k_mhyper_adamf,C1,head,95064,0.025128176653001186,0.021440324854460742,0.0664714356791528,0.43762097113523524,0.5031972214864974,0.06557625035126213,0.5867380266425934,0.2666624589750063,0.25021531479849685,-0.016447144176509443,0.4570226146285254,0.5160103695136035,0.016010369513603462,0.6487904849837763,0.7042834301102415,-0.05549294512646519,0.0011225291457011154,0.5355564906374921,0.2915001051967179,False,95064,23766
db15k,db15k_mhyper_adamf,C1,tail,95064,0.03883079886311839,0.034515569671688485,0.11591517912470325,0.2560695952200623,0.33692463047372634,0.08085503525366405,0.5922305852387064,0.1554847260792729,0.19430329544334146,0.03881856936406855,0.5395037180660511,0.5972311426905115,0.09723114269051147,0.42219747307901767,0.41155432129933517,0.010643151779682503,-0.005392068801913651,0.4033242162844519,0.1528508310540711,False,95064,23766
db15k,db15k_mhyper_adamf,C2,head,95064,0.025352900873286465,0.021500441542703457,0.06753754822730261,0.43762097113523524,0.49595665527826693,0.058335684143031696,0.5845757227839656,0.2666624589750063,0.2519269541339818,-0.014735504841024483,0.4605357884020817,0.5169378525175214,0.016937852517521446,0.6439576915531069,0.7042834301102415,-0.060325738557134634,0.0004644595440209546,0.507048180096781,0.3213759730696402,False,95064,23766
db15k,db15k_mhyper_adamf,C2,tail,95064,0.03883441743944312,0.03447524998999086,0.10245600713739517,0.2560695952200623,0.3205248550760216,0.06445525985595929,0.572310411359194,0.1554847260792729,0.20096535157136391,0.045480625492091004,0.5497907917874003,0.591445557146554,0.091445557146554,0.43353205421212854,0.41155432129933517,0.02197773291279337,-0.007069158762557865,0.3792341678939617,0.15516515884704396,False,95064,23766
db15k,db15k_mhyper_adamf,C3,head,95064,0.027788616114345382,0.022859675610349676,0.06973842535826949,0.43762097113523524,0.487666118159268,0.05004514702403279,0.5762437256458394,0.2666624589750063,0.2569561338715487,-0.009706325103457591,0.48175049436981154,0.5297304370228749,0.029730437022874923,0.6352696347890034,0.7042834301102415,-0.06901379532123808,-0.000925510338097147,0.5125184094256259,0.22827687776141384,False,95064,23766
db15k,db15k_mhyper_adamf,C3,tail,95064,0.04230191740099077,0.03655298008973202,0.07227309977718528,0.2560695952200623,0.2814798677838622,0.025410272563799907,0.5411632222311865,0.1554847260792729,0.19994440066215344,0.044459674582880526,0.5530334039910503,0.5741828922148621,0.07418289221486207,0.42782203821454373,0.41155432129933517,0.016267716915208563,-0.008425952017024455,0.29139490847885546,0.12812960235640647,False,95064,23766
db15k,db15k_mhyper_adamf,C4,head,95064,0.027102565304417705,0.022417363828081054,0.07063368776690124,0.43762097113523524,0.487011208936347,0.049390237801111736,0.5733039602568869,0.2666624589750063,0.25788635433144774,-0.008776104643558547,0.47944449650273,0.5258735076365146,0.025873507636514637,0.6379161114400149,0.7042834301102415,-0.0663673186702266,-0.00162547363877659,0.5035766884073217,0.2309067957079739,False,95064,23766
db15k,db15k_mhyper_adamf,C4,tail,95064,0.04165399301748409,0.036126787668786194,0.07860997974471177,0.2560695952200623,0.2852287231902689,0.02915912797020659,0.5470216700148494,0.1554847260792729,0.20029752493844696,0.04481279885917405,0.5525359704412058,0.5774723039244153,0.07747230392441529,0.4284450038611825,0.41155432129933517,0.016890682561847337,-0.008282147626230854,0.3000210393435725,0.1364401430675363,False,95064,23766
db15k,db15k_mhyper_native,C0,head,95064,0.0165890905523455,0.013755857347511311,0.05535970361590596,0.42116889674324665,0.4659121105097067,0.044743213766460066,0.5529188628070806,0.2527981149541362,0.24472868471733827,-0.008069430236797903,0.4978994620225366,0.5301367968697048,0.03013679686970483,0.6412550108237673,0.6739670116973828,-0.03271200087361548,0.003443200726803981,0.500525983589312,0.22101830422890806,False,95064,23766
db15k,db15k_mhyper_native,C0,tail,95064,0.02483117677208684,0.021726088552429076,0.08250696363184482,0.23940713624505597,0.30524555881255266,0.0658384225674967,0.5797171921664461,0.1278717495581924,0.14525785264081273,0.01738610308262034,0.4966573467979581,0.554403460304788,0.05440346030478804,0.3770857588052434,0.36727888580324836,0.009806873001995065,-9.139845312416568e-06,0.3555649063749211,0.15527035556490637,False,95064,23766
db15k,db15k_mhyper_native,C1,head,95064,0.016933770632302468,0.01381906988059512,0.0404082328574217,0.42116889674324665,0.4599948037774412,0.03882590703419453,0.5513991694623651,0.2527981149541362,0.23630450289797847,-0.016493612056157708,0.4727256408338081,0.5095410384809863,0.009541038480986308,0.6663453137128438,0.6739670116973828,-0.007621697984539044,0.0038563945226227987,0.4820113612455291,0.30212497370082053,False,95064,23766
db15k,db15k_mhyper_native,C1,tail,95064,0.025046326715120172,0.021814404607615537,0.06909159824773455,0.23940713624505597,0.2897499356686299,0.05034279942357392,0.5651934752415273,0.1278717495581924,0.14729975185820443,0.019428002300012043,0.5006464614345221,0.5469205717676301,0.04692057176763009,0.40013146503177066,0.36727888580324836,0.032852579228522305,-0.0015109730498286647,0.3181148748159057,0.15243004418262152,False,95064,23766
db15k,db15k_mhyper_native,C2,head,95064,0.017022283988202425,0.01388869325695223,0.04441733230406061,0.42116889674324665,0.453048049228504,0.031879152485257356,0.5429305286499833,0.2527981149541362,0.24596933345073232,-0.006828781503403852,0.49891494259718505,0.5246670098118837,0.024667009811883744,0.6415305189940902,0.6739670116973828,-0.03243649270329263,0.0033751694923175326,0.476225541763097,0.20965705869976856,False,95064,23766
db15k,db15k_mhyper_native,C2,tail,95064,0.025240938033323283,0.021874709408588572,0.06356097986936776,0.23940713624505597,0.2836972536382662,0.04429011739321023,0.5537264307220192,0.1278717495581924,0.1543140376015235,0.026442288043331125,0.5171664894303645,0.5532520150734334,0.053252015073433356,0.3908837534425261,0.36727888580324836,0.02360486763927777,-0.001689336741594186,0.31790448138018096,0.13791289711760993,False,95064,23766
db15k,db15k_mhyper_native,C3,head,95064,0.017507490497096538,0.014085825495182336,0.012414932451082857,0.42116889674324665,0.4504200114481892,0.02925111470494257,0.5390146386974609,0.2527981149541362,0.22683232754572136,-0.02596578740841482,0.45407448362529806,0.4884793674329959,-0.011520632567004085,0.6423030186201537,0.6739670116973828,-0.03166399307722911,0.0041869305991824425,0.46812539448769197,0.24700189354092153,False,95064,23766
db15k,db15k_mhyper_native,C3,tail,95064,0.026086921441048006,0.022271211899049907,0.05843663181359295,0.23940713624505597,0.2741193652752832,0.03471222903022722,0.5477565566860889,0.1278717495581924,0.1454659061808456,0.017594156622653206,0.5149695725164855,0.5477618655676189,0.047761865567618855,0.384875916078194,0.36727888580324836,0.017597030274945635,-0.002888279278853628,0.31001472754050075,0.13633494634967389,False,95064,23766
db15k,db15k_mhyper_native,C4,head,95064,0.017248223177519673,0.013949150195209474,0.04460416949653684,0.42116889674324665,0.4603966471684348,0.03922775042518817,0.5483494445315296,0.2527981149541362,0.23940959813069385,-0.013388516823442331,0.4869697346535475,0.5190648574475087,0.019064857447508743,0.6352688006051964,0.6739670116973828,-0.03869821109218641,0.005435077058821432,0.49316221333894383,0.19682305912055545,False,95064,23766
db15k,db15k_mhyper_native,C4,tail,95064,0.025849053341102796,0.022101634772839187,0.06263874381715814,0.23940713624505597,0.28481259801758224,0.04540546177252627,0.5639334690210818,0.1278717495581924,0.13877600947753047,0.010904259919338077,0.4948573645255572,0.5420811525392881,0.042081152539288125,0.37732294132414124,0.36727888580324836,0.01004405552089288,-0.0017090564395287294,0.32347990742688826,0.15085209341468547,False,95064,23766
db15k,db15k_native_adamf,C0,head,95064,0.024507023115501625,0.020778817598750846,0.04921974368294109,0.4664015820920643,0.5165000788576077,0.050098496765543454,0.5671308491808152,0.2673356896406631,0.2577334698827969,-0.009602219757866237,0.4780330595404707,0.5195236321315355,0.019523632131535518,0.6927923593122263,0.7337372717327274,-0.040944912420501134,-0.0013088539928360287,0.5357668840732169,0.25983589312013466,False,95064,23766
db15k,db15k_native_adamf,C0,tail,95064,0.045922575121051926,0.04124943833870345,0.12044996221460576,0.33575275603803756,0.4356022260289462,0.09984946999090866,0.5867218183590669,0.1538542455608853,0.18278908901029317,0.02893484344940786,0.5271078626551627,0.5774211735327829,0.07742117353278288,0.5446132816053003,0.48960700159892284,0.05500628000637747,0.0139033277942271,0.5361876709446666,0.15243004418262152,True,95064,23766
db15k,db15k_native_adamf,C1,head,95064,0.024357926735060684,0.020728638728118674,0.07919798777894428,0.4664015820920643,0.5259572514343133,0.059555669342248985,0.5769681436067493,0.2673356896406631,0.265729789919218,-0.0016058997214451476,0.4980676813222144,0.5401794263894593,0.04017942638945926,0.6937308247754107,0.7337372717327274,-0.0400064469573167,-0.0014474096540492093,0.554071112981275,0.2580475489164738,False,95064,23766
db15k,db15k_native_adamf,C1,tail,95064,0.045459461983160324,0.040919052693880804,0.14787904510774666,0.33575275603803756,0.45724354611596174,0.12149079007792418,0.6147935596860027,0.1538542455608853,0.1740845654997285,0.020230319938843194,0.5083934542544752,0.5805846892874258,0.08058468928742579,0.5484990447001694,0.48960700159892284,0.05889204310124657,0.019973663931328083,0.5610140963601936,0.15705869976856723,True,95064,23766
db15k,db15k_native_adamf,C2,head,95064,0.024647088668974353,0.020884786604053532,0.05711960686846882,0.4664015820920643,0.520066212408452,0.053664630316387685,0.5726891458259817,0.2673356896406631,0.26246306341749265,-0.004872626223170473,0.4917513112787628,0.5329729853605351,0.032972985360535056,0.6781335945776428,0.7337372717327274,-0.05560367715508463,-0.002661900618201361,0.5456553755522827,0.25699558173784975,False,95064,23766
db15k,db15k_native_adamf,C2,tail,95064,0.04586939704844661,0.04114477888158723,0.13161101956809018,0.33575275603803756,0.43649148441657226,0.1007387283785347,0.5997837245886397,0.1538542455608853,0.1862749755480208,0.032420729987135494,0.531700346234749,0.5892456930627656,0.08924569306276564,0.5088337058179758,0.48960700159892284,0.01922670421905298,0.01083548454169294,0.5123080159899012,0.1593730275615401,True,95064,23766
db15k,db15k_native_adamf,C3,head,95064,0.02560259666645678,0.021180268212263476,0.0530497362870467,0.4664015820920643,0.5077148628671299,0.041313280775065575,0.5601044599299848,0.2673356896406631,0.26321486518680126,-0.00412082445386186,0.49557434272510403,0.5292381070816017,0.029238107081601683,0.6802356604305428,0.7337372717327274,-0.05350161130218456,-0.004019177020889659,0.5159899011150852,0.24069009046917736,False,95064,23766
