dataset,pair_id,representation,seed,count,mae,smooth_l1,spearman,positive_prevalence,positive_auprc,positive_auprc_lift,positive_auroc,harmful_prevalence,harmful_auprc,harmful_auprc_lift,harmful_auroc,positive_vs_harmful_auroc,positive_vs_harmful_auroc_lift,nonzero_activity_auprc,nonzero_activity_prevalence,nonzero_activity_auprc_lift,highest_10pct_actual_mean_advantage,highest_10pct_positive_rate,highest_10pct_harmful_rate,h1_style_pass,n_rows,n_queries
db15k,db15k_mhyper_adamf,C0,1,63376,0.031746159997690045,0.02780792060890538,0.08320555845698328,0.33500063115374906,0.40634421294144085,0.07134358178769179,0.5902098966741558,0.21825296642262054,0.22285198995722227,0.004599023534601732,0.4803925522570353,0.5425615997989996,0.04256159979899965,0.514226882283189,0.5532535975763696,-0.03902671529318058,-0.004180885507139496,0.441306405806248,0.23792994635531714,False,63376,15844
db15k,db15k_mhyper_adamf,C0,2,63376,0.033238757551449984,0.02921182338063537,0.09805020891896538,0.3530358495329462,0.4303340718738784,0.0772982223409322,0.5976336646071945,0.2103162080282757,0.21877258073576492,0.008456372707489224,0.48956827382470547,0.5529520377844978,0.05295203778449775,0.5229582478192276,0.5633520575612219,-0.04039380974199425,-0.003246993050530994,0.470653202903124,0.2221520984537709,False,63376,15844
db15k,db15k_mhyper_adamf,C0,3,63376,0.030582825298526867,0.026632585497130674,0.09733225707083544,0.35249936884625094,0.4313671037373234,0.07886773489107246,0.6037528940459991,0.2046516031305226,0.2089824340850843,0.004330830954561687,0.4770489286209548,0.5461068653024092,0.04610686530240915,0.5106354212092322,0.5571509719767735,-0.046515550767541325,-7.812536018685064e-06,0.4671820763647838,0.23224992111076048,False,63376,15844
db15k,db15k_mhyper_adamf,C1,1,63376,0.03193244864456235,0.027984940580621127,0.08679187771873674,0.33500063115374906,0.4166118633920834,0.08161123223833433,0.6005432494368353,0.21825296642262054,0.21787030182374853,-0.0003826645988720123,0.4715072003228145,0.5426628589822182,0.04266285898221822,0.5173648929056129,0.5532535975763696,-0.035888704670756666,-0.00331141663300162,0.46686651940675294,0.24881666140738404,False,63376,15844
db15k,db15k_mhyper_adamf,C1,2,63376,0.03326669363815333,0.0292017401520642,0.09953190219825903,0.3530358495329462,0.4407480278692913,0.08771217833634509,0.6059833609749155,0.2103162080282757,0.2163657839120171,0.006049575883741415,0.47874874278093066,0.5488490265772418,0.04884902657724177,0.527996123843927,0.5633520575612219,-0.03535593371729484,-0.0018542404907751745,0.5047333543704638,0.23603660460713158,False,63376,15844
db15k,db15k_mhyper_adamf,C1,3,63376,0.03073932099146369,0.026747161056538498,0.10198074302319902,0.35249936884625094,0.44605197128973567,0.09355260244348473,0.6151675962534545,0.2046516031305226,0.20423282753251765,-0.0004187755980049612,0.4667736851094479,0.5450876601122762,0.04508766011227616,0.5162716956519584,0.5571509719767735,-0.04087927632481514,-0.0006090289059211022,0.49400441779741244,0.2472388766172294,False,63376,15844
db15k,db15k_mhyper_adamf,C2,1,63376,0.031907536482570435,0.027842687050152918,0.08237984164343962,0.33500063115374906,0.40561263763653865,0.07061200648278959,0.591222925573495,0.21825296642262054,0.2226457064653815,0.0043927400427609675,0.4769548995339521,0.5401725280228102,0.04017252802281024,0.5223487746621841,0.5532535975763696,-0.030904822914185504,-0.004888672144106205,0.44619753865572737,0.26806563584727044,False,63376,15844
db15k,db15k_mhyper_adamf,C2,2,63376,0.03348948153163262,0.029315830625686098,0.0917405904279516,0.3530358495329462,0.42792403498894876,0.07488818545600257,0.5923284365205286,0.2103162080282757,0.22046452405695302,0.010148316028677329,0.48843507764416505,0.547895423212866,0.047895423212865995,0.534647128816371,0.5633520575612219,-0.028704928744850866,-0.002265082502828369,0.47775323445881984,0.24376775007888923,False,63376,15844
db15k,db15k_mhyper_adamf,C2,3,63376,0.030883959454891315,0.02680501962320247,0.09353468688374184,0.35249936884625094,0.4297954379232252,0.07729606907697428,0.5999634936348223,0.2046516031305226,0.2096704695493589,0.005018866418836282,0.47873400524365134,0.5448131215276076,0.044813121527607636,0.5236047161820425,0.5571509719767735,-0.03354625579473103,-0.0006340576118446941,0.4774376775007889,0.2513411170716314,False,63376,15844
db15k,db15k_mhyper_adamf,C3,1,63376,0.035072628187354855,0.02973525970649175,0.06853478834932335,0.33500063115374906,0.3705076879032553,0.035507056749506216,0.5656560098574791,0.21825296642262054,0.22614442559871795,0.007891459176097404,0.49808669904695657,0.5420733770628351,0.04207337706283509,0.5049674020387223,0.5532535975763696,-0.04828619553764735,-0.005294450955212344,0.36920164089618174,0.1636162827390344,False,63376,15844
