dataset,pair_id,representation,count,mae,smooth_l1,spearman,positive_prevalence,positive_auprc,positive_auprc_lift,positive_auroc,harmful_prevalence,harmful_auprc,harmful_auprc_lift,harmful_auroc,positive_vs_harmful_auroc,positive_vs_harmful_auroc_lift,nonzero_activity_auprc,nonzero_activity_prevalence,nonzero_activity_auprc_lift,highest_10pct_actual_mean_advantage,highest_10pct_positive_rate,highest_10pct_harmful_rate,h1_style_pass,n_rows,n_queries
db15k,db15k_mhyper_adamf,C0,190128,0.03185591428255563,0.027884109828890474,0.09322602880876953,0.34684528317764873,0.4228689483657062,0.07602366518805748,0.5973898198992555,0.21107359252713961,0.21678646832216708,0.005712875795027467,0.48253856698739883,0.547581531920522,0.04758153192052195,0.5158651861784279,0.5579188757047884,-0.04205368952636046,-0.002273656224841997,0.45994845631936043,0.2311576289906906,False,190128,47532
db15k,db15k_mhyper_adamf,C1,190128,0.03197948775805978,0.02797794726307461,0.09633790130747673,0.34684528317764873,0.4346793833136911,0.08783410013604237,0.607344872810961,0.21107359252713961,0.2127859591568933,0.0017123666297536866,0.47250558169735735,0.5458373377949215,0.045837337794921496,0.5205318529005907,0.5579188757047884,-0.0373870228041977,-0.001641657685322888,0.4909798558880766,0.2441487403355599,False,190128,47532
db15k,db15k_mhyper_adamf,C2,190128,0.032093659156364786,0.027987845766347153,0.08949880641430798,0.34684528317764873,0.4212920787391857,0.074446795561537,0.5945690693635105,0.21107359252713961,0.21750587436507723,0.00643228183793762,0.4815200102395642,0.5444880541815063,0.044488054181506254,0.5268405715652342,0.5579188757047884,-0.031078304139554147,-0.002418481614332039,0.4686267290801031,0.253195182243728,False,190128,47532
db15k,db15k_mhyper_adamf,C3,190128,0.03504526675766808,0.02970632785004085,0.07449516742513526,0.34684528317764873,0.3889150620159411,0.04206977883829238,0.5709612397392875,0.21107359252713961,0.2203099481449744,0.009236355617834785,0.4996899788485416,0.5459236260175818,0.04592362601758182,0.5150205507486993,0.5579188757047884,-0.04289832495608903,-0.004828753548618491,0.397412296849524,0.17461736706463998,False,190128,47532
db15k,db15k_mhyper_adamf,C4,190128,0.034378279160950896,0.02927207574843363,0.07868773328556031,0.34684528317764873,0.393868975816701,0.04702369263905226,0.5749587682986668,0.21107359252713961,0.22024026207056446,0.009166669543424849,0.4956554272165074,0.5446703179848148,0.0446703179848148,0.5162938986609183,0.5579188757047884,-0.041624977043870026,-0.00490467326688506,0.4033555988008205,0.1849786987850418,False,190128,47532
db15k,db15k_mhyper_native,C0,190128,0.02071013366221617,0.017740972949970197,0.0712876858885177,0.3302880164941513,0.39322051889775395,0.06293250240360265,0.5748640234653125,0.19033493225616427,0.18681672507362113,-0.0035182071825431427,0.48331344811935084,0.5371414320677927,0.037141432067792746,0.49947950649681344,0.5206229487503156,-0.02114344225350212,0.002421446786909727,0.4393835796560248,0.19539262609793298,False,190128,47532
db15k,db15k_mhyper_native,C1,190128,0.020990048673711327,0.017816737244105325,0.05660845325139132,0.3302880164941513,0.38445273373385447,0.054164717239703175,0.5679930657400366,0.19033493225616427,0.18406370855306775,-0.006271223703096518,0.47034408410532447,0.5209093805271284,0.02090938052712843,0.5296589880269311,0.5206229487503156,0.00903603927661556,0.0020400509457997314,0.4224477988744543,0.23652237942460422,False,190128,47532
db15k,db15k_mhyper_native,C2,190128,0.021131611010762857,0.017881701332770398,0.05642461241435101,0.3302880164941513,0.37624382502397985,0.04595580852982856,0.5578996796743672,0.19033493225616427,0.19215226197877444,0.0018173297226101726,0.4929111012468644,0.5329684280940279,0.03296842809402789,0.5083528885095583,0.5206229487503156,-0.012270060240757275,0.0011908660822801662,0.4087729448272235,0.1817703676431915,True,190128,47532
db15k,db15k_mhyper_native,C3,190128,0.021797205969072274,0.018178518697116123,0.037185450419046466,0.3302880164941513,0.3698051338815703,0.03951711738741903,0.5553355745375054,0.19033493225616427,0.17860029019725043,-0.011734642058913836,0.4633258573135867,0.507305653381489,0.00730565338148903,0.5015997831357192,0.5206229487503156,-0.019023165614596382,0.0007948849821910421,0.3949403040025246,0.19833797927733657,False,190128,47532
db15k,db15k_mhyper_native,C4,190128,0.021548638259311238,0.018025392484024332,0.05637884528762403,0.3302880164941513,0.3785546896013295,0.04826667310717819,0.5657301434511256,0.19033493225616427,0.1814174008593207,-0.008917531396843564,0.47674110003382075,0.525766276461264,0.02576627646126395,0.49254174712873444,0.5206229487503156,-0.02808120162158112,0.0018253481116383063,0.4104034081943933,0.17435438910219322,False,190128,47532
db15k,db15k_native_adamf,C0,190128,0.03521479911827678,0.031014127968727143,0.08656336951354537,0.4010771690650509,0.46977256762800684,0.06869539856295592,0.5738699685437606,0.2105949676007742,0.21754801471303267,0.00695304711225847,0.5007478660304836,0.544957173314778,0.044957173314778,0.6042407859513873,0.6116721366658251,-0.00743135071443779,0.0066980037694453955,0.5229053805291116,0.1850838899700205,True,190128,47532
db15k,db15k_native_adamf,C1,190128,0.034908694359110495,0.03082384571099973,0.11458003356549447,0.4010771690650509,0.4829947321492037,0.08191756308415277,0.5895416730506313,0.2105949676007742,0.21865175695871003,0.008056789357935829,0.5068563553937134,0.5594642650153037,0.05946426501530366,0.6059886334320291,0.6116721366658251,-0.005683503233795961,0.009916416261755724,0.5447325514121917,0.18813443433440277,True,190128,47532
db15k,db15k_native_adamf,C2,190128,0.03525824285871049,0.031014782742820383,0.09698163716089171,0.4010771690650509,0.47568042469126065,0.07460325562620973,0.5875801272357007,0.2105949676007742,0.21939589807388105,0.008800930473106844,0.5046747157085758,0.5562122204274953,0.056212220427495296,0.5800155974918917,0.6116721366658251,-0.03165653917393341,0.00443824417870668,0.5182769683900489,0.19302582443591226,True,190128,47532
db15k,db15k_native_adamf,C3,190128,0.03654890397006832,0.03157926165473201,0.07376379852666849,0.4010771690650509,0.45088541465337045,0.04980824558831953,0.5635308918223646,0.2105949676007742,0.21790966761041658,0.0073147000096423775,0.506478069079926,0.5436622513816439,0.043662251381643924,0.5798053630737058,0.6116721366658251,-0.03186677359211931,0.0032772099644450877,0.473886288329038,0.181244411718298,True,190128,47532
db15k,db15k_native_adamf,C4,190128,0.0367086583432664,0.03162122474074755,0.07668421596823452,0.4010771690650509,0.4492863692931879,0.04820920022813696,0.5598943100093731,0.2105949676007742,0.21932321047398834,0.008728242873214137,0.508334537228003,0.5428339449314848,0.042833944931484846,0.586204156072494,0.6116721366658251,-0.025467980593331108,0.004840796437715005,0.4724662073318256,0.18455793404512702,True,190128,47532
mkg_w,mkgw_mhyper_adamf,C0,102624,0.023081239022444255,0.018899368816973225,0.1575899938775212,0.4211100717181166,0.5421176220050279,0.12100755028691129,0.6333942162836843,0.1611416432803243,0.1714104018592827,0.010268758578958398,0.5145043526863703,0.5886708920279449,0.08867089202794487,0.5236998041474689,0.5822517149984409,-0.058551910850972,0.005313035463964866,0.6185928668875463,0.1495809783667901,True,102624,25656
mkg_w,mkgw_mhyper_adamf,C1,102624,0.023112551093815614,0.0189180522886488,0.1592706127586715,0.4211100717181166,0.5401539294550761,0.11904385773695952,0.62744137017231,0.1611416432803243,0.17427817080500846,0.013136527524684166,0.5188902975638696,0.5883993794378539,0.08839937943785392,0.5384480235228221,0.5822517149984409,-0.0438036914756188,0.008503554300609657,0.6155720132527772,0.15503800428766323,True,102624,25656
mkg_w,mkgw_mhyper_adamf,C2,102624,0.023490268253938577,0.01908141927495631,0.1365605251621517,0.4211100717181166,0.5178156943094857,0.09670562259136911,0.6061462288395945,0.1611416432803243,0.1717568085312407,0.010615165250916409,0.5139835784449552,0.5718749761426012,0.07187497614260119,0.5436784091156738,0.5822517149984409,-0.038573305882767084,0.005288553872684494,0.5824400701617618,0.16624439680374195,True,102624,25656
mkg_w,mkgw_mhyper_adamf,C3,102624,0.023294076172626757,0.019034373678351785,0.12792709230433505,0.4211100717181166,0.5083606885129769,0.08725061679486029,0.6025184259639575,0.1611416432803243,0.16811863951807604,0.006976996237751748,0.5139731272764653,0.5714698684159653,0.07146986841596525,0.5280178054120103,0.5822517149984409,-0.054233909586430595,0.008271057596406216,0.5535957902942896,0.14363671798869615,True,102624,25656
mkg_w,mkgw_mhyper_adamf,C4,102624,0.02334489362403284,0.019071670216785703,0.09272254587935977,0.4211100717181166,0.4682811300397736,0.04717105832165702,0.574296415869767,0.1611416432803243,0.16531291979051255,0.004171276510188254,0.5076230844740888,0.5494322966145699,0.04943229661456994,0.5433390706535878,0.5822517149984409,-0.03891264434485309,0.0008007552797161391,0.4621906061196648,0.15318651335022412,True,102624,25656
