dataset,pair_id,representation,delta_spearman,delta_positive_auprc_lift,delta_harmful_auprc_lift,delta_positive_vs_harmful_auroc,delta_positive_vs_harmful_auroc_lift,delta_highest_10pct_actual_mean_advantage,delta_highest_10pct_positive_rate,delta_highest_10pct_harmful_rate,delta_nonzero_activity_auprc_lift
db15k,db15k_mhyper_adamf,C1,0.003111872498707202,0.011810434947984894,-0.00400050916527378,-0.0017441941256004512,-0.0017441941256004512,0.0006319985395191088,0.031031399568716145,0.0129911113448693,0.00466666672216276
db15k,db15k_mhyper_adamf,C2,-0.003727222394461549,-0.001576869626520483,0.0007194060429101534,-0.003093477739015693,-0.003093477739015693,-0.00014482538949004212,0.008678272760742678,0.022037553253037412,0.010975385386806313
db15k,db15k_mhyper_adamf,C3,-0.018730861383634265,-0.033953886349765094,0.0035234798228073183,-0.0016579059029401266,-0.0016579059029401266,-0.002555097323776494,-0.06253615946983643,-0.056540261926050606,-0.0008446354297285685
db15k,db15k_mhyper_adamf,C4,-0.014538295523209219,-0.028999972549005215,0.0034537937483973824,-0.0029112139357071465,-0.0029112139357071465,-0.0026310170420430633,-0.05659285751853993,-0.04617893020564878,0.00042871248249043425
db15k,db15k_mhyper_native,C1,-0.014679232637126373,-0.008767785163899477,-0.002753016520553375,-0.016232051540664316,-0.016232051540664316,-0.00038139584110999554,-0.016935780781570486,0.04112975332667124,0.03017948153011768
db15k,db15k_mhyper_native,C2,-0.014863073474166683,-0.016976693873774096,0.005335536905153315,-0.004173003973764855,-0.004173003973764855,-0.0012305807046295606,-0.03061063482880133,-0.013622258454741493,0.008873382012744846
db15k,db15k_mhyper_native,C3,-0.03410223546947123,-0.02341538501618362,-0.008216434876370693,-0.029835778686303716,-0.029835778686303716,-0.0016265618047186848,-0.0444432756535002,0.002945353179403587,0.002120276638905738
db15k,db15k_mhyper_native,C4,-0.01490884060089366,-0.01466582929642446,-0.005399324214300422,-0.011375155606528797,-0.011375155606528797,-0.0005960986752714206,-0.02898017146163151,-0.021038236995739756,-0.0069377593680789995
db15k,db15k_native_adamf,C1,0.028016664051949094,0.013222164521196844,0.0011037422456773582,0.014507091700525665,0.014507091700525665,0.0032184124923103283,0.02182717088308006,0.0030505443643822627,0.0017478474806418287
db15k,db15k_native_adamf,C2,0.010418267647346338,0.0059078570632538074,0.0018478833608483736,0.011255047112717298,0.011255047112717298,-0.002259759590738716,-0.004628412139062732,0.007941934465891753,-0.024225188459495617
db15k,db15k_native_adamf,C3,-0.012799570986876882,-0.01888715297463639,0.00036165289738390727,-0.0012949219331340744,-0.0012949219331340744,-0.003420793805000308,-0.04901909220007361,-0.0038394782517225112,-0.024435422877681523
db15k,db15k_native_adamf,C4,-0.009879153545310854,-0.02048619833481896,0.0017751957609556668,-0.002123228383293152,-0.002123228383293152,-0.0018572073317303902,-0.050439173197286025,-0.0005259559248934897,-0.018036629878893318
mkg_w,mkgw_mhyper_adamf,C1,0.0016806188811502865,-0.0019636925499517677,0.0028677689457257682,-0.00027151259009094986,-0.00027151259009094986,0.0031905188366447906,-0.003020853634769116,0.005457025920873132,0.0147482193753532
mkg_w,mkgw_mhyper_adamf,C2,-0.02102946871536951,-0.02430192769554218,0.00034640667195801056,-0.016795915885343682,-0.016795915885343682,-2.4481591280372562e-05,-0.03615279672578453,0.01666341843695185,0.019978604968204916
mkg_w,mkgw_mhyper_adamf,C3,-0.029662901573186157,-0.033756933492051,-0.00329176234120665,-0.017201023611979616,-0.017201023611979616,0.00295802213244135,-0.06499707659325671,-0.005944260378093952,0.0043180012645414045
mkg_w,mkgw_mhyper_adamf,C4,-0.06486744799816144,-0.07383649196525427,-0.006097482068770144,-0.03923859541337493,-0.03923859541337493,-0.004512280184248727,-0.15640226076788155,0.0036055349834340222,0.019639266506118913
mkg_w,mkgw_mhyper_native,C1,-0.024281594995924277,-0.022626274861009987,-0.008725010109043585,-0.017629025841873314,-0.017629025841873314,-0.0008910212328122552,-0.0485261875761267,-0.002143727161997566,-0.016424928854017806
mkg_w,mkgw_mhyper_native,C2,0.019450399231856375,0.025083289309205836,0.008052848979727523,0.012335587013537985,0.012335587013537985,0.002163409937109024,0.03522533495736907,0.0057490864799025765,0.019927638978852302
mkg_w,mkgw_mhyper_native,C3,-0.04615258641673434,-0.0251495836773018,-0.03933721364233589,-0.030850258916738205,-0.030850258916738205,-0.0017439064016151222,-0.03844092570036539,-0.01349573690621192,-0.03912695935536403
mkg_w,mkgw_mhyper_native,C4,-0.008497104416803847,-0.009316059217543193,-0.01754441589808603,-0.003036403440528357,-0.003036403440528357,-0.0007429833071298719,-0.03317904993909865,-0.012813641900121797,-0.025576301925733014
mkg_w,mkgw_native_adamf,C1,0.013234195445043388,0.008810028423505367,-0.005483791184434039,0.009589340605171692,0.009589340605171692,0.0024351918977303234,0.015357031493607731,-0.023854069223573415,-0.019661342821744254
mkg_w,mkgw_native_adamf,C2,-0.0022870896576698274,0.0037662534042864904,-0.006313264322479029,-0.0022782115090060895,-0.0022782115090060895,8.471576510704539e-05,0.009822263797941988,-0.000779544745868388,0.001163998646260045
mkg_w,mkgw_native_adamf,C3,-0.009333723068120262,0.008085072848072972,-0.015710518613372082,-0.0060864247437317776,-0.0060864247437317776,-0.00033988303650445834,0.016448394137823508,0.01987839101964456,-0.004535175417030857
mkg_w,mkgw_native_adamf,C4,0.0029369821992632356,0.005183780040393271,-0.014032541229754503,0.0021007372052765927,0.0021007372052765927,0.0009924409852156287,0.006314312441534131,-0.020657935765512947,-0.026624776617117485
