dataset,pair_id,representation,relation,count,mae,smooth_l1,spearman,positive_prevalence,positive_auprc,positive_auprc_lift,positive_auroc,harmful_prevalence,harmful_auprc,harmful_auprc_lift,harmful_auroc,positive_vs_harmful_auroc,positive_vs_harmful_auroc_lift,nonzero_activity_auprc,nonzero_activity_prevalence,nonzero_activity_auprc_lift,highest_10pct_actual_mean_advantage,highest_10pct_positive_rate,highest_10pct_harmful_rate,h1_style_pass,n_rows,n_queries
db15k,db15k_mhyper_adamf,C0,0,6984,0.0483159438935165,0.043371828207400646,0.12368365123432476,0.38917525773195877,0.4766454318351644,0.08747017410320562,0.5894798683707133,0.17826460481099657,0.23653457775412898,0.05826997294313241,0.5464907547947496,0.5872552757017769,0.08725527570177694,0.6176644869898495,0.5674398625429553,0.05022462444689424,0.00658300176492521,0.5787965616045845,0.2034383954154728,True,6984,1746
db15k,db15k_mhyper_adamf,C0,1,6024,0.03214677396061591,0.028430848335292684,0.12815908682292526,0.3336653386454183,0.40711022046879897,0.07344488182338066,0.6335070412759323,0.1699867197875166,0.16132829158495515,-0.008658428202561436,0.47424169921875,0.5668515333488806,0.06685153334888061,0.41123507625073447,0.5036520584329349,-0.09241698218220046,-0.0037558417754405297,0.38372093023255816,0.16777408637873753,False,6024,1506
db15k,db15k_mhyper_adamf,C0,2,1680,0.03708807829140331,0.03244953990765371,0.10409284398397484,0.3470238095238095,0.4080880375416035,0.06106422801779399,0.5998036122216993,0.16488095238095238,0.15690147807024643,-0.007979474310705947,0.4797944579819932,0.5468478119523689,0.04684781195236887,0.45462854727147384,0.5119047619047619,-0.057276214633288025,-0.005133038017500258,0.38095238095238093,0.16666666666666666,False,1680,420
db15k,db15k_mhyper_adamf,C0,3,552,0.06324918347543594,0.0575727425981693,0.21173628763682734,0.25905797101449274,0.4133824206658722,0.15432444965137948,0.6018431446304306,0.15579710144927536,0.3425680767256308,0.18677097527635542,0.6571763649066773,0.693446088794926,0.19344608879492597,0.5050176351443689,0.4148550724637681,0.0901625626806008,-0.02654112230343231,0.4727272727272727,0.10909090909090909,False,552,138
db15k,db15k_mhyper_adamf,C0,4,576,0.06634974548209932,0.06110376109449592,0.1806013387814457,0.027777777777777776,0.023881872139520803,-0.003895905638256973,0.3138392857142857,0.14756944444444445,0.33716081972266815,0.1895913752782237,0.6912902839343477,0.4566176470588235,-0.04338235294117648,0.44200180446540543,0.1753472222222222,0.2666545822431832,-0.012739463601532563,0.017241379310344827,0.08620689655172414,False,576,144
db15k,db15k_mhyper_adamf,C0,5,3360,0.03263270918602593,0.028780595316715292,0.09159624842473149,0.43660714285714286,0.5107475523488064,0.07414040949166356,0.5912148622035548,0.1738095238095238,0.1812101187701741,0.007400594960650292,0.5031026706407169,0.5522616279612665,0.052261627961266544,0.5713485041560084,0.6104166666666667,-0.039068162510658366,-0.0008099412507842229,0.5535714285714286,0.19940476190476192,False,3360,840
db15k,db15k_mhyper_adamf,C0,6,528,0.04859287344285109,0.043912806115308595,0.057862854174782825,0.3996212121212121,0.4425704667440825,0.042949254622870414,0.536546713113161,0.26325757575757575,0.33013173247227556,0.06687415671469982,0.533835142682769,0.5452623683044086,0.04526236830440855,0.6918377752803482,0.6628787878787878,0.028958987401560332,-0.06289058124298404,0.4716981132075472,0.3018867924528302,False,528,132
db15k,db15k_mhyper_adamf,C0,7,432,0.04652920051312425,0.041846263502646655,0.07592468482356401,0.3587962962962963,0.4434598428133313,0.084663546517035,0.5784790963083731,0.22685185185185186,0.24436571703609247,0.017513865184240612,0.5415495539533178,0.5832784726793944,0.08327847267939437,0.56498817771266,0.5856481481481481,-0.020659970435488173,0.024278081981929638,0.5116279069767442,0.09302325581395349,True,432,108
db15k,db15k_mhyper_adamf,C0,8,240,0.0563908823453714,0.05017735938679979,0.3682624513356773,0.3416666666666667,0.5710151139189208,0.22934844725225412,0.6667181228774313,0.25833333333333336,0.4734961489842257,0.21516281565089235,0.7072308807538963,0.743705743509048,0.24370574350904795,0.6862227461256999,0.6,0.08622274612569991,0.01100637168880097,0.7916666666666666,0.125,True,240,60
db15k,db15k_mhyper_adamf,C0,9,384,0.043025612699406905,0.037823324116587426,0.00030764371434616867,0.359375,0.3737439542021108,0.014368954202110817,0.47466713797572757,0.1953125,0.24512913288165522,0.04981663288165522,0.575663430420712,0.5415458937198068,0.04154589371980677,0.6621411756159328,0.5546875,0.10745367561593278,0.013997510708032944,0.3684210526315789,0.15789473684210525,True,384,96
db15k,db15k_mhyper_adamf,C0,10,168,0.09916290268415082,0.0919057099799612,0.19477854242181897,0.375,0.4462931797998515,0.0712931797998515,0.5620559334845049,0.27380952380952384,0.4755430933114978,0.20173356950197396,0.6179615110477548,0.6273291925465838,0.1273291925465838,0.7034990155192948,0.6488095238095238,0.054689491709771,-0.10391686661119659,0.5294117647058824,0.23529411764705882,False,168,42
db15k,db15k_mhyper_adamf,C0,11,312,0.03820143046632815,0.033774155968154564,0.08754880776111074,0.47435897435897434,0.49173681315786166,0.017377838798887324,0.5436305207646671,0.17307692307692307,0.26526352901306355,0.09218660593614048,0.4926787252368648,0.5112612612612613,0.011261261261261257,0.6377887048029016,0.6474358974358975,-0.009647192632995849,0.03154162068685245,0.3548387096774194,0.3548387096774194,True,312,78
db15k,db15k_mhyper_adamf,C0,12,12888,0.022857531058357035,0.01950664043126036,0.04035622379925109,0.48370577281191807,0.5219425318753073,0.03823675906338919,0.5474453434576706,0.21609248913718188,0.220203570505866,0.0041110813686841274,0.5017890414547042,0.525591085890832,0.025591085890832033,0.6740434225311684,0.6997982619490999,-0.02575483941793144,-0.005024762970169323,0.5407292474786657,0.22885958107059737,False,12888,3222
db15k,db15k_mhyper_adamf,C0,13,312,0.05911236028475048,0.05436737234326404,0.03164742828315274,0.15384615384615385,0.1445788233625435,-0.009267330483610364,0.4060921717171717,0.27884615384615385,0.356000159949594,0.07715400610344014,0.580536398467433,0.48299808429118773,-0.017001915708812265,0.5532831947835473,0.4326923076923077,0.12059088709123955,-0.011835934443288778,0.1935483870967742,0.25806451612903225,False,312,78
db15k,db15k_mhyper_adamf,C0,14,1968,0.031954986156570546,0.027301164199725492,-0.02615535732492726,0.3567073170731707,0.3623791932928525,0.005671876219681793,0.4936043711715118,0.17682926829268292,0.1867325190747466,0.009903250782063694,0.5252554278416347,0.5160952287389069,0.016095228738906897,0.5678629643477021,0.5335365853658537,0.03432637898184843,-0.02346777835967445,0.37055837563451777,0.22842639593908629,False,1968,492
db15k,db15k_mhyper_adamf,C0,15,120,0.040864746895145326,0.03650201659177264,-0.024797954782790274,0.525,0.5183972999870643,-0.006602700012935725,0.43052074631021997,0.225,0.23848563509877405,0.01348563509877404,0.5280764635603346,0.48500881834215165,-0.014991181657848351,0.8195828470050687,0.75,0.06958284700506867,0.013017704763346757,0.4166666666666667,0.25,False,120,30
db15k,db15k_mhyper_adamf,C0,16,24,0.005319343617901851,0.0016213378009326904,-0.5008695652173912,0.8333333333333334,0.6750464596873939,-0.15828687364593952,0.05,0.16666666666666666,0.11197377501725328,-0.05469289164941338,0.05,0.05,-0.45,1.0,1.0,0.0,-1.829159626208565e-06,0.0,1.0,False,24,6
db15k,db15k_mhyper_adamf,C0,17,2064,0.007845438238949497,0.004812636074378854,-0.025387408315305813,0.6046511627906976,0.6266922424001229,0.02204107960942525,0.5176557001005531,0.27810077519379844,0.2966348061918724,0.018534030998073936,0.52305263896359,0.5233586281604574,0.023358628160457418,0.8957493274681688,0.8827519379844961,0.012997389483672683,0.005015103732358187,0.6407766990291263,0.28640776699029125,False,2064,516
db15k,db15k_mhyper_adamf,C0,18,936,0.03778063744730337,0.03350512729088837,0.05045391604988405,0.6356837606837606,0.6712189877231892,0.035535227039428574,0.5231572981098598,0.13995726495726496,0.15305517632447113,0.013097911367206172,0.5299227158503628,0.5340432356148567,0.03404323561485667,0.7897504399758583,0.7756410256410257,0.014109414334832593,0.0276388562352167,0.7659574468085106,0.06382978723404255,True,936,234
db15k,db15k_mhyper_adamf,C0,19,1632,0.025522830281214992,0.021445975134953416,-0.026985350712564114,0.43014705882352944,0.46071791912278387,0.030570860299254432,0.48610728180620655,0.2549019607843137,0.25070135207239436,-0.004200608711919351,0.4851756231022267,0.4819677295638834,-0.018032270436116604,0.7390516813154561,0.6850490196078431,0.05400266170761292,0.004955124152315601,0.5644171779141104,0.25766871165644173,False,1632,408
db15k,db15k_mhyper_adamf,C0,20,408,0.053744279297186316,0.04819255570170531,0.06686519308499331,0.1568627450980392,0.17075092424137572,0.01388817914333651,0.5306595203488372,0.10294117647058823,0.15445376777806075,0.051512591307472516,0.5856102003642987,0.5848214285714286,0.0848214285714286,0.3050498749715701,0.25980392156862747,0.04524595340294263,-0.048980869201276915,0.12195121951219512,0.12195121951219512,False,408,102
db15k,db15k_mhyper_adamf,C0,21,2592,0.03926994808925791,0.03452313310415391,0.1145161094417545,0.21373456790123457,0.33408817469497054,0.12035360679373597,0.5949548825031974,0.15779320987654322,0.17923097430977747,0.021437764433234252,0.5168701916453771,0.5904115876532531,0.09041158765325308,0.3901955739235912,0.3715277777777778,0.01866779614581343,-0.005096978834172808,0.416988416988417,0.11969111969111969,False,2592,648
