pair,variant,base_seed,selector_seed,fit_triples,available_directional_rows,loss_rows_per_epoch,epochs,optimization_rows,model_sha256
mkgw_mhyper_native,R2_init,3,11,4276,8552,4276,1,4276,775920225199173ca39e2127a252139ab79bda692b8410f57c60b3ae9fdbdc48
mkgw_mhyper_native,R3_softplus_fixed,3,11,4276,8552,4276,1,4276,231a8a4a216ee5e3e91237c3ee24ecea3813c772bf9dcda2fcced553fc90ca32
mkgw_mhyper_native,R3_softplus,3,11,4276,8552,4276,1,4276,3784d138c1a89f10c5a045ef8857ad2a161cf29f3c733ea4e942f67de87d0bf3
mkgw_mhyper_native,R4_swap,3,11,4276,8552,4276,1,4276,595acd6f10563a249043a26d0254b3a2a6eac072f3ef45e5f6253b389fe07144
mkgw_mhyper_native,R1_source,3,23,4276,8552,4276,1,4276,e7a716d7372c0f939fdeeee0c871c87d9882af6b78dc822d39818507f5cb2eb5
mkgw_mhyper_native,R2_init,3,23,4276,8552,4276,1,4276,773143ab365cdb4dcbf237ab9da9fb0563caaa93706860fc1fdfc16c18ec8ace
mkgw_mhyper_native,R3_softplus_fixed,3,23,4276,8552,4276,1,4276,1cc57b1013a79ca57227e3ce808ecc050c58d6e86e1d296a069d307f169ed4db
mkgw_mhyper_native,R3_softplus,3,23,4276,8552,4276,1,4276,d7c347c48a95147c54734b11245e8324491275fa5f4f08c6be9300db1d8af6a6
mkgw_mhyper_native,R4_swap,3,23,4276,8552,4276,1,4276,c59bafb501ef951a1789b42676f3642df6047c7423d18fafb8b7375e227148d0
mkgw_mhyper_native,R1_source,3,37,4276,8552,4276,1,4276,c362b4bf0b1d3dac286cdff0a658a7f26168f9eb3ba3eacc8ac83c551f35c83f
mkgw_mhyper_native,R2_init,3,37,4276,8552,4276,1,4276,ed399385ff7b1d2a6dc99135b99bdc90aecd8a78b43ffe65981995cd30bf4583
mkgw_mhyper_native,R3_softplus_fixed,3,37,4276,8552,4276,1,4276,dc4caf8d11fe92b62e67088eafafcbb0cd635e5296c6f2f651549e1c2f19ea48
mkgw_mhyper_native,R3_softplus,3,37,4276,8552,4276,1,4276,46ac469b7b78481bb5cc58725629c988ff172b0f8a6b0821e3283252e01f392e
mkgw_mhyper_native,R4_swap,3,37,4276,8552,4276,1,4276,7404aa2de8d7184e8807d53e43e46aa0a89e42394edae95e7003b2ef6fbfc1d7
mkgw_mhyper_adamf,R0,1,1,4276,8552,4276,1,4276,e3c63d1b82eff92646a5f238d65f5501fea4bd4db080a5adee2f736d84ed74e7
mkgw_mhyper_adamf,R0,2,2,4276,8552,4276,1,4276,ab5f10c613c671c58c7d200e06cdeda2c4e8b7a68fc8a41d2aeb480eb67e2f03
mkgw_mhyper_adamf,R0,3,3,4276,8552,4276,1,4276,4d9fa4ee0bb1faf766185f3eeb517dbfeb8c9b4b582c975ca742c24e65ab9569
