dataset,pair_id,metric,estimate,ci95_low,ci95_high,bootstrap_samples,bootstrap_unit
db15k,db15k_mhyper_native,transfer_1_to_3,0.009910009887858048,0.008151765553510118,0.011696085821231121,10000,original_triple_id
db15k,db15k_mhyper_native,raw_oracle_seed_2,0.05169497615761438,0.049163871670635254,0.05427949767152619,10000,original_triple_id
db15k,db15k_mhyper_native,transfer_2_to_1,0.008749170008226781,0.007030613665077741,0.010545126422493965,10000,original_triple_id
db15k,db15k_mhyper_native,transfer_2_to_3,0.009208359121368961,0.007269860028372838,0.011224259010107337,10000,original_triple_id
db15k,db15k_mhyper_native,raw_oracle_seed_3,0.04878446574102269,0.046198770617893264,0.05142458351867391,10000,original_triple_id
db15k,db15k_mhyper_native,transfer_3_to_1,0.009205562525516651,0.007556516639659411,0.01086863396478136,10000,original_triple_id
db15k,db15k_mhyper_native,transfer_3_to_2,0.009166933330520783,0.007587137621593785,0.010818190432078179,10000,original_triple_id
db15k,db15k_mhyper_native,raw_oracle_headroom,0.04957918504409018,0.047590785223899076,0.05163045210095611,10000,original_triple_id
db15k,db15k_mhyper_native,cross_seed_transfer_headroom,0.009275313084205164,0.008112256841800468,0.010469829290270597,10000,original_triple_id
db15k,db15k_mhyper_native,transfer_recovery,0.18708078956837912,0.16834995599577354,0.20518139871008942,10000,original_triple_id
db15k,db15k_mhyper_native,loso_stable_headroom,0.012410124447128312,0.010935088385045146,0.013918970900427199,10000,original_triple_id
db15k,db15k_mhyper_native,loso_recovery,0.25030916575357454,0.22636149738431266,0.27360049468879455,10000,original_triple_id
db15k,db15k_mhyper_native,frozen_x4_oof_deployable_gain,0.0021254709659641,0.0012801139317623,0.0029931448919193,10000,original_triple_id
db15k,db15k_mhyper_adamf,raw_oracle_seed_1,0.043734232081830186,0.04153880817665556,0.04600372203307324,10000,original_triple_id
db15k,db15k_mhyper_adamf,transfer_1_to_2,0.007989973888977604,0.0064211155423655126,0.009559963345254883,10000,original_triple_id
db15k,db15k_mhyper_adamf,transfer_1_to_3,0.007104611620969132,0.0055196406187677455,0.008709390704037038,10000,original_triple_id
db15k,db15k_mhyper_adamf,raw_oracle_seed_2,0.04506553196225387,0.04281456663103831,0.04737128400464183,10000,original_triple_id
db15k,db15k_mhyper_adamf,transfer_2_to_1,0.006322167185003836,0.004760158938582528,0.007891948344140714,10000,original_triple_id
db15k,db15k_mhyper_adamf,transfer_2_to_3,0.006260883475742029,0.004682552386379088,0.007887946110107225,10000,original_triple_id
db15k,db15k_mhyper_adamf,raw_oracle_seed_3,0.04755963009353809,0.04519362388065975,0.05005041256556477,10000,original_triple_id
db15k,db15k_mhyper_adamf,transfer_3_to_1,0.006330236701198659,0.004728007323453812,0.007955009579509675,10000,original_triple_id
db15k,db15k_mhyper_adamf,transfer_3_to_2,0.00819373311828782,0.006596798404058112,0.00980962817995078,10000,original_triple_id
db15k,db15k_mhyper_adamf,raw_oracle_headroom,0.04545313137920738,0.04364369709841576,0.0472998147892903,10000,original_triple_id
db15k,db15k_mhyper_adamf,cross_seed_transfer_headroom,0.0070336009983631795,0.00602886400709896,0.008067174599467026,10000,original_triple_id
