dataset,pair_id,pair_label,n_original_triples,n_query_identities,n_seed_direction_queries,alpha0,raw_oracle_headroom,raw_ci95_low,raw_ci95_high,cross_seed_transfer_headroom,transfer_ci95_low,transfer_ci95_high,transfer_recovery,transfer_recovery_ci95_low,transfer_recovery_ci95_high,loso_stable_headroom,loso_ci95_low,loso_ci95_high,loso_recovery,loso_recovery_ci95_low,loso_recovery_ci95_high,exact_alpha_three_seed_agreement,exact_alpha_agreement_seed1_seed2,exact_alpha_agreement_seed1_seed3,exact_alpha_agreement_seed2_seed3,direction_three_seed_agreement,nonanchor_direction_three_seed_agreement,all_anchor_identity_rate,btr_eligible_transfers,beneficial_transfer_rate,zero_transfer_rate,harmful_transfer_rate,frozen_x4_oof_gain,frozen_x4_ci95_low,frozen_x4_ci95_high,frozen_x4_baseline,transfer_ci_lower_gt_zero,loso_ci_lower_gt_zero
mkg_w,mkgw_mhyper_native,MKG-W / M-Hyper+NativE,4276,8552,25656,0.6,0.04662525254682955,0.04438062091562972,0.04900003495032853,0.01080855656050269,0.009589345959301467,0.012083723059887766,0.23181765181103894,0.21169791094973564,0.2518798447494367,0.014542092994768089,0.01292669625769698,0.016206446822356696,0.3118930665343266,0.28476354103146856,0.33823692858356214,0.35769410664172124,0.46082787652011226,0.4641019644527596,0.45088868101029,0.6297942001870908,0.4996839443742099,0.2600561272217025,32616,0.6204930095658573,0.11865342163355408,0.2608535688005887,0.0073390222639384,0.005445282004491,0.0092433910998291,fold-specific OOF Global,True,True
mkg_w,mkgw_mhyper_adamf,MKG-W / M-Hyper+AdaMF,4276,8552,25656,1.0,0.04084078136150231,0.03854743739482635,0.04324461749914321,0.009749924626482498,0.008425425766615955,0.011125341936811214,0.2387301197834833,0.21267862088944609,0.26335392070139907,0.012266644618607313,0.01061724455938602,0.014008572836608795,0.3003528387478454,0.2674040672922717,0.33220032054870746,0.38891487371375116,0.47439195509822263,0.4768475210477081,0.4763797942001871,0.7132834424695977,0.567090395480226,0.3376987839101964,27022,0.673858337650803,0.07597513137443565,0.2501665309747613,0.0059090049786161,0.0046693867663212,0.0071957750514693,fold-specific OOF Global,True,True
mkg_w,mkgw_native_adamf,MKG-W / NativE+AdaMF,4276,8552,25656,0.95,0.047644916484863714,0.04552566140777868,0.049912314619181025,0.00564273488951964,0.00461151536921916,0.006740713549196646,0.11843309435356608,0.09871805579494068,0.13865966266393415,0.007019994198531667,0.005593151954190739,0.008532036098143979,0.14733983636558257,0.11974473953027272,0.17552282711089845,0.3430776426566885,0.4582553788587465,0.4594246959775491,0.46082787652011226,0.49614125350795135,0.3474178403755869,0.22789990645463049,31408,0.5360736118186449,0.15620224146714212,0.30772414671421294,0.0010386891159871,9.341584213811876e-05,0.0019995736690683,fold-specific OOF Global,True,True
db15k,db15k_mhyper_native,DB15K / M-Hyper+NativE,7922,15844,47532,1.0,0.04957918504409018,0.047590785223899076,0.05163045210095611,0.009275313084205164,0.008112256841800468,0.010469829290270597,0.18708078956837912,0.16834995599577354,0.20518139871008942,0.012410124447128312,0.010935088385045146,0.013918970900427199,0.25030916575357454,0.22636149738431266,0.27360049468879455,0.3801439030547841,0.4676849280484726,0.46705377429941936,0.4625094673062358,0.6235167886897248,0.40308215751025717,0.3692880585710679,42776,0.5555685431082851,0.12591172620160837,0.3185197306901066,0.0021254709659641,0.0012801139317623,0.0029931448919193,fold-specific OOF Global,True,True
db15k,db15k_mhyper_adamf,DB15K / M-Hyper+AdaMF,7922,15844,47532,1.0,0.04545313137920738,0.04364369709841576,0.0472998147892903,0.0070336009983631795,0.00602886400709896,0.008067174599467026,0.15474403599794037,0.13577886198984646,0.1734966512863488,0.009323870092076518,0.008033800938310905,0.010657012041259972,0.20513152359711215,0.18059804727735465,0.22935923417371257,0.38197424892703863,0.47058823529411764,0.4685685432971472,0.46219389043170916,0.6339308255491037,0.42086869695456813,0.3678995203231507,43344,0.5689830195644149,0.11208010335917312,0.31893687707641194,0.0009243054036609,0.0003493390317563,0.0015093780415841,fold-specific OOF Global,True,True
db15k,db15k_native_adamf,DB15K / NativE+AdaMF,7922,15844,47532,1.0,0.057545267132930136,0.055881780643982075,0.059237714472819274,0.0033870473810970604,0.0024913968979949014,0.004270636202034629,0.05885883496331588,0.04365884399199218,0.07343059538564321,0.004553674920516819,0.003340621400779101,0.0057632880209813175,0.07913204938292813,0.05870565465712189,0.09903942442917435,0.2737313809644029,0.39964655390053017,0.3803332491795001,0.38885382479171926,0.5050492299924262,0.35371682874567334,0.23415804089876294,49476,0.5551984800711456,0.15482254022152156,0.28997897970733283,0.0015636369484375,0.0010390135561791,0.0021143114399816,fold-specific OOF Global,True,True
