outer_fold,config_id,hidden_width,learning_rate,negative_weight,count,mae,smooth_l1,spearman,positive_prevalence,positive_auprc,positive_auprc_lift,positive_auroc,harmful_prevalence,harmful_auprc,harmful_auprc_lift,harmful_auroc
1,w32_lr1e-4_neg1p0,32,0.0001,1.0,152208,0.03184372014175476,0.027760663873619636,0.05665614468241884,0.3440423630820982,0.38256566710229656,0.03852330402019838,0.5585910400235833,0.21255124566382844,0.20767498630439524,-0.004876259359433199,0.48581993436737503
1,w32_lr1e-4_neg1p5,32,0.0001,1.5,152208,0.0324085424505583,0.02795057810981332,0.05854126182444396,0.3440423630820982,0.38121630329058975,0.037173940208491574,0.5586160335866666,0.21255124566382844,0.20895258404856862,-0.0035986616152598183,0.49026766134259725
1,w32_lr1e-4_neg2p0,32,0.0001,2.0,152208,0.03284323574188974,0.02810744276197072,0.05317871158290553,0.3440423630820982,0.3754564335117382,0.031414070429640006,0.5538971112799196,0.21255124566382844,0.2118417775118205,-0.0007094681520079249,0.49447921880225937
1,w32_lr1e-4_neg3p0,32,0.0001,3.0,152208,0.03421766964468696,0.028774973932532904,0.04851561506668638,0.3440423630820982,0.37258491343987044,0.028542550357772256,0.5495797582194151,0.21255124566382844,0.21283865222199602,0.00028740655816758554,0.4949254779160644
1,w32_lr3e-4_neg1p0,32,0.0003,1.0,152208,0.030899666483251962,0.027504823760624186,0.09105965373037589,0.3440423630820982,0.4183346709728371,0.07429230789073893,0.5950286790944305,0.21255124566382844,0.20027472170254806,-0.012276523961280372,0.4712811221636092
1,w32_lr3e-4_neg1p5,32,0.0003,1.5,152208,0.03126002223053506,0.027571438454967696,0.0832734445401154,0.3440423630820982,0.4095640758603516,0.06552171277825342,0.5816619469509257,0.21255124566382844,0.21362658495756157,0.0010753392937331296,0.4922973060790324
1,w32_lr3e-4_neg2p0,32,0.0003,2.0,152208,0.03176107515327192,0.02770993277200483,0.07350334219443574,0.3440423630820982,0.38683457596362497,0.04279221288152679,0.5749911840045009,0.21255124566382844,0.21300583716002744,0.00045459149619900274,0.49458375252247966
1,w32_lr3e-4_neg3p0,32,0.0003,3.0,152208,0.03248305310639203,0.027941625525207438,0.08492898014407481,0.3440423630820982,0.4049837717610344,0.060941408678936215,0.5939652200987433,0.21255124566382844,0.21487506860228597,0.002323822938457537,0.4824493084672675
1,w32_lr1e-3_neg1p0,32,0.001,1.0,152208,0.030435866785011464,0.027404941449548345,0.11407171144132779,0.3440423630820982,0.43770785867517964,0.09366549559308146,0.6277791317951461,0.21255124566382844,0.19519607618672766,-0.01735516947710078,0.45125906943199134
1,w32_lr1e-3_neg1p5,32,0.001,1.5,152208,0.03057292066620494,0.027418217140705612,0.12214613365586463,0.3440423630820982,0.43506840442542133,0.09102604134332315,0.6211258317033707,0.21255124566382844,0.21488167192283383,0.002330426259005397,0.48807837005069615
