epoch,train_loss,val_loss,val_accuracy
1,0.5976652239419062,0.48516225814819336,0.8879682421684265
2,0.48627791744707294,0.46904265880584717,0.9038095474243164
3,0.47286296805319805,0.4653422236442566,0.890587329864502
4,0.4625095890747511,0.4517344534397125,0.8827618956565857
5,0.4523528709953873,0.44495728611946106,0.9052222371101379
6,0.44524121123100446,0.4442206919193268,0.9149364829063416
7,0.43878218305670397,0.4388815760612488,0.8992063403129578
8,0.43385572145131523,0.4279714822769165,0.9045397043228149
9,0.43078311180379847,0.42313888669013977,0.9043015837669373
10,0.4269229581424906,0.42096808552742004,0.9045555591583252
