dataset,pair_id,global_alpha,alpha,delta_alpha,mean_utility,positive_rate,zero_rate,negative_rate
db15k,db15k_native_adamf,1.0,0.25,-0.75,-0.022304832268237065,0.4070941681393587,0.22060927375241943,0.3722965581082218
db15k,db15k_native_adamf,1.0,0.3,-0.7,-0.02104053709432794,0.41075485988386773,0.22658419591012371,0.3626609442060086
db15k,db15k_native_adamf,1.0,0.35,-0.65,-0.019515154913064825,0.4129849364638559,0.23510477152234285,0.35191029201380125
db15k,db15k_native_adamf,1.0,0.4,-0.6,-0.01767361234525007,0.4153412437936548,0.2436884625094673,0.34097029369687787
db15k,db15k_native_adamf,1.0,0.45,-0.55,-0.015070409301745039,0.4195699739123117,0.25281915341243794,0.32761087267525035
db15k,db15k_native_adamf,1.0,0.5,-0.5,-0.013543445923749182,0.42135824286796264,0.26249684423125474,0.3161449129007826
db15k,db15k_native_adamf,1.0,0.55,-0.44999999999999996,-0.012118470424631623,0.423483127156442,0.27343684254817807,0.30308003029537994
db15k,db15k_native_adamf,1.0,0.6,-0.4,-0.010995870999623672,0.42480855002945384,0.2835773794496339,0.2916140705209122
db15k,db15k_native_adamf,1.0,0.65,-0.35,-0.010318862385673982,0.4260498190692586,0.29548514684843896,0.27846503408230244
db15k,db15k_native_adamf,1.0,0.7,-0.30000000000000004,-0.01029559762521837,0.4239038963224775,0.3118951443238239,0.2642009593536986
db15k,db15k_native_adamf,1.0,0.75,-0.25,-0.00987644822052673,0.4201169738281579,0.3303879491710847,0.24949507700075738
db15k,db15k_native_adamf,1.0,0.8,-0.19999999999999996,-0.009228647759959428,0.41584616679289743,0.3504586383909787,0.23369519481612389
db15k,db15k_native_adamf,1.0,0.85,-0.15000000000000002,-0.007726010270262293,0.40776739880501556,0.3793234031810149,0.21290919801396954
db15k,db15k_native_adamf,1.0,0.9,-0.09999999999999998,-0.005781084737998657,0.39506016999074306,0.4146469746696962,0.19029285533956072
db15k,db15k_native_adamf,1.0,0.95,-0.050000000000000044,-0.0031360026590734175,0.36949844315408564,0.4763106959522006,0.1541908608937137
db15k,db15k_native_adamf,1.0,1.0,0.0,0.0,0.0,1.0,0.0
mkg_w,mkgw_mhyper_adamf,1.0,0.0,-1.0,-0.06307466761121144,0.36174773932023696,0.19847209229809792,0.4397801683816651
mkg_w,mkgw_mhyper_adamf,1.0,0.05,-0.95,-0.051952261333143596,0.3780792017461802,0.21160742126598067,0.4103133769878391
