dataset,pair_id,fragmented_all_query_rate,fragmented_positive_opportunity_rate,beneficial_components_mean_positive_only,beneficial_components_max
mkg_w,mkgw_mhyper_native,0.09494855004677269,0.14937454010301693,1.2232646553838606,8
mkg_w,mkgw_mhyper_adamf,0.03574212659806673,0.0678706239360521,1.085707941677152,5
mkg_w,mkgw_native_adamf,0.08847832865606486,0.1445491594498217,1.222554763117677,7
db15k,db15k_mhyper_native,0.03231507195152739,0.07181597157284458,1.0914999064896203,6
db15k,db15k_mhyper_adamf,0.033072456450391315,0.0725359911406423,1.0901624215577703,8
db15k,db15k_native_adamf,0.048661954052007066,0.09349987872908076,1.139299862559625,7
