dataset,pair_id,expert_a,expert_b,n_seed_direction_queries,n_original_triple_clusters,seeds,directions,global_alpha,global_at_grid_boundary,global_mrr,oracle_mrr,available_headroom,bootstrap_samples,bootstrap_unit,headroom_ci95_low,headroom_ci95_high,headroom_ci95_lower_gt_zero,positive_opportunity_rate,gain_mean,gain_median,width_mean,width_median,distance_mean_positive_only,distance_median_positive_only,plateau_ratio_mean,plateau_ratio_median,best_plateau_ratio_mean,fragmented_all_query_rate,fragmented_positive_opportunity_rate,beneficial_components_mean_positive_only,beneficial_components_max,direction_consistency_macro_head_tail,direction_consistency_macro_supported_relation_x_direction,supported_relation_x_direction_groups
mkg_w,mkgw_mhyper_native,M-Hyper,NativE,25656,4276,"[1, 2, 3]","['head', 'tail']",0.6,False,0.35635605747169213,0.4029813100185217,0.04662525254682955,10000,original_triple (six seed-direction observations per cluster),0.0443554421116729,0.048931563388113955,True,0.6356407857811038,0.04662525254682955,0.00030306091833670027,0.29223647675471803,0.3333333333333333,0.08568493990679417,0.04999999999999993,0.5229030246336139,0.6,0.37622685494528346,0.09494855004677269,0.14937454010301693,1.2232646553838606,8,0.7726826128593502,0.7342089391048752,64
mkg_w,mkgw_mhyper_adamf,M-Hyper,AdaMF-MAT,25656,4276,"[1, 2, 3]","['head', 'tail']",1.0,True,0.35282196536677,0.3936627467282723,0.04084078136150231,10000,original_triple (six seed-direction observations per cluster),0.03850961892355498,0.043265533740348236,True,0.5266214530714063,0.04084078136150231,2.8257367141100003e-05,0.40177921807949873,0.09523809523809523,0.11375915920361189,0.050000000000000044,0.5014986747739321,0.5,0.3349314000623636,0.03574212659806673,0.0678706239360521,1.085707941677152,5,1.0,1.0,64
mkg_w,mkgw_native_adamf,NativE,AdaMF-MAT,25656,4276,"[1, 2, 3]","['head', 'tail']",0.95,False,0.3348552897395901,0.3825002062244539,0.047644916484863714,10000,original_triple (six seed-direction observations per cluster),0.04551957476709402,0.049776503085767726,True,0.6120985344558778,0.047644916484863714,6.688916129225005e-05,0.28394174944689443,0.047619047619047616,0.08520440652063167,0.050000000000000044,0.5084989865918303,0.55,0.33133806999569393,0.08847832865606486,0.1445491594498217,1.222554763117677,7,0.672217384005025,0.7171038696869614,64
db15k,db15k_mhyper_native,M-Hyper,NativE,47532,7922,"[1, 2, 3]","['head', 'tail']",1.0,True,0.38258701302410913,0.4321661980681993,0.049579185044090174,10000,original_triple (six seed-direction observations per cluster),0.0475496340837312,0.05158842913215327,True,0.4499705461583775,0.049579185044090174,0.0,0.32252357309161145,0.0,0.13597811857116143,0.050000000000000044,0.560450854161407,0.7,0.37967204049001574,0.03231507195152739,0.07181597157284458,1.0914999064896203,6,1.0,1.0,120
db15k,db15k_mhyper_adamf,M-Hyper,AdaMF-MAT,47532,7922,"[1, 2, 3]","['head', 'tail']",1.0,True,0.38258701302410913,0.4280401444033165,0.04545313137920738,10000,original_triple (six seed-direction observations per cluster),0.04369224809013766,0.04728487746162662,True,0.4559454683160818,0.04545313137920738,0.0,0.33055024584941267,0.0,0.12372416020671836,0.050000000000000044,0.5515368593789447,0.7,0.34298497653710985,0.033072456450391315,0.0725359911406423,1.0901624215577703,8,1.0,1.0,120
db15k,db15k_native_adamf,NativE,AdaMF-MAT,47532,7922,"[1, 2, 3]","['head', 'tail']",1.0,True,0.32102191827913534,0.37856718541206547,0.057545267132930136,10000,original_triple (six seed-direction observations per cluster),0.055881190200287346,0.059262008835142405,True,0.520449381469326,0.057545267132930136,2.095360790515002e-05,0.39012615060330286,0.09523809523809523,0.12250181906378851,0.050000000000000044,0.5474280484726078,0.7,0.3309169161226722,0.048661954052007066,0.09349987872908076,1.139299862559625,7,1.0,1.0,120
