dataset,pair,n_queries,harm_rate,improvement_rate,tie_rate,mean_delta,mean_harm_given_harm,mean_gain_given_gain,delta_q01,delta_q05,delta_q10,cvar10,severe_harm_rate_delta_le_minus_0_1,top1_loss_rate,top1_gain_rate,top10_loss_rate,top10_gain_rate
MKG-W,M-Hyper + NativE,25644,0.30771330525659024,0.3937373264701295,0.2985493682732803,-0.01602999798649127,-0.14193361881682615,0.07021144079607736,-0.6666666666666667,-0.5,-0.08333333333333331,-0.4120310337365091,0.09456403057245359,0.06258773982218063,0.02468413664014974,0.022188426142567462,0.03443300577133052
MKG-W,M-Hyper + AdaMF-MAT,25644,0.3969349555451568,0.3762673529870535,0.22679769146778975,-0.04930825912315485,-0.20040192010941874,0.0803637835878941,-0.9090909090909091,-0.5,-0.5,-0.6024470075782352,0.15843862111995008,0.1075495242551864,0.024918109499298083,0.05046014662299173,0.04016534082046483
DB15K,M-Hyper + NativE,59412,0.4130983639668754,0.3133205413047869,0.2735810947283377,-0.04114478564555039,-0.16894417852703905,0.09142642862292133,-0.8333333333333334,-0.5,-0.3160919540229885,-0.5781058249291042,0.14488655490473304,0.08969568437352723,0.025365246078233355,0.04165825085841244,0.033259274220696154
DB15K,M-Hyper + AdaMF-MAT,59412,0.46884467784286005,0.3177304248300007,0.2134248973271393,-0.070642455745944,-0.21055085448993754,0.08835537802824527,-0.8333333333333334,-0.5,-0.5,-0.6175207928762217,0.20186157678583452,0.13702618999528715,0.022184070558136402,0.04472160506295025,0.03659193428936915
