dataset,pair_id,representation,learner,count,oof_mrr,fold_specific_global_mrr,delta_mrr,clustered_ci95_low,clustered_ci95_high,headroom_recovery,negative_transfer_rate,positive_gain_rate,changed_rate,spearman_pred_u_actual_u,positive_ap,positive_prevalence,positive_ap_lift,harmful_ap,harmful_prevalence,harmful_ap_lift,positive_vs_harmful_auroc,training_gain,oof_gain,train_oof_generalization_gap
mkg_y,mkg_y_mhyper_native,X4,linear_huber,15990,0.33941686823617045,0.33932297353978536,9.389469638500234e-05,-0.000827851045221218,0.0010025922524478969,0.0025483202036143755,0.2129455909943715,0.06735459662288931,0.5507191994996873,0.14423802481480227,0.22548502224633027,0.240187617260788,-0.014702595014457726,0.5031583075044833,0.41155722326454036,0.09160108423994295,0.548783357422464,0.0004236900241301938,9.389469638500234e-05,0.00032979532774519147
mkg_y,mkg_y_mhyper_native,X4,hist_gbdt,15990,0.343027651193319,0.33932297353978536,0.0037046776535336052,0.0022528211640699914,0.005166642298116578,0.10054566738964751,0.17661038148843028,0.13595997498436524,0.5613508442776736,0.04928863503634743,0.2084628395599003,0.240187617260788,-0.03172477770088769,0.42701867744754185,0.41155722326454036,0.015461454183001488,0.49641664685280135,0.014595912216199375,0.0037046776535336052,0.01089123456266577
mkg_y,mkg_y_mhyper_native,X4,mlp_low,15990,0.33835965335837126,0.33932297353978536,-0.0009633201814141411,-0.0026921180096072367,0.0007638373959855942,-0.02614469587058839,0.24590368980612884,0.3042526579111945,0.8419011882426517,0.20174282951686204,0.28351970576613084,0.240187617260788,0.04333208850534284,0.5181828938557441,0.41155722326454036,0.10662567059120376,0.6247703412849234,0.009240041832287302,-0.0009633201814141411,0.010203362013701443
mkg_y,mkg_y_mhyper_native,X4,mlp_high,15990,0.34074605524432405,0.33932297353978536,0.0014230817045386291,-0.0004826587431623192,0.00332079141657232,0.03862271245012538,0.2759224515322076,0.24859287054409004,0.8085678549093184,0.1361224054177939,0.25069171073402485,0.240187617260788,0.010504093473236858,0.4906537406087042,0.41155722326454036,0.07909651734416384,0.5763570187170417,0.02077948249197061,0.0014230817045386291,0.01935640078743198
mkg_y,mkg_y_mhyper_adamf,X4,linear_huber,15990,0.337455249304847,0.33607007112291604,0.0013851781819309342,-0.0006594708429930094,0.0034373323245289133,0.0314315187123387,0.1955597248280175,0.13158223889931206,0.5396497811131957,0.2276997806173163,0.4322145201382875,0.29896497811131956,0.13324954202696793,0.46496084403588267,0.3660068792995622,0.09895396473632045,0.6438863055874247,0.0008262439645378765,0.0013851781819309342,-0.0005589342173930577
mkg_y,mkg_y_mhyper_adamf,X4,hist_gbdt,15990,0.34284326116939334,0.33607007112291604,0.006773190046477292,0.00483067448806834,0.008698088542994765,0.15369260970549428,0.1438398999374609,0.15966228893058163,0.5316447779862414,0.1218242413122628,0.31431699008227504,0.29896497811131956,0.015352011970955481,0.38639873487063886,0.3660068792995622,0.020391855571076645,0.5789386045254864,0.01584397284285097,0.006773190046477292,0.009070782796373678
mkg_y,mkg_y_mhyper_adamf,X4,mlp_low,15990,0.33932297967739683,0.33607007112291604,0.003252908554480734,0.0007383092170171661,0.005766130830574271,0.07381278266826308,0.23270794246404003,0.33464665415884925,0.8363977485928705,0.2418269122496559,0.392540990915683,0.29896497811131956,0.09357601280436345,0.48466738767812434,0.3660068792995622,0.11866050837856212,0.6586234173329459,0.010596652536276913,0.003252908554480734,0.007343743981796179
mkg_y,mkg_y_mhyper_adamf,X4,mlp_high,15990,0.33946255127150454,0.33607007112291604,0.0033924801485885055,0.0010652763177263736,0.005771963817813033,0.07697984610395334,0.24427767354596622,0.30619136960600374,0.8252657911194496,0.185245562513911,0.37684738444775456,0.29896497811131956,0.077882406336435,0.43895202760235996,0.3660068792995622,0.07294514830279775,0.6207294098757384,0.02549766588281291,0.0033924801485885055,0.022105185734224403
mkg_y,mkg_y_native_adamf,X4,linear_huber,15990,0.3276318212968942,0.32765413605925703,-2.2314762362731148e-05,-0.0009960961688084303,0.0009338042845299867,-0.0005896476964210835,0.2048780487804878,0.25872420262664164,0.6626016260162602,0.026463307020939825,0.3643393953351422,0.30495622263914945,0.05938317269599275,0.29403066116302806,0.3406003752345216,-0.04656971407149352,0.5214899449751215,0.0005468243198014583,-2.2314762362731148e-05,0.0005691390821641895
mkg_y,mkg_y_native_adamf,X4,hist_gbdt,15990,0.327277752773554,0.32765413605925703,-0.0003763832857030056,-0.001441721547156392,0.0007223544963768543,-0.009945592687862837,0.11200750469043153,0.10600375234521577,0.3554096310193871,0.012977846883892571,0.31425415052900524,0.30495622263914945,0.009297927889855784,0.2945729220659285,0.3406003752345216,-0.04602745316859308,0.5096550106863877,0.008648886387966037,-0.0003763832857030056,0.009025269673669043
mkg_y,mkg_y_native_adamf,X4,mlp_low,15990,0.32677293786684747,0.32765413605925703,-0.0008811981924095212,-0.0025436842831937155,0.0006674017709998782,-0.023284876432854037,0.2659161976235147,0.2553470919324578,0.7936835522201375,0.045536151790591325,0.3218840998753547,0.30495622263914945,0.016927877236205258,0.34824375505951205,0.3406003752345216,0.0076433798249904705,0.528365839412161,0.004906047418527772,-0.0008811981924095212,0.005787245610937293
mkg_y,mkg_y_native_adamf,X4,mlp_high,15990,0.323979311242948,0.32765413605925703,-0.0036748248163090084,-0.005399289888117556,-0.0019361688768786156,-0.09710396877479598,0.2898061288305191,0.2706066291432145,0.8219512195121951,0.03071669464035335,0.3149826936292147,0.30495622263914945,0.010026470990065262,0.3398618103488952,0.3406003752345216,-0.0007385648856264027,0.5197744322076042,0.020789374412373534,-0.0036748248163090084,0.024464199228682544
