dataset,pair_id,representation,distance_decile,neighbor_pairs,distance_low,distance_high,mean_distance,direction_agreement,exact_action_agreement,beneficial_set_jaccard,both_empty_rate,matched_direction_agreement_reference,matched_exact_action_agreement_reference,matched_beneficial_set_jaccard_reference
mkg_y,mkg_y_native_adamf,X4,1,79950,0.0,1.7044543623924255,1.422058168879554,0.48719199499687305,0.2762476547842401,0.33336873990932114,0.13228267667292057,0.42609841269841264,0.26605987728424707,0.24332377119980877
mkg_y,mkg_y_native_adamf,X4,2,79949,1.7044543623924255,1.954800009727478,1.8361204773637567,0.5002063815682498,0.31620157850629776,0.30874062780212275,0.189145580307446,0.42609841269841264,0.26605987728424707,0.24332377119980877
mkg_y,mkg_y_native_adamf,X4,3,79950,1.954800009727478,2.1677682399749756,2.06153265985867,0.5039024390243902,0.33362101313320824,0.2918129701262402,0.21968730456535335,0.42609841269841264,0.26605987728424707,0.24332377119980877
mkg_y,mkg_y_native_adamf,X4,4,79951,2.1677682399749756,2.3781705856323243,2.2730567400779713,0.48769871546322124,0.3195457217545747,0.2764643815457728,0.21405610936698727,0.42609841269841264,0.26605987728424707,0.24332377119980877
mkg_y,mkg_y_native_adamf,X4,5,79950,2.3781705856323243,2.588190197944641,2.48275859278392,0.4735209505941213,0.30198874296435274,0.2707802977068928,0.19753595997498435,0.42609841269841264,0.26605987728424707,0.24332377119980877
mkg_y,mkg_y_native_adamf,X4,6,79950,2.588190197944641,2.8160503864288335,2.6999741821396417,0.46360225140712946,0.29598499061913697,0.268860836085234,0.19029393370856784,0.42609841269841264,0.26605987728424707,0.24332377119980877
mkg_y,mkg_y_native_adamf,X4,7,79950,2.8160503864288335,3.083328938484192,2.944592847552726,0.45754846779237024,0.30248905565978734,0.2542565619329002,0.20118824265165727,0.42609841269841264,0.26605987728424707,0.24332377119980877
mkg_y,mkg_y_native_adamf,X4,8,79950,3.083328938484192,3.472881841659547,3.260342498216277,0.4557723577235772,0.3142589118198874,0.23791729254231825,0.2229518449030644,0.42609841269841264,0.26605987728424707,0.24332377119980877
mkg_y,mkg_y_native_adamf,X4,9,79950,3.472881841659547,4.2640116691589345,3.8194036759578713,0.46505315822388993,0.3282926829268293,0.21813861432503276,0.25240775484677924,0.42609841269841264,0.26605987728424707,0.24332377119980877
mkg_y,mkg_y_native_adamf,X4,10,79950,4.2640116691589345,24.090410232543945,5.454317489943704,0.45123202001250784,0.3121951219512195,0.2609969334480936,0.19483427141963727,0.42609841269841264,0.26605987728424707,0.24332377119980877
