split,pool,aggregation,decile,quota_fraction,pairs,n,method,accepted,intervention,harm_all,harm_accepted,harm_active,utility,mean_loss,mean_movement,accepted_random_lo,accepted_random_hi,accepted_valid_draws,intervention_random_lo,intervention_random_hi,intervention_valid_draws,harm_all_random_lo,harm_all_random_hi,harm_all_valid_draws,harm_accepted_random_lo,harm_accepted_random_hi,harm_accepted_valid_draws,harm_active_random_lo,harm_active_random_hi,harm_active_valid_draws,utility_random_lo,utility_random_hi,utility_valid_draws,mean_loss_random_lo,mean_loss_random_hi,mean_loss_valid_draws,mean_movement_random_lo,mean_movement_random_hi,mean_movement_valid_draws
dev_oof,All,macro,0,0.0,4,146376,Confidence,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
dev_oof,All,macro,0,0.0,4,146376,Random,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,512.0,0.0,0.0,512.0,0.0,0.0,512.0,,,0.0,,,0.0,0.0,0.0,512.0,0.0,0.0,512.0,0.0,0.0,512.0
dev_oof,All,macro,1,0.1,4,146376,Confidence,0.08935359937123152,0.046657334860697855,0.008966343937897149,0.100347191410063,0.19920215995468873,0.00016637633665257532,0.0004987503571676819,0.010912491369115155,,,,,,,,,,,,,,,,,,,,,,,,
dev_oof,All,macro,1,0.1,4,146376,Random,0.08935359937123154,0.04554619699569752,0.009069509377780241,0.10150836929497466,0.18353629052147896,3.3414113720079695e-05,0.00036836372734078376,0.005460366992452988,0.08935359937123152,0.08935359937123152,512.0,0.04488357074367585,0.04618862620205564,512.0,0.008626115818129948,0.009523004705431276,512.0,0.09654552558148707,0.10658404232111694,512.0,0.17451053833006297,0.19269292778605118,512.0,-5.3080501277494686e-05,0.00013260903574082984,512.0,0.00030895192494926065,0.0004333738043222468,512.0,0.005352128262200909,0.005570118754052707,512.0
dev_oof,All,macro,2,0.2,4,146376,Confidence,0.1811527719162678,0.09867730189270552,0.019425166243181594,0.10724929963799323,0.19817259148790828,0.00034098301451956166,0.0009597691642052458,0.02019971546223164,,,,,,,,,,,,,,,,,,,,,,,,
dev_oof,All,macro,2,0.2,4,146376,Random,0.1811527719162678,0.09243126070479477,0.018419722532140442,0.10177678326097556,0.18405334448615768,6.777664735003196e-05,0.0007415233965627543,0.011052276695539636,0.1811527719162678,0.1811527719162678,512.0,0.09155844788272026,0.0934679778920244,512.0,0.0177826686863193,0.018986736100762448,512.0,0.09825812125689586,0.10491211459474208,512.0,0.17728679571324868,0.1899919194538325,512.0,-6.061419699768484e-05,0.0001897425601066198,512.0,0.0006541292819655534,0.0008356954852785025,512.0,0.010897506098643643,0.011209737619674191,512.0
dev_oof,All,macro,3,0.3,4,146376,Confidence,0.2744145798051111,0.15488338091291873,0.030570525694589918,0.11141810748906185,0.19587140404988584,0.00033732741806675955,0.0015194830079205343,0.028714355434578204,,,,,,,,,,,,,,,,,,,,,,,,
dev_oof,All,macro,3,0.3,4,146376,Random,0.27441457980511114,0.14029632159419556,0.028057920701648066,0.10228876370462593,0.18477221304528907,0.00010781743943052897,0.0011204450229448297,0.016738044592281072,0.2744145798051111,0.2744145798051111,512.0,0.139334501902593,0.14138649114343882,512.0,0.027303983082501378,0.028789816204859712,512.0,0.09953722454202991,0.10495710638505423,512.0,0.18021544527179767,0.1896678628100624,512.0,-2.7394957959537903e-05,0.000245783099384335,512.0,0.0010207766675943304,0.0012107225661065447,512.0,0.016569763046786385,0.016918783486868816,512.0
dev_oof,All,macro,4,0.4,4,146376,Confidence,0.3669804358869416,0.2121510459754669,0.041393993289892954,0.11287664518321563,0.1931194158781813,0.00037655447504363054,0.002008790649162929,0.03622157183242092,,,,,,,,,,,,,,,,,,,,,,,,
dev_oof,All,macro,4,0.4,4,146376,Random,0.36698043588694157,0.18726932690790815,0.037451442817299674,0.10222649043822069,0.1849863524650414,0.0001411632905999665,0.0014942596708183097,0.02232050727816472,0.3669804358869416,0.3669804358869416,512.0,0.1861690853439723,0.18837680530243148,512.0,0.036647685177695656,0.03816109031652705,512.0,0.100030269015618,0.10416316302665322,512.0,0.18134802829140717,0.18857869160173202,512.0,-8.699353678574455e-06,0.00028031154455180257,512.0,0.0013929947893531964,0.0015980628884480327,512.0,0.022125655871846506,0.02249563735204984,512.0
