pair,label,split,pool,eligible_units,strata,random_seed,random_draws,decile,quota_fraction,n,method,accepted_n,active_n,harm_n,delta_sum,loss_sum,movement_sum,accepted,intervention,harm_all,harm_accepted,harm_active,utility,mean_loss,mean_movement,accepted_random_lo,accepted_random_hi,accepted_valid_draws,intervention_random_lo,intervention_random_hi,intervention_valid_draws,harm_all_random_lo,harm_all_random_hi,harm_all_valid_draws,harm_accepted_random_lo,harm_accepted_random_hi,harm_accepted_valid_draws,harm_active_random_lo,harm_active_random_hi,harm_active_valid_draws,utility_random_lo,utility_random_hi,utility_valid_draws,mean_loss_random_lo,mean_loss_random_hi,mean_loss_valid_draws,mean_movement_random_lo,mean_movement_random_hi,mean_movement_valid_draws,accepted_n_exact_expectation,active_n_exact_expectation,harm_n_exact_expectation,delta_sum_exact_expectation,loss_sum_exact_expectation,movement_sum_exact_expectation
mkgw_mhyper_native,W-N,dev_oof,All,22386,150,2026091200,512,0,0.0,25656,Confidence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mkgw_mhyper_native,W-N,dev_oof,All,22386,150,2026091200,512,0,0.0,25656,Random,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,512.0,0.0,0.0,512.0,0.0,0.0,512.0,,,0.0,,,0.0,0.0,0.0,512.0,0.0,0.0,512.0,0.0,0.0,512.0,0.0,0.0,0.0,0.0,0.0,0.0
mkgw_mhyper_native,W-N,dev_oof,All,22386,150,2026091200,512,1,0.1,25656,Confidence,2292.0,2292.0,422.0,13.175965423514528,14.447882708675627,750.449999999999,0.08933582787652011,0.08933582787652011,0.01644839413782351,0.18411867364746945,0.18411867364746945,0.0005135627308822313,0.0005631385527235589,0.029250467726847484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mkgw_mhyper_native,W-N,dev_oof,All,22386,150,2026091200,512,1,0.1,25656,Random,2292.0,2056.51171875,501.01953125,7.20334897869097,16.44393329001721,334.6668945312497,0.08933582787652014,0.08015714525841909,0.019528357158169626,0.21859490892233857,0.24362464047176224,0.0002807666424497571,0.0006409390898821799,0.013044390962396714,0.08933582787652011,0.08933582787652011,512.0,0.07903706735266604,0.0811593779232928,512.0,0.018154622700343,0.021017500779544746,512.0,0.20321771378708553,0.23526396160558463,512.0,0.22674290481288292,0.26170727524766674,512.0,5.3176803695414414e-06,0.0005652907937196501,512.0,0.0004597581838581278,0.0008298016329965651,512.0,0.012674082086061746,0.01340885173058934,512.0,2292.0,2056.474683006085,499.1405578314556,7.331941638219577,16.39472867921166,334.8712647341885
mkgw_mhyper_native,W-N,dev_oof,All,22386,150,2026091200,512,2,0.2,25656,Confidence,4635.0,4635.0,930.0,34.6987503189403,30.068410707173925,1349.6499999999974,0.18065949485500468,0.18065949485500468,0.0362488306828812,0.20064724919093851,0.20064724919093851,0.0013524614249664911,0.001171983579169548,0.05260562831306507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mkgw_mhyper_native,W-N,dev_oof,All,22386,150,2026091200,512,2,0.2,25656,Random,4635.0,4156.978515625,1011.59765625,14.658805714863723,32.91850962597641,675.6765624999998,0.18065949485500474,0.16202753802716713,0.03942928189312441,0.21825192152103562,0.24335053021394568,0.0005713597487863939,0.0012830725610374345,0.026336005710165263,0.18065949485500468,0.18065949485500468,512.0,0.16062519488618646,0.16344032584970378,512.0,0.0375740567508575,0.04124668693483006,512.0,0.20798274002157496,0.22831175836030204,512.0,0.2314825940449519,0.2542904547029058,512.0,0.00019648168983043543,0.0009818561771486277,512.0,0.0010505406682762397,0.0015561543766700874,512.0,0.025886927034611783,0.026788421811661987,512.0,4635.0,4157.783750568536,1010.2307733801733,14.698697905197026,32.99509405555898,675.7792938913689
mkgw_mhyper_native,W-N,dev_oof,All,22386,150,2026091200,512,3,0.3,25656,Confidence,7032.0,7032.0,1478.0,42.16227487660971,51.938909952497454,1868.700000000001,0.27408793264733394,0.27408793264733394,0.05760835671967571,0.2101820250284414,0.2101820250284414,0.0016433689926960442,0.0020244352179801003,0.07283676333021519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mkgw_mhyper_native,W-N,dev_oof,All,22386,150,2026091200,512,3,0.3,25656,Random,7032.0,6297.845703125,1538.765625,22.432928425929163,50.08363089838038,1020.5400390625006,0.2740879326473339,0.24547262640805267,0.05997683290458372,0.2188233255119454,0.24433232491415563,0.0008743735744437629,0.0019521215660422658,0.039777831269975805,0.27408793264733394,0.27408793264733394,512.0,0.24368568755846587,0.24723261615216713,512.0,0.05780324290614281,0.062216440598690366,512.0,0.21089306029579066,0.22699445392491466,512.0,0.23588564338025053,0.2530578851710435,512.0,0.0004257639618366723,0.0013182124224857504,512.0,0.0016731944211837795,0.0022345786221200986,512.0,0.03927151543498594,0.04035732382288742,512.0,7032.0,6297.97238301055,1536.5778912857934,22.28300019091483,50.131154634036825,1020.5296514608772
mkgw_mhyper_native,W-N,dev_oof,All,22386,150,2026091200,512,4,0.4,25656,Confidence,9369.0,9369.0,1962.0,53.42199544375627,69.04707825004412,2316.9499999999953,0.365177736202058,0.365177736202058,0.0764733395696913,0.20941402497598463,0.20941402497598463,0.002082241793099325,0.002691264353369353,0.09030830994699077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mkgw_mhyper_native,W-N,dev_oof,All,22386,150,2026091200,512,4,0.4,25656,Random,9369.0,8393.3515625,2047.19140625,29.752115768626652,66.68083368584026,1360.3987304687514,0.3651777362020579,0.32714965553866543,0.07979386522645776,0.21850692776710426,0.24390693139556927,0.001159655276295084,0.0025990346774961122,0.0530245841311486,0.365177736202058,0.365177736202058,512.0,0.3252387355784222,0.32904583723105707,512.0,0.07740879326473339,0.08201687714374804,512.0,0.21197566442523214,0.22459440708720246,512.0,0.23683805023071852,0.2508387816454885,512.0,0.0006981387337384732,0.0016282743339472042,512.0,0.002302315426031529,0.0029077838622540183,512.0,0.05247568794823816,0.05364632054879942,512.0,9369.0,8394.272980340173,2046.0384198114864,29.65197398507935,66.69088493996279,1360.7257533886734
mkgw_mhyper_native,W-N,dev_oof,All,22386,150,2026091200,512,5,0.5,25656,Confidence,11826.0,11826.0,2509.0,65.19861839077922,87.32985738609501,2676.8500000000054,0.4609448082319925,0.4609448082319925,0.0977938883691924,0.21215964823270758,0.21215964823270758,0.0025412620202205807,0.003403876574138409,0.10433621764889325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mkgw_mhyper_native,W-N,dev_oof,All,22386,150,2026091200,512,5,0.5,25656,Random,11826.0,10577.869140625,2590.7578125,37.04257231517016,84.27916511604528,1708.9060546874991,0.4609448082319927,0.41229611555289214,0.10098058202759588,0.2190730435058346,0.24492270971239727,0.00144381713108708,0.0032849690176194758,0.06660843680571787,0.4609448082319925,0.4609448082319925,512.0,0.4103825615840349,0.4143845494231369,512.0,0.09865138758964764,0.10322049423136888,512.0,0.21401995602908844,0.22393243700321325,512.0,0.23930101523483144,0.2502102262917177,512.0,0.000976660621929165,0.0019326255121047495,512.0,0.0029769958349224195,0.003599166969693951,512.0,0.06602115489554092,0.06720737839101952,512.0,11826.0,10580.022218842794,2589.658264989832,37.11177028980097,84.11726843447688,1709.4283836854538
mkgw_mhyper_native,W-N,dev_oof,All,22386,150,2026091200,512,6,0.6,25656,Confidence,14157.0,14157.0,3115.0,72.08196325496466,112.26396103088919,2953.1500000000015,0.551800748362956,0.551800748362956,0.1214140941690053,0.2200324927597655,0.2200324927597655,0.002809555786364385,0.004375739048600296,0.11510562831306523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mkgw_mhyper_native,W-N,dev_oof,All,22386,150,2026091200,512,6,0.6,25656,Random,14157.0,12668.208984375,3099.44921875,44.379486494786015,101.00414536490992,2047.9675781249998,0.5518007483629559,0.49377178766662766,0.12080796767812597,0.2189340410221092,0.2446639093962145,0.0017297897760674308,0.003936862541507243,0.07982411826180998,0.551800748362956,0.551800748362956,512.0,0.49176703305269726,0.4958684128468974,512.0,0.11825693794823823,0.12299072341752416,512.0,0.21431094158366887,0.22288973652610017,512.0,0.23956230451862046,0.248588213129396,512.0,0.0012238478667637343,0.0022044931878774333,512.0,0.003618702050463643,0.004233279839406493,512.0,0.07925412184284363,0.0804083352821951,512.0,14157.0,12670.979013677974,3098.059086599157,44.4675287650829,100.68743760414567,2048.917473448695
mkgw_mhyper_native,W-N,dev_oof,All,22386,150,2026091200,512,7,0.7,25656,Confidence,16482.0,16482.0,3810.0,76.13521552186832,133.8678588536302,3170.2499999999936,0.642422825070159,0.642422825070159,0.14850327408793265,0.23116126683654897,0.23116126683654897,0.002967540361781584,0.005217799300500085,0.12356758652946655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mkgw_mhyper_native,W-N,dev_oof,All,22386,150,2026091200,512,7,0.7,25656,Random,16482.0,14753.716796875,3604.486328125,51.8078910892825,117.55958834120494,2386.843554687499,0.642422825070159,0.5750591205517228,0.14049291893221857,0.21869229026362091,0.24431064796729407,0.002019328464658658,0.004582147970891991,0.09303256761332626,0.642422825070159,0.642422825070159,512.0,0.5732684362332398,0.5771359526036794,512.0,0.13822595104458996,0.14257873401933271,512.0,0.21516351170974396,0.2219390850624924,512.0,0.24033152576702513,0.24784580262967024,512.0,0.0015336858754033153,0.0024902319061389745,512.0,0.004277732897702272,0.004867771878652718,512.0,0.09248431166198932,0.09360320198004358,512.0,16482.0,14755.2796110076,3603.919615124849,51.84253651799658,117.23260045045124,2387.3935753764913
mkgw_mhyper_native,W-N,dev_oof,All,22386,150,2026091200,512,8,0.8,25656,Confidence,18891.0,18873.0,4475.0,79.94903805866971,149.72134995428235,3307.9000000000133,0.7363189897100093,0.7356173994387278,0.17442313688805738,0.23688528929119687,0.23711121708260477,0.0031161926277934876,0.0058357245850593365,0.12893280324290665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mkgw_mhyper_native,W-N,dev_oof,All,22386,150,2026091200,512,8,0.8,25656,Random,18891.0,16907.185546875,4133.103515625,59.36521082081782,134.59319099695452,2733.5243164062476,0.7363189897100091,0.6589953830244386,0.1610969564867867,0.2187869099372717,0.24445845290206503,0.002313891909136961,0.005246070743566981,0.10654522592790187,0.7363189897100093,0.7363189897100093,512.0,0.6573511069535392,0.6607508964764578,512.0,0.15891019644527596,0.1629638291237917,512.0,0.21581705574082896,0.22132232279921657,512.0,0.24128672687935515,0.2472486881094084,512.0,0.0018683674153893712,0.002739434824344532,512.0,0.004995007887223789,0.005476587002829499,512.0,0.10608990099781725,0.10707768163392578,512.0,18891.0,16907.46824344961,4133.866733030469,59.420804844965225,134.38322848854946,2733.8639329459993
mkgw_mhyper_native,W-N,dev_oof,All,22386,150,2026091200,512,9,0.9,25656,Confidence,21222.0,20950.0,5105.0,75.43025990882413,166.84708133953396,3411.750000000035,0.8271749298409729,0.8165731212971624,0.19897879638291238,0.2405522570916973,0.24367541766109785,0.0029400631395706317,0.00650323828108567,0.13298058933582924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mkgw_mhyper_native,W-N,dev_oof,All,22386,150,2026091200,512,9,0.9,25656,Random,21222.0,18996.169921875,4640.76953125,66.60268880681276,151.1462508399514,3072.6057617187507,0.827174929840973,0.7404182227110617,0.18088437524360773,0.21867729390491003,0.24430017698079876,0.0025959888060029888,0.00589126328499966,0.11976168388364332,0.8271749298409729,0.8271749298409729,512.0,0.7390084190832554,0.7418927346429685,512.0,0.17931672903024634,0.18237449329591518,512.0,0.21678211290170576,0.22047874846857035,512.0,0.24224346499763322,0.24632248249656655,512.0,0.002269364070884124,0.002906970762690527,512.0,0.005686490150598336,0.00607896558519288,512.0,0.11938552385406936,0.12017700537885886,512.0,21222.0,18996.77731101207,4641.356948579188,66.79359507069184,150.96902640527645,3073.0519621031785
