dataset,model,seed,split,direction,rows,export_vs_shared_mismatches,alpha_one_vs_shared_mismatches,alpha_zero_vs_shared_mismatches,normalized_vs_raw_mismatches,raw_nonfinite_rows,normalized_nonfinite_gold_rows,raw_rr_sum,normalized_rr_sum,raw_contract_exception_rows
db15k,NativE,2,test,head,9902,0,0,0,6,0,0,2056.494509699374,2059.494509699374,0
db15k,NativE,2,test,tail,9902,0,0,0,8,0,0,4160.471107929068,4164.137774595735,0
db15k,M-Hyper,3,dev,head,7922,0,0,0,0,0,0,1917.2618262143021,1917.2618262143021,0
db15k,M-Hyper,3,dev,tail,7922,0,0,0,1,0,0,4128.718875494458,4128.719009148562,0
db15k,M-Hyper,3,test,head,9902,0,0,0,0,0,0,2339.2827596191205,2339.2827596191205,0
db15k,M-Hyper,3,test,tail,9902,0,0,0,0,0,0,5057.818852357354,5057.818852357354,0
db15k,NativE,3,dev,head,7922,0,0,0,2,0,0,1672.1243322176267,1673.1243322176267,0
db15k,NativE,3,dev,tail,7922,0,0,0,0,0,0,3359.9290446519844,3359.9290446519844,0
db15k,NativE,3,test,head,9902,0,0,0,1,0,0,2044.7415925643206,2045.2415925643206,0
db15k,NativE,3,test,tail,9902,0,0,0,2,0,0,4091.7359840708273,4092.7359840708273,0
db15k,AdaMF-MAT,1,dev,head,7922,0,0,0,1,0,0,1473.3853609342511,1473.8853609342511,0
db15k,AdaMF-MAT,1,dev,tail,7922,0,0,0,0,0,0,3172.52622753678,3172.52622753678,0
db15k,AdaMF-MAT,1,test,head,9902,0,0,0,1,0,0,1797.7866815849975,1798.2866815849975,0
db15k,AdaMF-MAT,1,test,tail,9902,0,0,0,2,0,0,3839.907325491777,3840.907325491777,0
db15k,AdaMF-MAT,2,dev,head,7922,0,0,0,0,0,0,1401.9092619439498,1401.9092619439498,0
db15k,AdaMF-MAT,2,dev,tail,7922,0,0,0,4,0,0,3095.9068412107404,3097.4901745440743,0
db15k,AdaMF-MAT,2,test,head,9902,0,0,0,0,0,0,1686.7497194250382,1686.7497194250382,0
db15k,AdaMF-MAT,2,test,tail,9902,0,0,0,6,0,0,3731.154749241642,3734.154749241642,0
db15k,AdaMF-MAT,3,dev,head,7922,0,0,0,0,0,0,1528.2671767703453,1528.2671767703453,0
db15k,AdaMF-MAT,3,dev,tail,7922,0,0,0,1,0,0,3208.198626317028,3208.698626317028,0
db15k,AdaMF-MAT,3,test,head,9902,0,0,0,0,0,0,1855.3431822353036,1855.3431822353036,0
db15k,AdaMF-MAT,3,test,tail,9902,0,0,0,3,0,0,3878.2027083903567,3879.7027083903567,0
