outer_fold,count,training_gain,positive_gain_rate,negative_transfer_rate
1,12798,0.013504021529579241,0.16565088295046101,0.15752461322081576
2,12780,0.014073464258306714,0.17198748043818465,0.14663536776212832
3,12786,0.015815725177803542,0.1566557171906773,0.20319099014547162
4,12780,0.014566080735292522,0.10985915492957747,0.15328638497652583
5,12816,0.01502003984636099,0.17119225967540574,0.18242821473158552
