outer_fold,count,training_gain,positive_gain_rate,negative_transfer_rate
1,20538,0.005837093969656578,0.09251144220469373,0.05774661602882462
2,20496,0.005850081659518123,0.0858216237314598,0.06323185011709602
3,20514,0.00913502925176534,0.14282928731597933,0.10124792824412596
4,20502,0.007886368908793174,0.09506389620524827,0.0634572236854941
5,20574,0.01086930816117862,0.11606882473024205,0.07616409059978614
