epoch,train_loss,val_loss,val_pair_accuracy
1,0.49940123905738193,0.4573931097984314,0.7523500323295593
2,0.449597228544228,0.44794541597366333,0.7605000138282776
3,0.44445003840056335,0.4453466534614563,0.7616166472434998
4,0.4421107721599666,0.44380611181259155,0.7625166773796082
5,0.4406081616426959,0.44290974736213684,0.7646499872207642
6,0.4396200527747472,0.442035973072052,0.7646999955177307
7,0.4386626367993427,0.44405704736709595,0.7650833129882812
8,0.4377870520181728,0.4405687749385834,0.7656833529472351
9,0.4372943590084712,0.4408787190914154,0.7653833627700806
10,0.43667874383655464,0.4403845965862274,0.7666833400726318
11,0.43609937223972695,0.44225189089775085,0.7652666568756104
12,0.43563668621760426,0.4402129054069519,0.7659666538238525
13,0.43538183809229825,0.43981724977493286,0.7673166990280151
14,0.43498701511910465,0.4407693147659302,0.7663333415985107
15,0.4346502861290267,0.44070833921432495,0.7653999924659729
16,0.4344285936518149,0.44211545586586,0.7645666599273682
17,0.43406589329242706,0.44048577547073364,0.7681500315666199
18,0.43366068838672206,0.44085073471069336,0.7682333588600159
19,0.43342083489353006,0.44028690457344055,0.767216682434082
20,0.4330816079269756,0.4402227997779846,0.7681666612625122
21,0.4329771584633625,0.4413641393184662,0.7657166719436646
22,0.43263365057381714,0.44052746891975403,0.7668333649635315
23,0.4323896227235144,0.4409559369087219,0.7667166590690613
24,0.43224439984469704,0.4404413104057312,0.7677333354949951
25,0.4319387880915945,0.4406205713748932,0.7669833302497864
26,0.4317182273124204,0.440585732460022,0.7667999863624573
27,0.43171514807776973,0.44022974371910095,0.767216682434082
28,0.4314810521900654,0.4399670362472534,0.7667666673660278
29,0.43134416538206016,0.4411983788013458,0.7668666839599609
30,0.4311002516611056,0.43964239954948425,0.7678999900817871
