outer_fold,count,training_gain,positive_gain_rate,negative_transfer_rate
1,20538,0.0006274542726957953,0.3579705910994255,0.12304021813224267
2,20496,0.0003852668161642521,0.3558743169398907,0.12387782982045277
3,20514,0.0003218001973652513,0.348103734035293,0.12727893146144098
4,20502,0.0004636545214405293,0.36367183689396154,0.12115891132572432
5,20574,0.0006120807584615464,0.35933702731602996,0.1242344706911636
