epoch,train_loss,val_loss,val_pair_accuracy
1,0.500154747204347,0.4566080570220947,0.753766655921936
2,0.4497348311724085,0.4473918676376343,0.7610000371932983
3,0.44531509483402426,0.445706844329834,0.7620999813079834
4,0.4434012375546224,0.4445416033267975,0.7627500295639038
5,0.442552438288024,0.44501975178718567,0.7634333372116089
6,0.44205319531487697,0.44430944323539734,0.7627333402633667
7,0.44133264876224776,0.44369399547576904,0.762333333492279
8,0.44097058362129965,0.44257616996765137,0.7629666924476624
9,0.44060520918080304,0.442983478307724,0.763533353805542
10,0.4402626611743913,0.4424142837524414,0.7635499835014343
11,0.43994335649591504,0.4424762725830078,0.7627000212669373
12,0.4395764259000619,0.4417262375354767,0.7637166976928711
13,0.4392956806854768,0.44126302003860474,0.7647166848182678
14,0.43890298654635745,0.44163060188293457,0.7645166516304016
15,0.4387212185697122,0.4412316679954529,0.7639999985694885
16,0.4382671674318386,0.44251227378845215,0.7632833123207092
17,0.43798448382453486,0.44057777523994446,0.7647500038146973
18,0.4376586837073167,0.4408774971961975,0.7644000053405762
19,0.4373656830778628,0.44037091732025146,0.7658833265304565
20,0.4369731426916339,0.4402243494987488,0.7651833295822144
21,0.4366989413445646,0.44080621004104614,0.7647166848182678
22,0.4364094220553384,0.4396463632583618,0.7642499804496765
23,0.4362958307293328,0.4395953118801117,0.763949990272522
24,0.4359190541912209,0.4400252103805542,0.7657999992370605
25,0.4355941033273032,0.43895092606544495,0.7650499939918518
26,0.43521343036131427,0.4386815130710602,0.7646499872207642
27,0.43508172407746315,0.4383823275566101,0.7650499939918518
28,0.4347290409108003,0.43763789534568787,0.7659500241279602
29,0.43435369917389116,0.43802890181541443,0.7664166688919067
30,0.4340794184668498,0.43853646516799927,0.7655666470527649
