outer_fold,count,training_gain,positive_gain_rate,negative_transfer_rate
1,38052,0.004616941606136262,0.315042573320719,0.2010406811731315
2,38046,0.005888461479788382,0.31672186300793775,0.19939021184881459
3,38016,0.0054661627761601874,0.3314393939393939,0.21709280303030304
4,37992,0.005642061324334688,0.3138818698673405,0.198015371657191
5,38022,0.004823021024634112,0.3344379569722792,0.2218715480511283
