representation,outer_fold,config_id,hidden_width,learning_rate,negative_weight,count,mae,smooth_l1,spearman,positive_prevalence,positive_auprc,positive_auprc_lift,positive_auroc,harmful_prevalence,harmful_auprc,harmful_auprc_lift,harmful_auroc
R0,1,w32_lr1e-4_neg1p0,32,0.0001,1.0,102690,0.0345304814985015,0.02974744135541726,0.012225963528435305,0.28888888888888886,0.2842530114554025,-0.004635877433486368,0.5102981162448795,0.3131074106534229,0.30338431828097356,-0.009723092372449338,0.5023827902572032
R0,1,w32_lr1e-4_neg1p5,32,0.0001,1.5,102690,0.035114363318076984,0.030020706836405113,0.007980487851773313,0.28888888888888886,0.29009503413183874,0.0012061452429498742,0.514941311683382,0.3131074106534229,0.29732463961325273,-0.015782771040170174,0.4921246489239443
R0,1,w32_lr1e-4_neg2p0,32,0.0001,2.0,102690,0.03578014009202589,0.030362191606508743,0.004482197966133838,0.28888888888888886,0.2802862466237311,-0.008602642265157778,0.505228001543462,0.3131074106534229,0.30015304696801287,-0.01295436368541003,0.4973941716841529
R0,1,w32_lr1e-4_neg3p0,32,0.0001,3.0,102690,0.037157222165132835,0.03123445394477413,0.004842063396183755,0.28888888888888886,0.2861407303294417,-0.002748158559447156,0.5150531974541511,0.3131074106534229,0.29394983919531015,-0.019157571458112754,0.48846067654941283
R0,1,w32_lr3e-4_neg1p0,32,0.0003,1.0,102690,0.0331873370032572,0.02925997558693004,0.02032723385490476,0.28888888888888886,0.2902778099842604,0.0013889210953715314,0.5156756377148496,0.3131074106534229,0.30694930896964523,-0.0061581016837776725,0.5062317162953637
R0,1,w32_lr3e-4_neg1p5,32,0.0003,1.5,102690,0.03353772079711017,0.029325512898860644,0.024212868900964316,0.28888888888888886,0.2817927396568799,-0.007096149232008964,0.5079875518170366,0.3131074106534229,0.31013630501277667,-0.002971105640646232,0.5134038939750566
R0,1,w32_lr3e-4_neg2p0,32,0.0003,2.0,102690,0.033870809932838565,0.029489503814816614,0.018081078423619286,0.28888888888888886,0.2862312876080949,-0.002657601280793953,0.5136410612502513,0.3131074106534229,0.3041680991932436,-0.008939311460179289,0.502833626345158
R0,1,w32_lr3e-4_neg3p0,32,0.0003,3.0,102690,0.03429448865242158,0.029582959755011153,0.015783178758138054,0.28888888888888886,0.3062538330890905,0.017364944200201626,0.5415468872077431,0.3131074106534229,0.2873108728522087,-0.025796537801214214,0.47052287557091305
R0,1,w32_lr1e-3_neg1p0,32,0.001,1.0,102690,0.03234046521796481,0.029012685051276254,0.03038462673458249,0.28888888888888886,0.2791110636658837,-0.009777825223005188,0.4937860362458982,0.3131074106534229,0.32435367777205437,0.01124626711863147,0.5351936298416851
R0,1,w32_lr1e-3_neg1p5,32,0.001,1.5,102690,0.03254732590992109,0.029034615331856785,0.03137251980160521,0.28888888888888886,0.29285891663326813,0.0039700277443792675,0.5239997423679661,0.3131074106534229,0.30608608475622867,-0.0070213258971942305,0.5068137473249217
R0,1,w32_lr1e-3_neg2p0,32,0.001,2.0,102690,0.03258674835220891,0.029043026900739434,0.026658586653490638,0.28888888888888886,0.30379928294656855,0.014910394057679688,0.5350891090283686,0.3131074106534229,0.2976314888139068,-0.015475921839516127,0.4889918044866081
R0,1,w32_lr1e-3_neg3p0,32,0.001,3.0,102690,0.03363235794462997,0.029325930807560085,0.024864128772106774,0.28888888888888886,0.3105776721497725,0.021688783260883637,0.5477073461860924,0.3131074106534229,0.2908998984367842,-0.022207512216638692,0.4755365887639945
R0,1,w64_lr1e-4_neg1p0,64,0.0001,1.0,102690,0.03455727898249404,0.02976783542082401,0.015550116413727373,0.28888888888888886,0.28543329224194,-0.0034555966469488886,0.5111070555629627,0.3131074106534229,0.30577172926438156,-0.0073356813890413375,0.5034723627767443
R0,1,w64_lr1e-4_neg1p5,64,0.0001,1.5,102690,0.03484911074016624,0.02990981226400463,0.013246177458912137,0.28888888888888886,0.2823880262175951,-0.006500862671293739,0.5111651118152091,0.3131074106534229,0.3023617110898703,-0.010745699563552591,0.5026376588973327
R0,1,w64_lr1e-4_neg2p0,64,0.0001,2.0,102690,0.03453955787842489,0.02973895777286262,0.0169309412702404,0.28888888888888886,0.28323476786144,-0.0056541210274488884,0.5110806895428172,0.3131074106534229,0.3024014292276284,-0.010705981425794486,0.5041051628584556
R0,1,w64_lr1e-4_neg3p0,64,0.0001,3.0,102690,0.036043257241154744,0.03058345284355638,0.017076191696335993,0.28888888888888886,0.28613946808192126,-0.0027494208069676063,0.516720216572509,0.3131074106534229,0.300353008479758,-0.012754402173664914,0.498253012281111
R0,1,w64_lr3e-4_neg1p0,64,0.0003,1.0,102690,0.033012358368651906,0.02920367191224491,0.022894665239252345,0.28888888888888886,0.28879570405955357,-9.318482933529104e-05,0.516635556109258,0.3131074106534229,0.30468063879491897,-0.008426771858503934,0.5055536209844668
R0,1,w64_lr3e-4_neg1p5,64,0.0003,1.5,102690,0.032998628960938144,0.02918473183777791,0.020762177749395316,0.28888888888888886,0.28520334929447577,-0.0036855395944130898,0.5134647838581549,0.3131074106534229,0.30484022987946946,-0.008267180773953442,0.5036050982989146
R0,1,w64_lr3e-4_neg2p0,64,0.0003,2.0,102690,0.033471352867413054,0.02929659995289767,0.02601058648758863,0.28888888888888886,0.2977257361946225,0.008836847305733642,0.5326040033243615,0.3131074106534229,0.2964019478751263,-0.016705462778296598,0.49054032098355904
R0,1,w64_lr3e-4_neg3p0,64,0.0003,3.0,102690,0.03434402377471575,0.029614599464709932,0.019224066697885886,0.28888888888888886,0.29799893543778794,0.009110046548899076,0.5360263925978139,0.3131074106534229,0.2905305242802702,-0.022576886373152694,0.4801001065284125
R0,1,w64_lr1e-3_neg1p0,64,0.001,1.0,102690,0.03237238933373851,0.02902635754067738,0.03700782286875506,0.28888888888888886,0.29135447074694565,0.0024655818580567868,0.5128607569972129,0.3131074106534229,0.3146131496887706,0.0015057390353476752,0.5232299946119231
R0,1,w64_lr1e-3_neg1p5,64,0.001,1.5,102690,0.03288314402062598,0.029122299712033825,0.026067367859693817,0.28888888888888886,0.28878207037402753,-0.00010681851486132876,0.510384306253502,0.3131074106534229,0.3099090703675938,-0.0031983402858291043,0.5134410281837173
R0,1,w64_lr1e-3_neg2p0,64,0.001,2.0,102690,0.033163833533186186,0.029185089703205876,0.025927876314122956,0.28888888888888886,0.3074235598984316,0.018534671009542758,0.5395196819654969,0.3131074106534229,0.2967072685687077,-0.016400142084715186,0.48341457787483333
R0,1,w64_lr1e-3_neg3p0,64,0.001,3.0,102690,0.03341350596621205,0.02928461855270157,0.031595557266741604,0.28888888888888886,0.2996178234210185,0.010728934532129641,0.5352090496661842,0.3131074106534229,0.29762239978685695,-0.015485010866565951,0.4927638414890729
R0,1,w128_lr1e-4_neg1p0,128,0.0001,1.0,102690,0.03370970623495827,0.02940226910997006,0.014672883320414188,0.28888888888888886,0.28243674841778166,-0.006452140471107204,0.5094849012623923,0.3131074106534229,0.30275652195320296,-0.01035088870021994,0.5031477169481589
R0,1,w128_lr1e-4_neg1p5,128,0.0001,1.5,102690,0.03357535441668338,0.02936155728139888,0.02196231794419404,0.28888888888888886,0.2904853041185213,0.0015964152296324419,0.5240651850757008,0.3131074106534229,0.3014441261169314,-0.011663284536491514,0.4973256630275489
R0,1,w128_lr1e-4_neg2p0,128,0.0001,2.0,102690,0.034107857108767854,0.02953027035973054,0.02024880383893665,0.28888888888888886,0.2971068268492397,0.008217937960350863,0.530310633414563,0.3131074106534229,0.29656318660563064,-0.016544224047792266,0.4899134914231579
R0,1,w128_lr1e-4_neg3p0,128,0.0001,3.0,102690,0.034751672438623114,0.029828287258931347,0.02404258143051309,0.28888888888888886,0.29776324187047254,0.008874352981583677,0.5379524747417243,0.3131074106534229,0.2932609029537365,-0.019846507699686378,0.4855180900642632
R0,1,w128_lr3e-4_neg1p0,128,0.0003,1.0,102690,0.033455056928187114,0.02930692888907752,0.024176923711936183,0.28888888888888886,0.29206865664378334,0.0031797677548944803,0.5132445934884867,0.3131074106534229,0.3101466079011922,-0.0029608027522307068,0.509864279609595
R0,1,w128_lr3e-4_neg1p5,128,0.0003,1.5,102690,0.03337308397808262,0.029257018988654376,0.017377021187518712,0.28888888888888886,0.27613996368245586,-0.012748925206433004,0.49551985335951476,0.3131074106534229,0.31395563302373375,0.0008482223703108471,0.5191684237019633
R0,1,w128_lr3e-4_neg2p0,128,0.0003,2.0,102690,0.033340481030525025,0.02928216657110757,0.032081342899314746,0.28888888888888886,0.31360228106841787,0.024713392179529003,0.5415610320980536,0.3131074106534229,0.29739473910803765,-0.01571267154538525,0.4882942089707441
R0,1,w128_lr3e-4_neg3p0,128,0.0003,3.0,102690,0.034191601083834,0.02958695136393889,0.024575135866353192,0.28888888888888886,0.31018021564705694,0.021291326758168083,0.5476340955727639,0.3131074106534229,0.28959193353891305,-0.023515477114509853,0.4756771843776007
R0,1,w128_lr1e-3_neg1p0,128,0.001,1.0,102690,0.033166983139613276,0.029212096741441075,0.027541928534749426,0.28888888888888886,0.31091935371806667,0.02203046482917781,0.5310305325118927,0.3131074106534229,0.3087137735692883,-0.004393637084134594,0.4939422211589992
R0,1,w128_lr1e-3_neg1p5,128,0.001,1.5,102690,0.03358016161963563,0.029304863595026015,0.03707409368873586,0.28888888888888886,0.28665230257277674,-0.0022365863161121213,0.5091313383215399,0.3131074106534229,0.3207857482008534,0.007678337547430525,0.5257408812331869
R0,1,w128_lr1e-3_neg2p0,128,0.001,2.0,102690,0.0336247494698108,0.02935802175861472,0.027798399312246723,0.28888888888888886,0.2917184353052013,0.002829546416312445,0.4975129010631835,0.3131074106534229,0.3259159295078358,0.01280851885441292,0.5261863793020706
