seed,Full Model,Gate-only,Residual-only,delta_residual_vs_full,best_model
1,0.22268557146832718,0.16627183436077736,0.29242142256264964,0.06973585109432245,Residual-only
2,0.19108356560939044,0.1701220348554915,0.29278847546375,0.10170490985435954,Residual-only
3,0.20681690764958388,0.1700988154556114,0.2939383931464561,0.08712148549687221,Residual-only
Mean,0.2068620149091005,0.16883089489062675,0.2930494303909519,0.08618741548185138,Residual-only
