split,dataset,pair,scope,seed,direction,magnitude_bucket,bucket_order,n,observation_rate,delta_mrr_contribution,mean_delta_rr_within_bucket,harm_rate,mean_harm,mean_benefit,n_harmful,n_beneficial,n_unchanged
test,MKG-W,M-Hyper + AdaMF-MAT,direction,pooled,head,>0.20,4,2300,0.1793791920137264,0.0012840750913374248,0.007158439487447156,0.20347826086956522,0.00808854603127299,0.011531805446334973,468,1756,76
test,MKG-W,M-Hyper + AdaMF-MAT,direction,pooled,tail,0,0,9842,0.7675869599126501,0.0,0.0,0.0,,,0,0,9842
test,MKG-W,M-Hyper + AdaMF-MAT,direction,pooled,tail,"(0,0.05]",1,0,0.0,0.0,,,,,0,0,0
test,MKG-W,M-Hyper + AdaMF-MAT,direction,pooled,tail,"(0.05,0.10]",2,396,0.03088441740758072,3.7417166114458714e-05,0.0012115224846454284,0.1388888888888889,0.03917144997099579,0.013105436081215716,55,201,140
test,MKG-W,M-Hyper + AdaMF-MAT,direction,pooled,tail,"(0.10,0.20]",3,1249,0.09741070035875839,2.9807735474333482e-05,0.00030600062790384617,0.19295436349079265,0.05690235682431947,0.019469147484686315,241,724,284
test,MKG-W,M-Hyper + AdaMF-MAT,direction,pooled,tail,>0.20,4,1335,0.10411792232101076,0.0024069845683612015,0.023117869764439945,0.17752808988764046,0.04913509492892207,0.042086508548199855,237,1010,88
test,DB15K,M-Hyper + NativE,pair,pooled,pooled,0,0,33023,0.5558304719585269,0.0,0.0,0.0,,,0,0,33023
test,DB15K,M-Hyper + NativE,pair,pooled,pooled,"(0,0.05]",1,4563,0.07680266612805493,4.2788242312567056e-05,0.0005571192312676384,0.12469866316020162,0.017039553505953816,0.00805637985329951,569,1519,2475
test,DB15K,M-Hyper + NativE,pair,pooled,pooled,"(0.05,0.10]",2,5056,0.08510065306672053,-3.1054455588197245e-05,-0.000364914421559726,0.18215981012658228,0.03373219195200029,0.013276847556740709,921,2201,1934
test,DB15K,M-Hyper + NativE,pair,pooled,pooled,"(0.10,0.20]",3,11701,0.19694674476536728,0.0005135492518172967,0.0026075538970147193,0.2472438253140757,0.035492702673831894,0.02089604282779493,2893,6374,2434
test,DB15K,M-Hyper + NativE,pair,pooled,pooled,>0.20,4,5069,0.08531946408133037,0.0007461284360104768,0.008745113955465468,0.27658315249556126,0.03971702137246498,0.03148009021229158,1402,3177,490
test,DB15K,M-Hyper + NativE,seed,1,pooled,0,0,10722,0.5414057766107857,0.0,0.0,0.0,,,0,0,10722
test,DB15K,M-Hyper + NativE,seed,1,pooled,"(0,0.05]",1,1500,0.07574227428802262,1.7879696535909187e-05,0.0002360596734647637,0.12333333333333334,0.0187793784633379,0.00819758999125194,185,467,848
