dataset,pair_id,subgroup_type,subgroup_value,n_rows,spearman,positive_prevalence,positive_auprc,positive_auprc_lift,harmful_prevalence,harmful_auprc,harmful_auprc_lift,top_10pct_actual_mean_u,top_10pct_positive_rate,top_10pct_harmful_rate,h1_style_pass
mkg_w,mkgw_mhyper_native,direction,head,102624,0.20828858504220515,0.3577233395696913,0.4441801732320113,0.08645683366231999,0.388992828188338,0.4635185949452503,0.07452576675691225,0.0027369094093792545,0.4972714870395634,0.2567725589553693,True
mkg_w,mkgw_mhyper_native,direction,tail,102624,0.2260372084879133,0.19482772061116307,0.3045402100925558,0.1097124894813927,0.21803866541939507,0.34547217472462316,0.1274335093052281,0.006995288849251836,0.3778015981290197,0.16205418047164297,True
mkg_w,mkgw_mhyper_native,seed,1,68416,0.20594526067250116,0.2746872076707203,0.3603785399232379,0.08569133225251757,0.30234155753040226,0.3852712651671709,0.08292970763676866,0.005555831721786082,0.4049985384390529,0.19789535223618826,True
mkg_w,mkgw_mhyper_native,seed,2,68416,0.21979951375592602,0.2765727315247895,0.3733732572514136,0.09680052572662412,0.3059810570626754,0.3905581801917263,0.08457712312905086,0.0053411042439585775,0.4288219818766443,0.19117217187956737,True
mkg_w,mkgw_mhyper_native,seed,3,68416,0.21436991539730954,0.2775666510757718,0.365992917535141,0.08842626645936924,0.302224625818522,0.3897898476036713,0.0875652217851493,0.004412061440794034,0.4140602163110202,0.1977491961414791,True
mkg_w,mkgw_mhyper_adamf,direction,head,51312,0.1315278484516245,0.5505339881509199,0.6235109111279785,0.0729769229770586,0.20088868101029,0.2023217420852309,0.0014330610749409,-0.0020581628518409763,0.6503605534983434,0.18865718183589944,False
mkg_w,mkgw_mhyper_adamf,direction,tail,51312,0.13212908226130568,0.2916861552853134,0.3894032283554715,0.09771707307015809,0.1213946055503586,0.13681026415708128,0.015415658606722685,0.0035931298593374025,0.46248294679399726,0.1243422334827519,True
mkg_w,mkgw_mhyper_adamf,seed,1,34208,0.14674280070484103,0.4186739943872778,0.5085471398518864,0.08987314546460856,0.16569223573433114,0.16948285517621275,0.0037906194418816097,-0.001332312209958794,0.5521777258111663,0.1584332066647179,False
mkg_w,mkgw_mhyper_adamf,seed,2,34208,0.14374448500103812,0.42323433115060805,0.524031750279782,0.10079741912917395,0.15616230121608982,0.15456324991387752,-0.001599051302212301,0.002339685447484017,0.5776088862905583,0.15375621163402514,False
mkg_w,mkgw_mhyper_adamf,seed,3,34208,0.13713424848604835,0.421421889616464,0.5046908167740219,0.08326892715755796,0.16157039289055192,0.1690804179114063,0.007510025020854377,0.0011928190060395384,0.5372698041508331,0.15638702133878982,True
