dataset,pair_id,n_all_queries,n_endpoint_ties,endpoint_tie_rate_all,n_endpoint_nonties,n_anchor_optimal,anchor_optimal_rate_all,n_beneficial_nonanchor,beneficial_nonanchor_rate_all,three_class_agreement_all,deviation_vs_no_deviation_agreement_all,winner_best_class_agreement_excluding_endpoint_ties,winner_best_class_agreement_excluding_anchor,n_endpoint_nontie_and_beneficial,direction_agreement_excluding_ties_and_anchor,n_predicted_deviation_true_anchor,predicted_deviation_true_anchor_rate_all,predicted_deviation_true_anchor_rate_endpoint_nontie,n_opposite_direction,opposite_direction_rate_all,opposite_direction_rate_excluding_ties_and_anchor
mkg_w,mkgw_mhyper_native,25656,6089,0.23733239787963828,19567,10058,0.3920330526972248,15598,0.6079669473027752,0.7629794200187091,0.82736981602744,0.700976133285634,0.8793435055776382,15368,0.8925039042165539,4199,0.16366541939507329,0.2145960034752389,1652,0.06439039600873091,0.10749609578344613
mkg_w,mkgw_mhyper_adamf,25656,5092,0.19847209229809792,20564,13343,0.5200732772061116,12313,0.47992672279388837,0.5268553164951668,0.6664717804801996,0.4171367438241587,0.6966620644846909,12160,0.7054276315789474,8404,0.3275647022139071,0.4086753549893017,3582,0.13961646398503275,0.2945723684210526
mkg_w,mkgw_native_adamf,25656,5134,0.2001091362644216,20522,10738,0.41853757405675085,14918,0.5814624259432492,0.6559869036482694,0.7560804490177736,0.585859078062567,0.8059391339321625,14591,0.8240010965663765,5931,0.23117399438727784,0.28900691940356693,2568,0.10009354536950421,0.17599890343362345
db15k,db15k_mhyper_native,47532,10527,0.22147185054279223,37005,28707,0.6039510224690735,18825,0.39604897753092655,0.46120508289152573,0.5989228309349491,0.31987569247399,0.6287915006640106,18383,0.6439101343632704,18622,0.3917781704956661,0.503229293338738,6546,0.13771774804342338,0.35608986563672956
db15k,db15k_mhyper_adamf,47532,8607,0.181078010603383,38925,28134,0.591895985862156,19398,0.408104014137844,0.4347807792644955,0.5700370276866111,0.32149004495825306,0.6451180534075678,18943,0.6606134192049834,19982,0.42039047378608096,0.5133461785484907,6429,0.13525624842211562,0.3393865807950166
db15k,db15k_native_adamf,47532,9017,0.189703778507111,38515,25460,0.5356391483632079,22072,0.4643608516367921,0.5266136497517462,0.626588403601784,0.4327404907179021,0.7551196085538239,21419,0.7781409029366451,17096,0.35967348312715647,0.4438790081786317,4752,0.09997475385003787,0.22185909706335497
