dataset,pair_id,h1_status,feature,n_finite,n_positive,n_zero,n_harmful,positive_mean,positive_median,zero_mean,zero_median,harmful_mean,harmful_median,smd_positive_vs_rest,smd_harmful_vs_rest,smd_positive_vs_harmful,positive_auroc_increasing,positive_auroc_orientation_free,positive_auroc_lift_orientation_free,harmful_auroc_increasing,harmful_auroc_orientation_free,harmful_auroc_lift_orientation_free,positive_vs_harmful_auroc_increasing,positive_vs_harmful_auroc_orientation_free,positive_vs_harmful_auroc_lift_orientation_free,spearman_with_advantage
mkg_w,mkgw_mhyper_native,PASS,geometry_direction_tail,205248,56705,86247,62296,0.35259677277136053,0.0,0.698621401324104,1.0,0.3591883909079235,0.0,-0.4178793226916005,-0.4142388088426163,-0.013767657539247953,0.3981634355633595,0.6018365644366406,0.10183656443664058,0.39891256805455494,0.6010874319454451,0.10108743194544512,0.4967041909317185,0.5032958090682815,0.00329580906828153,0.0034100858156822533
mkg_w,mkgw_mhyper_native,PASS,geometry_a_top1,205248,56705,86247,62296,5.68410919602238,5.8055620193481445,8.372162515021548,8.215827941894531,5.623036140761324,5.756779670715332,-0.6521486847613066,-0.7146001703558775,0.0295024659722856,0.3113991266559713,0.6886008733440288,0.18860087334402875,0.2955981867824021,0.704401813217598,0.20440181321759798,0.5083082980042875,0.5083082980042875,0.008308298004287451,0.027767980482493435
mkg_w,mkgw_mhyper_native,PASS,geometry_a_top5_mean,205248,56705,86247,62296,5.012305041294147,5.159116268157959,6.0553670251871345,6.065579891204834,4.956189936391022,5.124499320983887,-0.3346762266057456,-0.39394519964727687,0.031207348323750612,0.39496345296876406,0.605036547031236,0.105036547031236,0.3805138391318643,0.6194861608681357,0.11948616086813568,0.5079769667197347,0.5079769667197347,0.00797696671973469,0.019849468251073785
mkg_w,mkgw_mhyper_native,PASS,geometry_a_top1_top2_margin,205248,56705,86247,62296,0.5222465972702292,0.2664825916290283,2.176242995520891,1.4161357879638672,0.5192210962785092,0.2664825916290283,-0.6833549290848911,-0.7063556916866044,0.004051643119902375,0.34147542792258057,0.6585245720774194,0.15852457207741943,0.3318418104987252,0.6681581895012748,0.1681581895012748,0.5030033453581875,0.5030033453581875,0.0030033453581874703,0.02048567780330985
mkg_w,mkgw_mhyper_native,PASS,geometry_a_score_std,205248,56705,86247,62296,1.1190694583634508,1.0351916551589966,0.9906199806964364,0.9595335125923156,1.1323658675721928,1.0440490245819092,0.19072575290204044,0.25016856297088896,-0.033131532447321144,0.5488036684967477,0.5488036684967477,0.048803668496747665,0.5640735479470064,0.5640735479470064,0.06407354794700637,0.4908246357217444,0.5091753642782556,0.009175364278255604,-0.014586049947433786
mkg_w,mkgw_mhyper_native,PASS,geometry_b_top1,205248,56705,86247,62296,-0.3505238524316617,-0.1272506713867187,0.13849067103877,0.1373145580291748,-0.35928513020319125,-0.1180973052978515,-0.2104538523876951,-0.2267628902101845,0.006777722827202863,0.4491543287874249,0.5508456712125751,0.050845671212575105,0.4490335357735973,0.5509664642264027,0.05096646422640272,0.4982929715268531,0.5017070284731469,0.0017070284731468544,0.004260687963451303
mkg_w,mkgw_mhyper_native,PASS,geometry_b_top5_mean,205248,56705,86247,62296,-0.7183589830375188,-0.4219588339328766,-1.0178881842854681,-0.7790843844413757,-0.7302847157872779,-0.4161467552185058,0.13352437391304348,0.12496172924037365,0.009093870197440368,0.5437747417318248,0.5437747417318248,0.04377474173182483,0.547093763515265,0.547093763515265,0.04709376351526495,0.49814045749673996,0.50185954250326,0.0018595425032600366,-0.004747235212669954
mkg_w,mkgw_mhyper_native,PASS,geometry_b_top1_top2_margin,205248,56705,86247,62296,0.2891494508416509,0.1248650550842285,1.0208414617352664,0.6802549362182617,0.2932154270984769,0.1239299774169921,-0.5869740334343172,-0.5960186905649604,-0.00822255177881126,0.3453378088726739,0.654662191127326,0.15466219112732604,0.33903480704710365,0.6609651929528964,0.16096519295289635,0.5008516679492918,0.5008516679492918,0.0008516679492918122,0.015531642081873747
mkg_w,mkgw_mhyper_native,PASS,geometry_b_score_std,205248,56705,86247,62296,1.4589245968842126,1.2673078775405884,1.0821550533856021,0.9930644035339355,1.480176553275583,1.275031328201294,0.3221347066032906,0.3791429069749766,-0.029171387842410367,0.6169084281875776,0.6169084281875776,0.11690842818757763,0.6261657700406745,0.6261657700406745,0.12616577004067453,0.4954240419408077,0.5045759580591923,0.004575958059192309,-0.010920721407474064
mkg_w,mkgw_mhyper_native,PASS,geometry_top1_delta_a_minus_b,205248,56705,86247,62296,6.034633047975316,6.162158966064453,8.233671842763691,8.283693313598633,5.98232127098419,6.135201930999756,-0.5146654785623996,-0.5648744695861293,0.021707643834948092,0.33839391861564005,0.66160608138436,0.16160608138435995,0.32755468283532574,0.6724453171646743,0.17244531716467426,0.504794350461697,0.504794350461697,0.004794350461696961,0.01959103139945337
mkg_w,mkgw_mhyper_native,PASS,geometry_top5_delta_a_minus_b,205248,56705,86247,62296,5.730664022221535,5.853519439697266,7.073255210395802,7.138010501861572,5.686474651429303,5.8336687088012695,-0.352636421699817,-0.3952748038890046,0.019083030391364032,0.3636732087841853,0.6363267912158147,0.1363267912158147,0.35437059095444584,0.6456294090455541,0.1456294090455541,0.5044668099825702,0.5044668099825702,0.004466809982570208,0.015072839481516633
mkg_w,mkgw_mhyper_native,PASS,geometry_margin_delta_a_minus_b,205248,56705,86247,62296,0.23309714644661172,0.1249608993530273,1.1554015342887398,0.6904606819152832,0.2260056691122492,0.1200449466705322,-0.5094240783635874,-0.5341563573443732,0.010656616320480204,0.38960675306809894,0.6103932469319011,0.11039324693190111,0.38145525339326736,0.6185447466067326,0.11854474660673264,0.5032076036983586,0.5032076036983586,0.0032076036983585965,0.0175578762761115
mkg_w,mkgw_mhyper_native,PASS,geometry_std_delta_a_minus_b,205248,56705,86247,62296,-0.33985513848409526,-0.2763363718986511,-0.0915350726497735,-0.0730096101760864,-0.34781068566331697,-0.2754228115081787,-0.33321550375615094,-0.37157851777070317,0.017407405583777416,0.37801930914211973,0.6219806908578802,0.12198069085788021,0.37373636326180587,0.6262636367381942,0.12626363673819418,0.5008691486550236,0.5008691486550236,0.0008691486550236327,0.007575074895185748
mkg_w,mkgw_mhyper_adamf,PASS,geometry_direction_tail,102624,43216,42871,16537,0.34633006293965196,0.0,0.7024795316181102,1.0,0.3766704964624781,0.0,-0.5511837193247452,-0.29878616053625495,-0.06318217451927433,0.36727188576554376,0.6327281142344563,0.1327281142344563,0.42648967340577176,0.5735103265942283,0.07351032659422829,0.48482978323858694,0.5151702167614131,0.015170216761413058,-0.1033322734029466
mkg_w,mkgw_mhyper_adamf,PASS,geometry_a_top1,102624,43216,42871,16537,5.41930431672265,5.595127582550049,8.376588990858444,8.21870231628418,6.290656342178848,6.274744987487793,-1.0501765061903723,-0.2511473508642801,-0.41228162155347187,0.20738862770948066,0.7926113722905194,0.29261137229051937,0.4234753466664038,0.5765246533335961,0.07652465333359615,0.3807363981987191,0.6192636018012809,0.11926360180128093,-0.3253499231478966
