dataset,pair_id,local_oracle_headroom,positive_opportunity_query_rate,spearman,positive_auprc_lift,harmful_auprc_lift,top_10pct_actual_mean_u,historical_anchored_dev_delta_vs_global,historical_anchored_label,historical_evidence_role
mkg_w,mkgw_mhyper_native,0.027552134880325263,0.6079669473027752,0.21346011937116413,0.09012483216213707,0.08501062931016051,0.005182573798215932,0.0066173108384028,Expanded anchored (nested selection),retrospective DEV-only descriptive reference
mkg_w,mkgw_mhyper_adamf,0.010751121155754828,0.47992672279388837,0.14249186918451323,0.09110914767251538,0.0029286783184814535,0.0008875953316967997,0.0023821198690268,Expanded anchored (nested selection),retrospective DEV-only descriptive reference
mkg_w,mkgw_native_adamf,0.029620477726784777,0.5814624259432492,0.0234781763363983,0.005774011807023194,-0.004458120762230955,-0.0030809641031638918,-0.0004411277990251,Expanded anchored (nested selection),retrospective DEV-only descriptive reference
db15k,db15k_mhyper_native,0.014410638967917944,0.39604897753092655,0.03959115470014592,0.01989688596847622,0.0010518298647259894,-0.0008593036545182687,0.0013003441225197,Expanded anchored (nested selection),retrospective DEV-only descriptive reference
db15k,db15k_mhyper_adamf,0.014677370188672934,0.408104014137844,0.0837013807285646,0.0684235896410077,-0.0029022851381615145,-0.004242652350961134,0.0004495163094481,Expanded anchored (nested selection),retrospective DEV-only descriptive reference
db15k,db15k_native_adamf,0.025113860763426976,0.4643608516367921,0.10604660633507362,0.06716009988088939,0.009869541767739298,0.0028367963289897976,0.0002932406426127,Expanded anchored (nested selection),retrospective DEV-only descriptive reference
