dataset,pair_id,h1_status,n_nonreference_actions,spearman,positive_prevalence,positive_auprc,positive_auprc_lift,harmful_prevalence,harmful_auprc,harmful_auprc_lift,highest_10pct_actual_mean_u,highest_10pct_positive_rate,highest_10pct_harmful_rate
mkg_w,mkgw_mhyper_native,PASS,205248,0.21346011937116413,0.2762755300904272,0.3664003622525643,0.09012483216213707,0.30351574680386656,0.38852637611402707,0.08501062931016051,0.005182573798215932,0.41554202192448236,0.1961510353227771
mkg_w,mkgw_mhyper_adamf,PASS,102624,0.14249186918451323,0.4211100717181166,0.512219219390632,0.09110914767251538,0.1611416432803243,0.16407032159880575,0.0029286783184814535,0.0008875953316967997,0.5546677061001754,0.15630481387643735
mkg_w,mkgw_native_adamf,FAIL,128280,0.0234781763363983,0.29045837231057064,0.29623238411759384,0.005774011807023194,0.31273776114748986,0.3082796403852589,-0.004458120762230955,-0.0030809641031638918,0.2846897411911444,0.2694106641721235
db15k,db15k_mhyper_native,FAIL,190128,0.03959115470014592,0.3302880164941513,0.3501849024626275,0.01989688596847622,0.19033493225616427,0.19138676212089026,0.0010518298647259894,-0.0008593036545182687,0.34471151317519594,0.16315152790196183
db15k,db15k_mhyper_adamf,FAIL,190128,0.0837013807285646,0.34684528317764873,0.41526887281865643,0.0684235896410077,0.21107359252713961,0.2081713073889781,-0.0029022851381615145,-0.004242652350961134,0.4439068006101089,0.2639772787040446
db15k,db15k_native_adamf,PASS,190128,0.10604660633507362,0.4010771690650509,0.4682372689459403,0.06716009988088939,0.2105949676007742,0.2204645093685135,0.009869541767739298,0.0028367963289897976,0.5149108504707306,0.18408457371272288
