outer_fold,count,training_gain,positive_gain_rate,negative_transfer_rate
1,20538,0.011035484213657826,0.2505112474437628,0.05716233323595287
2,20496,0.013988115915291276,0.2893735362997658,0.06567135050741608
3,20514,0.011773576054333603,0.24105488934386274,0.0697084917617237
4,20502,0.01297256401456943,0.21212564627841185,0.06467661691542288
5,20574,0.011778676651033855,0.24511519393409156,0.05954116846505298
