dataset,pair_id,representation,distance_decile,neighbor_pairs,distance_low,distance_high,mean_distance,direction_agreement,exact_action_agreement,beneficial_set_jaccard,both_empty_rate,matched_direction_agreement_reference,matched_exact_action_agreement_reference,matched_beneficial_set_jaccard_reference
mkg_y,mkg_y_mhyper_native,X4,1,79950,0.0,1.413387966156006,1.106873980789804,0.5666791744840526,0.3147091932457786,0.3856400843064234,0.1638524077548467,0.4629325730292117,0.2774896892090169,0.2665061488789427
mkg_y,mkg_y_mhyper_native,X4,2,79950,1.413387966156006,1.6450132131576538,1.5382231669428947,0.5816260162601626,0.3561100687929956,0.3764210003469665,0.2121075672295184,0.4629325730292117,0.2774896892090169,0.2665061488789427
mkg_y,mkg_y_mhyper_native,X4,3,79949,1.6450132131576538,1.8261874914169312,1.737274264719421,0.573403044440831,0.3583159264030819,0.3539507893976025,0.2287458254637331,0.4629325730292117,0.2774896892090169,0.2665061488789427
mkg_y,mkg_y_mhyper_native,X4,4,79951,1.8261874914169312,2.005310535430908,1.9151680216187048,0.5493114532651249,0.3471876524371177,0.3210924296378361,0.232780077797651,0.4629325730292117,0.2774896892090169,0.2665061488789427
mkg_y,mkg_y_mhyper_native,X4,5,79950,2.005310535430908,2.199732184410095,2.100933533191979,0.5430644152595372,0.3401000625390869,0.3121434656489691,0.2318198874296435,0.4629325730292117,0.2774896892090169,0.2665061488789427
mkg_y,mkg_y_mhyper_native,X4,6,79949,2.199732184410095,2.420999050140381,2.3081134116114783,0.5173548136937297,0.3226181690827903,0.2896548531462479,0.2224543146255738,0.4629325730292117,0.2774896892090169,0.2665061488789427
mkg_y,mkg_y_mhyper_native,X4,7,79951,2.420999050140381,2.679436421394348,2.5461180167917394,0.5032457380145339,0.3178446798664182,0.2724104285069453,0.2214481369839026,0.4629325730292117,0.2774896892090169,0.2665061488789427
mkg_y,mkg_y_mhyper_native,X4,8,79950,2.679436421394348,3.033783292770386,2.8420180185024555,0.4940712945590994,0.3262789243277048,0.2434961728200307,0.2477673545966228,0.4629325730292117,0.2774896892090169,0.2665061488789427
mkg_y,mkg_y_mhyper_native,X4,9,79950,3.033783292770386,3.7700116634368896,3.3452987918561514,0.4930706691682301,0.3367729831144465,0.2290961843674357,0.2722701688555347,0.4629325730292117,0.2774896892090169,0.2665061488789427
mkg_y,mkg_y_mhyper_native,X4,10,79950,3.7700116634368896,21.09563446044922,4.9313344167186886,0.4613008130081301,0.2627141963727329,0.255892927905064,0.1865791119449656,0.4629325730292117,0.2774896892090169,0.2665061488789427
mkg_y,mkg_y_mhyper_adamf,X4,1,79950,0.0,1.3400044202804566,1.06653490558368,0.5601751094434021,0.3053658536585366,0.3869068205042406,0.1517698561601,0.4594880485527544,0.2666956515939709,0.2691200102152761
mkg_y,mkg_y_mhyper_adamf,X4,2,79950,1.3400044202804566,1.5692325830459597,1.4615488536735115,0.5761225766103815,0.336910569105691,0.3813168241328639,0.1928080050031269,0.4594880485527544,0.2666956515939709,0.2691200102152761
mkg_y,mkg_y_mhyper_adamf,X4,3,79950,1.5692325830459597,1.7583437323570252,1.665195343549584,0.5698811757348343,0.3435272045028142,0.3562330342659582,0.2173608505315822,0.4594880485527544,0.2666956515939709,0.2691200102152761
mkg_y,mkg_y_mhyper_adamf,X4,4,79950,1.7583437323570252,1.9406758785247804,1.8494298854047169,0.5446278924327704,0.336910569105691,0.3252762728122764,0.2242776735459662,0.4594880485527544,0.2666956515939709,0.2691200102152761
mkg_y,mkg_y_mhyper_adamf,X4,5,79950,1.9406758785247804,2.1396127939224243,2.037599689252232,0.5294183864915573,0.3271419637273295,0.3073224958139038,0.2238899312070043,0.4594880485527544,0.2666956515939709,0.2691200102152761
mkg_y,mkg_y_mhyper_adamf,X4,6,79950,2.1396127939224243,2.362356805801392,2.248442946643364,0.5135084427767355,0.3160975609756097,0.294103583590307,0.2136710444027517,0.4594880485527544,0.2666956515939709,0.2691200102152761
mkg_y,mkg_y_mhyper_adamf,X4,7,79950,2.362356805801392,2.616156554222107,2.484661926969727,0.4956097560975609,0.3044277673545966,0.2761993205548272,0.2074296435272045,0.4594880485527544,0.2666956515939709,0.2691200102152761
mkg_y,mkg_y_mhyper_adamf,X4,8,79950,2.616156554222107,2.948615837097168,2.7713845715990955,0.4808755472170106,0.308217636022514,0.2479011947347605,0.2238899312070043,0.4594880485527544,0.2666956515939709,0.2691200102152761
mkg_y,mkg_y_mhyper_adamf,X4,9,79950,2.948615837097168,3.6268513441085815,3.2361439687718145,0.485978736710444,0.3274296435272045,0.2279838772174171,0.2576485303314572,0.4594880485527544,0.2666956515939709,0.2691200102152761
mkg_y,mkg_y_mhyper_adamf,X4,10,79950,3.6268513441085815,21.07901954650879,4.823808099154459,0.4355222013758599,0.235422138836773,0.2455991170911172,0.1594621638524077,0.4594880485527544,0.2666956515939709,0.2691200102152761
mkg_y,mkg_y_native_adamf,X4,1,79950,0.0,1.7044543623924255,1.422058168879554,0.487191994996873,0.2762476547842401,0.3333687399093211,0.1322826766729205,0.4260984126984126,0.266059877284247,0.2433237711998087
mkg_y,mkg_y_native_adamf,X4,2,79949,1.7044543623924255,1.954800009727478,1.8361204773637567,0.5002063815682498,0.3162015785062977,0.3087406278021227,0.189145580307446,0.4260984126984126,0.266059877284247,0.2433237711998087
mkg_y,mkg_y_native_adamf,X4,3,79950,1.954800009727478,2.167768239974976,2.06153265985867,0.5039024390243902,0.3336210131332082,0.2918129701262402,0.2196873045653533,0.4260984126984126,0.266059877284247,0.2433237711998087
mkg_y,mkg_y_native_adamf,X4,4,79951,2.167768239974976,2.3781705856323243,2.2730567400779718,0.4876987154632212,0.3195457217545747,0.2764643815457728,0.2140561093669872,0.4260984126984126,0.266059877284247,0.2433237711998087
mkg_y,mkg_y_native_adamf,X4,5,79950,2.3781705856323243,2.588190197944641,2.48275859278392,0.4735209505941213,0.3019887429643527,0.2707802977068928,0.1975359599749843,0.4260984126984126,0.266059877284247,0.2433237711998087
mkg_y,mkg_y_native_adamf,X4,6,79950,2.588190197944641,2.816050386428833,2.6999741821396417,0.4636022514071294,0.2959849906191369,0.268860836085234,0.1902939337085678,0.4260984126984126,0.266059877284247,0.2433237711998087
mkg_y,mkg_y_native_adamf,X4,7,79950,2.816050386428833,3.083328938484192,2.944592847552726,0.4575484677923702,0.3024890556597873,0.2542565619329002,0.2011882426516572,0.4260984126984126,0.266059877284247,0.2433237711998087
mkg_y,mkg_y_native_adamf,X4,8,79950,3.083328938484192,3.472881841659547,3.260342498216277,0.4557723577235772,0.3142589118198874,0.2379172925423182,0.2229518449030644,0.4260984126984126,0.266059877284247,0.2433237711998087
mkg_y,mkg_y_native_adamf,X4,9,79950,3.472881841659547,4.264011669158935,3.8194036759578713,0.4650531582238899,0.3282926829268293,0.2181386143250327,0.2524077548467792,0.4260984126984126,0.266059877284247,0.2433237711998087
mkg_y,mkg_y_native_adamf,X4,10,79950,4.264011669158935,24.090410232543945,5.454317489943704,0.4512320200125078,0.3121951219512195,0.2609969334480936,0.1948342714196372,0.4260984126984126,0.266059877284247,0.2433237711998087
