dataset,pair_id,representation,k,matched_exact_action_agreement,matched_exact_action_agreement_ci95_low,matched_exact_action_agreement_ci95_high,matched_direction_agreement,matched_direction_agreement_ci95_low,matched_direction_agreement_ci95_high,matched_neighbor_internal_purity,matched_neighbor_internal_purity_ci95_low,matched_neighbor_internal_purity_ci95_high,matched_normalized_action_entropy,matched_normalized_action_entropy_ci95_low,matched_normalized_action_entropy_ci95_high,matched_beneficial_set_jaccard,matched_beneficial_set_jaccard_ci95_low,matched_beneficial_set_jaccard_ci95_high,matched_both_empty_rate,matched_both_empty_rate_ci95_low,matched_both_empty_rate_ci95_high,matched_consensus_utility,matched_consensus_utility_ci95_low,matched_consensus_utility_ci95_high,direction_agreement_lift,purity_lift,jaccard_lift,consensus_utility_lift,matched_baseline_supported,matched_baseline_supported_ci95_low,matched_baseline_supported_ci95_high
mkg_y,mkg_y_mhyper_native,X4,5,0.2858917830627923,0.2780056101865859,0.2937217535905024,0.4680947527368813,0.4619199493040402,0.4742932014232461,0.6650463067824329,0.66257931840836,0.6674312517233398,0.6104535356350281,0.6067494964390404,0.6142423539296007,0.2647447480071297,0.2576377811806216,0.2720068095008048,0.1895570655593305,0.1800078676159729,0.1991812982512308,-0.0054744516131513,-0.0066538360875508,-0.0043108747040591,0.0806028690071725,0.0656319365798418,0.0553548375489316,0.0029798169079785,0.9939962476547842,0.9906191369606004,0.996622889305816
mkg_y,mkg_y_mhyper_native,X4,10,0.2877402373660034,0.2796848400075221,0.29571126919979,0.4691220648289931,0.4628509860741303,0.4753886391204162,0.6338223583460965,0.6307537595419008,0.6368481874911327,0.7175342694859708,0.7134622101492764,0.7217262920010785,0.2653130143322696,0.258153572120642,0.2726200665898305,0.1908772332822873,0.1811653326070826,0.2006438703233355,-0.003959050641928,-0.0051638903620636,-0.0027758397221716,0.0757860515569168,0.064773864216437,0.0510158579560821,0.0010213785737624,0.9801125703564728,0.974859287054409,0.9853658536585366
mkg_y,mkg_y_mhyper_native,X4,20,0.2878888350142229,0.2797809864381238,0.2959409857624644,0.469204454357382,0.4628591957569696,0.4754790357419907,0.6183405740884385,0.614688449954435,0.621911772294288,0.7724998926375601,0.7683530804298271,0.7767182576896894,0.2644980195981314,0.2572302409423726,0.271867700554696,0.1919598525989141,0.1821795020885182,0.2018489755252495,-0.002280797301963,-0.0035223443097412,-0.0010454626659676,0.0717575316783036,0.0625651667959659,0.0480611887678329,0.0021862650869263,0.9673545966228893,0.9606003752345216,0.974108818011257
mkg_y,mkg_y_mhyper_native,X4,50,0.2774896892090167,0.2696282349970954,0.2852549847748394,0.462932573029212,0.4568302857665617,0.4689031620299428,0.604226423902895,0.6003651743101392,0.6080077284493268,0.8106735099819553,0.8069061463189177,0.8145006020923412,0.2665061488789426,0.2592173659483172,0.2739574827484597,0.1791726157129518,0.1695694041732278,0.188710525623554,-0.0010015238995748,-0.0024745310718838,0.0004594755595663,0.0627777110844337,0.0569513805522209,0.03856253769761,0.0022144178157776,0.9377110694183864,0.9283302063789868,0.9467166979362102
mkg_y,mkg_y_mhyper_adamf,X4,5,0.2723540958852399,0.2650344825543028,0.2798106931034674,0.4618907763936088,0.4559206594049829,0.4678016534391534,0.6595180571284747,0.6571433123138807,0.6618538620413648,0.6186237581334014,0.6150354646033445,0.6222606314527128,0.2671353171266981,0.2598788911208878,0.2744537604998615,0.1752633698250915,0.1664295684909414,0.1843936345003365,-0.0055747770111932,-0.0068988323747825,-0.0042564413193768,0.076224235560589,0.0662023405058513,0.0544133141110607,0.0039322367956792,0.9939962476547842,0.9906191369606004,0.996622889305816
mkg_y,mkg_y_mhyper_adamf,X4,10,0.2740617662072486,0.2665831129228668,0.2815479950157984,0.4631332950484929,0.4571775441728303,0.4691406611097725,0.6280865875446614,0.6251644523867994,0.6309572393380116,0.7262592762972917,0.7224240310916229,0.7301622502278533,0.2674513590307736,0.2601536102920488,0.2748714821790758,0.1767009315977535,0.1677442954026443,0.1859902709455655,-0.0034008357665566,-0.0047216798515481,-0.0020920035688831,0.0696576697294539,0.0626548621745787,0.0488924748588784,0.0037734312468031,0.9801125703564728,0.974859287054409,0.9853658536585366
mkg_y,mkg_y_mhyper_adamf,X4,20,0.2750574088440663,0.2674943594047545,0.2826659662256845,0.4638158456167556,0.4577378658657409,0.4698401552890477,0.6134992242048103,0.6100136423673727,0.6169268886141904,0.7796522705962734,0.7757620886084733,0.783582115088281,0.2671399171651714,0.2598027636594895,0.2746400076044333,0.1780360421515386,0.1689054218535037,0.1874735004278811,-0.0014672514897601,-0.0028942016001624,-2.6161177312185587e-05,0.0646041181794672,0.0574957331264545,0.0448510604349084,0.0038272993026975,0.9673545966228893,0.9606003752345216,0.974108818011257
mkg_y,mkg_y_mhyper_adamf,X4,50,0.2666956515939704,0.2593169396203223,0.2740618062968514,0.4594880485527526,0.4534352757671032,0.4654907215556819,0.6007697078831522,0.5969801761127446,0.604530585622956,0.8148043450423285,0.8110270964156602,0.8186595909043395,0.2691200102152762,0.261609698852441,0.2767299784405452,0.1676688408696813,0.1586753487571383,0.1769150537826094,-0.000245419839318,-0.0019522101166888,0.0014846179152544,0.0592821261838067,0.0552060157396291,0.0366235763897894,0.0052881629924048,0.9377110694183864,0.9283302063789868,0.9467166979362102
mkg_y,mkg_y_native_adamf,X4,5,0.2713868126336979,0.2640611661494773,0.2787346098093698,0.4286325657480799,0.423550316867622,0.4336609076887268,0.6325230904743893,0.630296829307419,0.6347062346032762,0.6540079982274342,0.6506766267484911,0.6573712180033141,0.2419868801594775,0.2366868895844577,0.2473621261069412,0.1760528501321247,0.1668370789703254,0.1853762618606724,-0.0042762838464397,-0.0054287793338553,-0.0031093211291399,0.065981754121052,0.0599394740153517,0.0475204219202783,0.003342298665936,0.9939962476547842,0.9906191369606004,0.996622889305816
mkg_y,mkg_y_native_adamf,X4,10,0.2723885911179169,0.2648786904505567,0.2798410577056915,0.429411817253699,0.4243138994580705,0.4344728680596447,0.589715479836656,0.5868645798304353,0.5925147092094017,0.7609189133511832,0.7572789687121508,0.7646487573511419,0.2410871705862182,0.2357297000885958,0.2464481749384794,0.1774672026544156,0.1681483530555433,0.1869780444333999,-0.0032340014528057,-0.004388309095986,-0.0020466410972274,0.0597982388973967,0.054331227667177,0.0430981078193671,0.0025448750809029,0.9801125703564728,0.974859287054409,0.9853658536585366
mkg_y,mkg_y_native_adamf,X4,20,0.2724696793379876,0.2648938932644614,0.2800621764036369,0.4294819304370319,0.4243366542069902,0.434620406243583,0.5631226726144278,0.5596285625449371,0.5665546119493844,0.8135850951331183,0.8098661973846161,0.8173806254879674,0.2402445678342671,0.2348178731808204,0.2456604844834986,0.1783988233772953,0.1689989770765374,0.1880900903869245,-0.0022196826432958,-0.0033895764205859,-0.0010449599735134,0.0544655740884406,0.0498040147401086,0.0387276991841405,0.0013268764092167,0.9673545966228893,0.9606003752345216,0.974108818011257
mkg_y,mkg_y_native_adamf,X4,50,0.2660598772842479,0.2585084186685411,0.2736182439335486,0.4260984126984117,0.420943575157911,0.4311842568243367,0.5381472322262283,0.5342492682743046,0.5420642285781487,0.8471382762581949,0.8434515542582963,0.8508821972196324,0.2433237711998084,0.2378683211393031,0.2487321657573668,0.1693246365212753,0.1599125239622706,0.1788571310575212,-0.0018401281847896,-0.002987615030329,-0.0006847566790933,0.0480165666266506,0.0446005335467519,0.029766560518223,0.0009419999006968,0.9377110694183864,0.9283302063789868,0.9467166979362102
