pair,label,split,method,n,active_n,harm_n,benefit_n,mrr,utility,harm,harm_active,intervention,mean_loss,mean_gain,movement
mkgw_mhyper_native,W-N,dev_oof,ADC,25656,16238.0,3837.0,5157.0,0.358820604171267,0.003070435772242233,0.149555659494855,0.236297573592807,0.6329123791705644,0.004700529012007405,0.0077709647842496374,0.13114476145930679
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,25656,15751.0,3649.0,4979.0,0.3585988052176042,0.002848636818579452,0.14222793888369192,0.2316678306139293,0.6139304646086685,0.004381177395445618,0.007229814214025075,0.12256587153102591
mkgw_mhyper_native,W-N,dev_oof,Linear-p,25656,16238.0,3452.0,4987.0,0.35784957411407675,0.0020994057150520284,0.13454942313688806,0.21258775711294495,0.6329123791705644,0.0037574739713152052,0.0058568796863672345,0.07087036170876224
mkgw_mhyper_native,W-N,dev_oof,Clip-g,25656,16238.0,3879.0,5153.0,0.3589830880327071,0.0032329196336824033,0.15119270346117866,0.23888409902697377,0.6329123791705644,0.004875282219806225,0.008108201853488631,0.14287690988462673
mkgw_mhyper_native,W-N,dev_oof,Shrink-fixed,25656,10684.0,1999.0,4334.0,0.3563464610224274,0.0005962926234026586,0.07791549734954786,0.1871022089105204,0.41643280324290616,0.0020506913576499473,0.0026469839810526067,0.03145852821951912
mkgw_mhyper_native,W-N,dev_oof,Radius-1,25656,16238.0,4405.0,5033.0,0.35981481805983856,0.004064649660813843,0.17169473027751794,0.2712772508929671,0.6329123791705644,0.006670193121654995,0.01073484278246884,0.24082475834113046
mkgw_mhyper_native,W-N,dev_oof,No-gate,25656,23061.0,5863.0,7072.0,0.35887941100984194,0.003129242610817216,0.22852354225132523,0.25423875807640606,0.8988540692235735,0.00673912857326776,0.009868371184084975,0.14814858122856348
mkgw_mhyper_native,W-N,dev_oof,Global,25656,0.0,0.0,0.0,0.35575016839902474,0.0,0.0,,0.0,0.0,0.0,0.0
mkgw_mhyper_native,W-N,test,ADC,25644,16240.0,3885.0,4980.0,0.3671117713259244,0.0024466486686093207,0.15149742629854937,0.23922413793103448,0.6332865387615036,0.005463140058562557,0.00790978872717188,0.12098346591795263
mkgw_mhyper_native,W-N,test,Center-0.5,25644,16240.0,3857.0,4930.0,0.36674425238683517,0.0020791297295201278,0.1504055529558571,0.2375,0.6332865387615036,0.005630462135160469,0.007709591864680598,0.11523163313055654
mkgw_mhyper_native,W-N,test,Linear-p,25644,16240.0,3539.0,4818.0,0.3662772362882323,0.0016121136309172118,0.13800499142099518,0.21791871921182265,0.6332865387615036,0.004520846658156392,0.006132960289073601,0.06569567930120104
mkgw_mhyper_native,W-N,test,Clip-g,25644,16240.0,3942.0,4978.0,0.3670826709973693,0.002417548340054237,0.15372016846045858,0.24273399014778324,0.6332865387615036,0.005720350986313601,0.008137899326367838,0.13346981750116876
mkgw_mhyper_native,W-N,test,Shrink-fixed,25644,11756.0,2283.0,4228.0,0.36534325653377053,0.0006781338764554789,0.0890266729059429,0.194198707043212,0.45843082202464513,0.002515765577097797,0.003193899453553276,0.029100374356573814
mkgw_mhyper_native,W-N,test,Radius-1,25644,16240.0,4577.0,4910.0,0.3670654391386874,0.0024003164813723374,0.17848229605365779,0.2818349753694581,0.6332865387615036,0.008828544331635334,0.011228860813007663,0.2460400093589143
mkgw_mhyper_native,W-N,test,No-gate,25644,22848.0,5804.0,6679.0,0.36710139886156734,0.002436276204252291,0.22632974574949305,0.2540266106442577,0.8909686476368741,0.007404614326013103,0.009840890530265397,0.13646077055061714
mkgw_mhyper_native,W-N,test,Global,25644,0.0,0.0,0.0,0.36466512265731504,0.0,0.0,,0.0,0.0,0.0,0.0
mkgw_mhyper_adamf,W-A,dev_oof,ADC,25656,4998.0,961.0,3367.0,0.35402586226857363,0.0012038969018035226,0.03745712503897724,0.19227691076430573,0.19480823199251637,0.001475984536274516,0.002679881438078039,0.03816651075771745
mkgw_mhyper_adamf,W-A,dev_oof,Center-0.5,25656,13285.0,2938.0,5036.0,0.3461152713028153,-0.0067066940639548475,0.11451512316806985,0.22115167482122694,0.5178125974430933,0.015173298619017006,0.00846660455506217,0.22359876831930148
mkgw_mhyper_adamf,W-A,dev_oof,Linear-p,25656,4998.0,816.0,3311.0,0.3534644509210628,0.0006424855542927077,0.031805425631431246,0.16326530612244897,0.19480823199251637,0.0009605918332525039,0.0016030773875452123,0.02024477705020262
mkgw_mhyper_adamf,W-A,dev_oof,Clip-g,25656,4998.0,977.0,3356.0,0.35417168061404836,0.0013497152472782417,0.03808076083567197,0.19547819127651062,0.19480823199251637,0.001549209172896347,0.0028989244201745898,0.042707358902401044
