pair,label,split,comparator,regime,adc_n,adc_active_n,adc_harm_n,adc_benefit_n,adc_mrr,adc_utility,adc_harm,adc_harm_active,adc_intervention,adc_mean_loss,adc_mean_gain,adc_movement,other_n,other_active_n,other_harm_n,other_benefit_n,other_mrr,other_utility,other_harm,other_harm_active,other_intervention,other_mean_loss,other_mean_gain,other_movement,native_adc_active_n,native_other_active_n,match_active_n,match_strata,zero_quota_strata,adc_fraction_retained,other_fraction_retained,delta,lo,hi,clusters,cluster_order_sha256,seed,replicates,rng,quantile,observations_per_cluster
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,Native,25656,16238.0,3837.0,5157.0,0.358820604171267,0.003070435772242233,0.149555659494855,0.236297573592807,0.6329123791705644,0.004700529012007405,0.0077709647842496374,0.13114476145930679,25656,15751.0,3649.0,4979.0,0.3585988052176042,0.002848636818579452,0.14222793888369192,0.2316678306139293,0.6139304646086685,0.004381177395445618,0.007229814214025075,0.12256587153102591,16238.0,15751.0,15751,150,43,0.9700086217514472,1.0,0.0002217989536627789,-0.00041657079574391684,0.0008733036034193027,4276,22c5262742dd9c81e3b1c7c700081db60e4ff5ed125dc2f9c5baaf76e562ec78,2026091214,10000,PCG64,linear,6
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,Matched-I,25656,15751.0,3730.698636674339,5021.021672928324,0.3587210744812306,0.0029709060822058265,0.1454123260318966,0.23685471631479518,0.6139304646086685,0.004555478070505683,0.00752638415271151,0.12716031935450298,25656,15751.0,3649.0,4979.0,0.3585988052176042,0.002848636818579452,0.14222793888369192,0.2316678306139293,0.6139304646086685,0.004381177395445618,0.007229814214025075,0.12256587153102591,16238.0,15751.0,15751,150,43,0.9700086217514472,1.0,0.000122269263626373,-0.0005040299470781255,0.0007651548998584214,4276,22c5262742dd9c81e3b1c7c700081db60e4ff5ed125dc2f9c5baaf76e562ec78,2026091214,10000,PCG64,linear,6
mkgw_mhyper_native,W-N,dev_oof,Linear-p,Native,25656,16238.0,3837.0,5157.0,0.358820604171267,0.003070435772242233,0.149555659494855,0.236297573592807,0.6329123791705644,0.004700529012007405,0.0077709647842496374,0.13114476145930679,25656,16238.0,3452.0,4987.0,0.35784957411407675,0.0020994057150520284,0.13454942313688806,0.21258775711294495,0.6329123791705644,0.0037574739713152052,0.0058568796863672345,0.07087036170876224,16238.0,16238.0,16238,150,42,1.0,1.0,0.0009710300571902045,0.00028428091905031636,0.001669476429389289,4276,22c5262742dd9c81e3b1c7c700081db60e4ff5ed125dc2f9c5baaf76e562ec78,2026091214,10000,PCG64,linear,6
mkgw_mhyper_native,W-N,dev_oof,Linear-p,Matched-I,25656,16238.0,3837.0,5157.0,0.358820604171267,0.003070435772242233,0.149555659494855,0.236297573592807,0.6329123791705644,0.004700529012007405,0.0077709647842496374,0.13114476145930679,25656,16238.0,3452.0,4987.0,0.35784957411407675,0.0020994057150520284,0.13454942313688806,0.21258775711294495,0.6329123791705644,0.0037574739713152052,0.0058568796863672345,0.07087036170876224,16238.0,16238.0,16238,150,42,1.0,1.0,0.0009710300571902045,0.00028428091905031636,0.001669476429389289,4276,22c5262742dd9c81e3b1c7c700081db60e4ff5ed125dc2f9c5baaf76e562ec78,2026091214,10000,PCG64,linear,6
mkgw_mhyper_native,W-N,dev_oof,Clip-g,Native,25656,16238.0,3837.0,5157.0,0.358820604171267,0.003070435772242233,0.149555659494855,0.236297573592807,0.6329123791705644,0.004700529012007405,0.0077709647842496374,0.13114476145930679,25656,16238.0,3879.0,5153.0,0.3589830880327071,0.0032329196336824033,0.15119270346117866,0.23888409902697377,0.6329123791705644,0.004875282219806225,0.008108201853488631,0.14287690988462673,16238.0,16238.0,16238,150,42,1.0,1.0,-0.00016248386144017066,-0.0004671378669477247,0.00014701283413334055,4276,22c5262742dd9c81e3b1c7c700081db60e4ff5ed125dc2f9c5baaf76e562ec78,2026091214,10000,PCG64,linear,6
mkgw_mhyper_native,W-N,dev_oof,Clip-g,Matched-I,25656,16238.0,3837.0,5157.0,0.358820604171267,0.003070435772242233,0.149555659494855,0.236297573592807,0.6329123791705644,0.004700529012007405,0.0077709647842496374,0.13114476145930679,25656,16238.0,3879.0,5153.0,0.3589830880327071,0.0032329196336824033,0.15119270346117866,0.23888409902697377,0.6329123791705644,0.004875282219806225,0.008108201853488631,0.14287690988462673,16238.0,16238.0,16238,150,42,1.0,1.0,-0.00016248386144017066,-0.0004671378669477247,0.00014701283413334055,4276,22c5262742dd9c81e3b1c7c700081db60e4ff5ed125dc2f9c5baaf76e562ec78,2026091214,10000,PCG64,linear,6
mkgw_mhyper_native,W-N,dev_oof,Shrink-fixed,Native,25656,16238.0,3837.0,5157.0,0.358820604171267,0.003070435772242233,0.149555659494855,0.236297573592807,0.6329123791705644,0.004700529012007405,0.0077709647842496374,0.13114476145930679,25656,10684.0,1999.0,4334.0,0.3563464610224274,0.0005962926234026586,0.07791549734954786,0.1871022089105204,0.41643280324290616,0.0020506913576499473,0.0026469839810526067,0.03145852821951912,16238.0,10684.0,10684,150,48,0.6579628033008992,1.0,0.0024741431488395763,0.0016036625182716455,0.003313877770510379,4276,22c5262742dd9c81e3b1c7c700081db60e4ff5ed125dc2f9c5baaf76e562ec78,2026091214,10000,PCG64,linear,6
mkgw_mhyper_native,W-N,dev_oof,Shrink-fixed,Matched-I,25656,10684.0,2613.7845557877763,3641.337530125189,0.3577395677179485,0.001989399318923784,0.10187810086481822,0.24464475437923777,0.41643280324290616,0.002957570843758031,0.004946970162681816,0.08633487026575505,25656,10684.0,1999.0,4334.0,0.3563464610224274,0.0005962926234026586,0.07791549734954786,0.1871022089105204,0.41643280324290616,0.0020506913576499473,0.0026469839810526067,0.03145852821951912,16238.0,10684.0,10684,150,48,0.6579628033008992,1.0,0.0013931066955211273,0.0007815769058004591,0.0020092216413905195,4276,22c5262742dd9c81e3b1c7c700081db60e4ff5ed125dc2f9c5baaf76e562ec78,2026091214,10000,PCG64,linear,6
mkgw_mhyper_native,W-N,dev_oof,Radius-1,Native,25656,16238.0,3837.0,5157.0,0.358820604171267,0.003070435772242233,0.149555659494855,0.236297573592807,0.6329123791705644,0.004700529012007405,0.0077709647842496374,0.13114476145930679,25656,16238.0,4405.0,5033.0,0.35981481805983856,0.004064649660813843,0.17169473027751794,0.2712772508929671,0.6329123791705644,0.006670193121654995,0.01073484278246884,0.24082475834113046,16238.0,16238.0,16238,150,42,1.0,1.0,-0.0009942138885716087,-0.0017884455854377786,-0.00020113116471497162,4276,22c5262742dd9c81e3b1c7c700081db60e4ff5ed125dc2f9c5baaf76e562ec78,2026091214,10000,PCG64,linear,6
mkgw_mhyper_native,W-N,dev_oof,Radius-1,Matched-I,25656,16238.0,3837.0,5157.0,0.358820604171267,0.003070435772242233,0.149555659494855,0.236297573592807,0.6329123791705644,0.004700529012007405,0.0077709647842496374,0.13114476145930679,25656,16238.0,4405.0,5033.0,0.35981481805983856,0.004064649660813843,0.17169473027751794,0.2712772508929671,0.6329123791705644,0.006670193121654995,0.01073484278246884,0.24082475834113046,16238.0,16238.0,16238,150,42,1.0,1.0,-0.0009942138885716087,-0.0017884455854377786,-0.00020113116471497162,4276,22c5262742dd9c81e3b1c7c700081db60e4ff5ed125dc2f9c5baaf76e562ec78,2026091214,10000,PCG64,linear,6
