pair,label,split,method,seed,direction,n,active_n,harm_n,benefit_n,mrr,utility,harm,harm_active,intervention,mean_loss,mean_gain,movement
mkgw_mhyper_native,W-N,dev_oof,ADC,1,head,4276,2836.0,748.0,1473.0,0.19498388970062794,0.0009639898942889716,0.17492984097287184,0.2637517630465444,0.6632366697848456,0.004053417566116517,0.005017407460405489,0.14184985968194586
mkgw_mhyper_native,W-N,dev_oof,ADC,1,tail,4276,2501.0,509.0,239.0,0.522656832358136,0.002408940195053637,0.11903648269410665,0.2035185925629748,0.5848924228250701,0.005894430241264715,0.008303370436318352,0.12124649204864366
mkgw_mhyper_native,W-N,dev_oof,ADC,2,head,4276,2637.0,698.0,1356.0,0.1915945345021764,0.0009624818887694626,0.16323666978484566,0.2646947288585514,0.6166978484565014,0.0026658700133910048,0.003628351902160467,0.11555191768007488
mkgw_mhyper_native,W-N,dev_oof,ADC,2,tail,4276,2937.0,659.0,274.0,0.5238189776991251,0.004015471625548653,0.15411599625818523,0.22437861763704461,0.6868568755846586,0.007515795917351441,0.011531267542900092,0.14763797942001874
mkgw_mhyper_native,W-N,dev_oof,ADC,3,head,4276,2824.0,732.0,1506.0,0.19702399537346318,0.0018059190533213738,0.17118802619270346,0.25920679886685555,0.6604303086997194,0.0032369424557296624,0.005042861509051036,0.13971000935453698
mkgw_mhyper_native,W-N,dev_oof,ADC,3,tail,4276,2503.0,491.0,309.0,0.5228453953940734,0.008265811976471292,0.1148269410664172,0.19616460247702758,0.5853601496725912,0.0048367178781910745,0.013102529854662369,0.12087231057062679
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,1,head,4276,2801.0,745.0,1469.0,0.19667057106923286,0.0026506712628938957,0.17422825070159026,0.2659764369867904,0.6550514499532273,0.003885057830029781,0.0065357290929236745,0.16776192703461157
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,1,tail,4276,2380.0,453.0,214.0,0.523870750133027,0.0036228579699446074,0.1059401309635173,0.1903361344537815,0.5565949485500468,0.004224299530320872,0.007847157500265479,0.08317352666043028
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,2,head,4276,2589.0,720.0,1314.0,0.19154000209268465,0.0009079494792777264,0.16838166510757718,0.27809965237543455,0.6054724041159962,0.0032111959633709607,0.004119145442648688,0.1337231057062677
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,2,tail,4276,2824.0,571.0,240.0,0.5218095597814065,0.002006053707830067,0.13353601496725911,0.20219546742209632,0.6604303086997194,0.007193755154487663,0.00919980886231773,0.10067820392890552
mkgw_mhyper_native,W-N,dev_oof,Center-0.5,3,head,4276,2779.0,732.0,1475.0,0.19702096157006574,0.0018028852499239242,0.17118802619270346,0.2634041021950342,0.6499064546304958,0.0036962321258517962,0.005499117375775721,0.1660664172123478
