regime,n_queries,mrr_oracle,mrr_xgb_routed,oracle_gap,false_negative_rate,false_positive_rate,lost_rr_mass_fn,lost_rr_mass_fp
head_has_img,21144,0.013464300506327982,0.00412330123702979,0.00934099926929819,0.9378238341968912,0.025761564497931554,193.69678739003908,3.809301160001902
head_no_img,8856,0.01442761624750568,0.0077640433781262525,0.006663572869379427,0.9356481481481481,0.05976430976430976,41.68744003308911,17.3251612981351
tail_no_img,30000,0.6537260100334462,0.5801332947835756,0.07359271524987065,0.7371951772278126,0.13611682218356266,1304.6222348763117,903.159222619805
