regime,comparison,n_queries,win_rate,lose_rate,tie_rate,mean_rr_diff
head_has_img,gate_vs_residual,7048,0.7512769580022701,0.24858115777525538,0.00014188422247446084,0.011091776795847634
head_no_img,gate_vs_residual,2952,0.7320460704607046,0.26727642276422764,0.0006775067750677507,0.005173720757158403
tail_no_img,gate_vs_residual,10000,0.2265,0.6243,0.1492,-0.2546776478697435
head_has_img,full_vs_residual,7048,0.7080022701475596,0.29199772985244044,0.0,0.0042377321392723325
head_no_img,full_vs_residual,2952,0.7405149051490515,0.25846883468834686,0.0010162601626016261,0.00708723760240462
tail_no_img,full_vs_residual,10000,0.2911,0.5634,0.1455,-0.20848872586070794
head_has_img,xgb_routed_vs_residual,7048,0.04426787741203178,0.00681044267877412,0.9489216799091941,0.0025523993286089893
head_no_img,xgb_routed_vs_residual,2952,0.042682926829268296,0.016260162601626018,0.9410569105691057,0.0026915357180123784
tail_no_img,xgb_routed_vs_residual,10000,0.0858,0.0846,0.8296,-0.000543263303384996
