regime,n_seeds,n_queries,mrr_residual_mean,mrr_residual_std,mrr_gate_mean,mrr_gate_std,mrr_xgb_routed_mean,mrr_xgb_routed_std,mrr_oracle_mean,mrr_oracle_std,oracle_minus_xgb_gap_mean,oracle_minus_xgb_gap_std,oracle_minus_residual_gap_mean,oracle_minus_residual_gap_std
head_has_img,3,7048,0.0017347120476002332,0.00010206952687125867,0.012345267952751966,0.0003349208958435653,0.004123301237029733,0.0001095964592468348,0.013464300506327935,0.0002842975178275158,0.009340999269298168,0.00019694316018176614,0.011729588458727633,0.00036139405291295913
head_no_img,3,2952,0.005519825818191167,0.0002745290598351995,0.010434756493304267,0.0008879483416542042,0.0077640433781262,0.0002818441513029898,0.014427616247505633,0.0010906638830409574,0.006663572869379367,0.0008843865643375293,0.008907790429314433,0.0008965817128550225
tail_no_img,3,10000,0.5832467831492251,0.0012151463353364158,0.32588050481133046,0.003461294960225412,0.5801332947835754,0.002017435428922737,0.6537260100334461,0.0029277580360128987,0.0735927152498706,0.002851723050929803,0.07047922688422097,0.0017197728656736804
