regime,n_seeds,n_queries,fusion_selection_rate_mean,fusion_selection_rate_std,gain_precision_d001_mean,gain_precision_d001_std,gain_recall_d001_mean,gain_recall_d001_std,mean_prob_fusion_mean,mean_prob_fusion_std,mean_rr_routed_mean,mean_rr_routed_std
head_has_img,3,7048,0.0530174044646235,0.0017581943147409224,0.3943914575990048,0.01655337305990459,0.1588583175174625,0.006937540851066097,0.37398422083205524,0.0011286688743780816,0.004123301237029733,0.0001095964592468348
head_no_img,3,2952,0.06312104787714536,0.005429455862769355,0.4428981544771018,0.015251585381979514,0.32386461016382273,0.004151835351770293,0.28620024270932465,0.0005265126639760822,0.0077640433781262,0.0002818441513029898
tail_no_img,3,10000,0.1827,0.0035562152165844324,0.3869425694117054,0.011444215540888893,0.35143014368263614,0.01548195146049206,0.4914806716691236,0.0016137818461185041,0.5801332947835754,0.002017435428922737
