regime,n_queries,fusion_selection_rate,gain_precision_d001,gain_recall_d001,mean_prob_fusion,mean_rr_routed
head_has_img,7048,0.0510783200908059,0.38333333333333336,0.15081967213114755,0.3724161560712467,0.004143405220929341
head_no_img,2952,0.05928184281842819,0.44,0.32905982905982906,0.28613204266219766,0.007868023922488913
tail_no_img,10000,0.1866,0.40192926045016075,0.3707365299060801,0.49077495590758047,0.582384247353246
