regime,comparison,n_seeds,n_queries,win_rate_mean,win_rate_std,lose_rate_mean,lose_rate_std,tie_rate_mean,tie_rate_std,mean_rr_diff_mean,mean_rr_diff_std
head_has_img,full_vs_residual,3,7048,0.7345819144911085,0.021897822518612286,0.26518161180476724,0.021953421940376458,0.00023647370412406665,0.00024115680635606004,0.0051809239295067,0.0006939963082385601
head_has_img,gate_vs_residual,3,7048,0.7482500945894817,0.010190233337353267,0.2515134317063942,0.010289840146403651,0.00023647370412403334,0.00013376972780675245,0.010610555905151668,0.00041906084753530297
head_has_img,xgb_routed_vs_residual,3,7048,0.0465380249716231,0.0016424286184435841,0.006479379493000367,0.0007885609156513955,0.9469825955353764,0.001758194314740838,0.0023885891894294665,0.0001655551066740852
head_no_img,full_vs_residual,3,2952,0.7270776874435411,0.011358205701652736,0.27201897018970184,0.011500997630091473,0.0009033423667569668,0.0001596898783167568,0.006709797788988399,0.0009258362354688764
head_no_img,gate_vs_residual,3,2952,0.731368563685637,0.0005531819653981687,0.26829268292682923,0.0008297729480972985,0.0003387533875338334,0.0002765909826990735,0.0049149306751131,0.0007795522420681813
head_no_img,xgb_routed_vs_residual,3,2952,0.04686088527551937,0.006149615539381255,0.016034327009936733,0.0008449994098405278,0.9371047877145436,0.005351398198316464,0.002244217559935,0.0003475056178095445
tail_no_img,full_vs_residual,3,10000,0.29223333333333334,0.0019669491322575716,0.5337,0.027293344732125944,0.17406666666666668,0.025544253539473195,-0.17800707845652852,0.025878144543863734
tail_no_img,gate_vs_residual,3,10000,0.22529999999999997,0.0009416297927883674,0.6323,0.009017020941900213,0.1424,0.008176796438703858,-0.25736627833789466,0.002642138513407189
tail_no_img,xgb_routed_vs_residual,3,10000,0.0816,0.0033891985286593454,0.08606666666666667,0.001065624490876386,0.8323333333333333,0.0026948510575210112,-0.003113488365649534,0.0018179962267151064
