feature_name,feature_family,importance_gain,importance_weight,importance_cover,rank_gain
relation_id=rel_118,relation_id,0.0,0.0,0.0,87
relation_id=rel_12,relation_id,0.0,0.0,0.0,88
relation_id=rel_120,relation_id,0.0,0.0,0.0,89
relation_id=rel_121,relation_id,0.0,0.0,0.0,90
relation_id=rel_122,relation_id,0.0,0.0,0.0,91
relation_id=rel_123,relation_id,0.0,0.0,0.0,92
relation_id=rel_125,relation_id,0.0,0.0,0.0,93
relation_id=rel_127,relation_id,0.0,0.0,0.0,94
relation_id=rel_128,relation_id,0.0,0.0,0.0,95
relation_id=rel_129,relation_id,0.0,0.0,0.0,96
relation_id=rel_13,relation_id,0.0,0.0,0.0,97
relation_id=rel_130,relation_id,0.0,0.0,0.0,98
relation_id=rel_133,relation_id,0.0,0.0,0.0,99
relation_id=rel_135,relation_id,0.0,0.0,0.0,100
relation_id=rel_14,relation_id,0.0,0.0,0.0,101
relation_id=rel_18,relation_id,0.0,0.0,0.0,102
relation_id=rel_2,relation_id,0.0,0.0,0.0,103
relation_id=rel_20,relation_id,0.0,0.0,0.0,104
relation_id=rel_21,relation_id,0.0,0.0,0.0,105
relation_id=rel_24,relation_id,0.0,0.0,0.0,106
relation_id=rel_25,relation_id,0.0,0.0,0.0,107
relation_id=rel_26,relation_id,0.0,0.0,0.0,108
relation_id=rel_27,relation_id,0.0,0.0,0.0,109
relation_id=rel_3,relation_id,0.0,0.0,0.0,110
relation_id=rel_30,relation_id,0.0,0.0,0.0,111
relation_id=rel_34,relation_id,0.0,0.0,0.0,112
relation_id=rel_35,relation_id,0.0,0.0,0.0,113
relation_id=rel_37,relation_id,0.0,0.0,0.0,114
relation_id=rel_40,relation_id,0.0,0.0,0.0,115
relation_id=rel_41,relation_id,0.0,0.0,0.0,116
relation_id=rel_42,relation_id,0.0,0.0,0.0,117
relation_id=rel_47,relation_id,0.0,0.0,0.0,118
relation_id=rel_49,relation_id,0.0,0.0,0.0,119
relation_id=rel_50,relation_id,0.0,0.0,0.0,120
relation_id=rel_51,relation_id,0.0,0.0,0.0,121
relation_id=rel_55,relation_id,0.0,0.0,0.0,122
relation_id=rel_57,relation_id,0.0,0.0,0.0,123
relation_id=rel_59,relation_id,0.0,0.0,0.0,124
relation_id=rel_63,relation_id,0.0,0.0,0.0,125
relation_id=rel_65,relation_id,0.0,0.0,0.0,126
relation_id=rel_68,relation_id,0.0,0.0,0.0,127
relation_id=rel_70,relation_id,0.0,0.0,0.0,128
relation_id=rel_72,relation_id,0.0,0.0,0.0,129
relation_id=rel_73,relation_id,0.0,0.0,0.0,130
relation_id=rel_74,relation_id,0.0,0.0,0.0,131
relation_id=rel_77,relation_id,0.0,0.0,0.0,132
relation_id=rel_79,relation_id,0.0,0.0,0.0,133
relation_id=rel_81,relation_id,0.0,0.0,0.0,134
relation_id=rel_85,relation_id,0.0,0.0,0.0,135
relation_id=rel_87,relation_id,0.0,0.0,0.0,136
relation_id=rel_95,relation_id,0.0,0.0,0.0,137
relation_id=rel_97,relation_id,0.0,0.0,0.0,138
relation_id=rel_99,relation_id,0.0,0.0,0.0,139
target_regime=head_has_img,target_regime,0.0,0.0,0.0,140
