regime,n_queries,fusion_selection_rate,gain_precision_d001,gain_recall_d001,mean_prob_fusion,mean_rr_routed
head_has_img,21144,0.05301740446462353,0.3942908117752007,0.1588785046728972,0.37398422083205524,0.00412330123702979
head_no_img,8856,0.06312104787714544,0.4418604651162791,0.3237221494102228,0.2862002427093247,0.0077640433781262525
tail_no_img,30000,0.1827,0.3871556285349389,0.351499088951466,0.4914806716691237,0.5801332947835756
