regime,n_queries,fusion_selection_rate,gain_precision_d001,gain_recall_d001,mean_prob_fusion,mean_rr_routed
head_has_img,7048,0.055334846765039726,0.382051282051282,0.15800636267232238,0.3745099514094895,0.00398015548792858
head_no_img,2952,0.07079945799457994,0.4258373205741627,0.3236363636363636,0.28687647585239673,0.008045287592802272
tail_no_img,10000,0.1835,0.38474114441416896,0.35072031793343267,0.493713133688597,0.5805260338858409
