regime,n_queries,mrr_residual,mrr_gate,mrr_xgb_routed,mrr_oracle,oracle_minus_xgb_gap,oracle_minus_residual_gap
head_has_img,21144,0.0017347120476002816,0.012345267952752008,0.00412330123702979,0.013464300506327982,0.00934099926929819,0.0117295884587277
head_no_img,8856,0.005519825818191216,0.010434756493304331,0.0077640433781262525,0.01442761624750568,0.006663572869379427,0.008907790429314465
tail_no_img,30000,0.5832467831492252,0.3258805048113306,0.5801332947835756,0.6537260100334462,0.07359271524987065,0.07047922688422104
