dataset,pair_id,pair_label,n_original_triples,n_query_identities,alpha0,raw_oracle_headroom,raw_ci95_low,raw_ci95_high,consensus_headroom,consensus_ci95_low,consensus_ci95_high,consensus_recovery,consensus_recovery_ci95_low,consensus_recovery_ci95_high,stable2_headroom,stable2_ci95_low,stable2_ci95_high,stable2_recovery,stable2_recovery_ci95_low,stable2_recovery_ci95_high,stable3_headroom,stable3_ci95_low,stable3_ci95_high,stable3_recovery,stable3_recovery_ci95_low,stable3_recovery_ci95_high,fragility2,fragility2_ci95_low,fragility2_ci95_high,fragility3,fragility3_ci95_low,fragility3_ci95_high,consensus_changed_rate,consensus_changed_ci95_low,consensus_changed_ci95_high,stable2_opportunity_rate,stable2_opportunity_ci95_low,stable2_opportunity_ci95_high,stable3_opportunity_rate,stable3_opportunity_ci95_low,stable3_opportunity_ci95_high,loso_stable_headroom,loso_ci95_low,loso_ci95_high,loso_recovery,loso_recovery_ci95_low,loso_recovery_ci95_high,frozen_x4_oof_gain,frozen_x4_ci95_low,frozen_x4_ci95_high
mkg_y,mkg_y_mhyper_native,MKG-Y / M-Hyper + NativE,2665,5330,0.35,0.036845721448909075,0.03433743195785739,0.03946537192385948,0.033523311327248485,0.03114555040370038,0.03599366530805791,0.9098291472927867,0.896596313220357,0.9218736545984386,0.019612830077915266,0.017615429594613232,0.021684995291211873,0.5322959981964462,0.49908565179653835,0.564163311224148,0.009876305053343307,0.008355304977266326,0.011443374100973201,0.2680448275938352,0.23398267646901277,0.301908595816655,0.46770400180355376,0.435836688775852,0.5009143482034617,0.7319551724061648,0.698091404183345,0.7660173235309873,0.7185741088180112,0.7041275797373359,0.7332082551594746,0.6140712945590995,0.5973733583489681,0.6309568480300187,0.34352720450281427,0.3281425891181989,0.3592870544090056,0.0093805768976709,0.0079072958493138,0.0109055050676362,0.2545906696569422,0.2210707552762368,0.288215343582468,0.0037046776535336,0.0022528211640699,0.0051666422981165
mkg_y,mkg_y_mhyper_adamf,MKG-Y / M-Hyper + AdaMF-MAT,2665,5330,0.35,0.044069718507975676,0.04125836074708076,0.046975309330621766,0.040415575343259576,0.037684802507135066,0.04316882589349358,0.9170826751694641,0.9052652623726514,0.9281628705311539,0.02405587752630126,0.021789935422537727,0.026442653037544638,0.5458595684460217,0.5149279182727693,0.5765289768009809,0.013153709485258569,0.011396673222834022,0.0150062007291262,0.29847500575430336,0.26606944740031263,0.33133303248205387,0.4541404315539783,0.4234710231990191,0.4850720817272307,0.7015249942456967,0.6686669675179462,0.7339305525996873,0.7393996247654784,0.724953095684803,0.7536585365853659,0.625140712945591,0.6086303939962476,0.6418386491557223,0.36153846153846153,0.34596622889305817,0.3769230769230769,0.0118493374795701,0.0100727806201696,0.0136760187358614,0.2688770856892503,0.2344001817097175,0.3020833951356482,0.0067731900464772,0.0048306744880683,0.0086980885429947
mkg_y,mkg_y_native_adamf,MKG-Y / NativE + AdaMF-MAT,2665,5330,0.55,0.03784422884744998,0.03544302993404297,0.04028779446296321,0.03346146968661264,0.031224925534126667,0.035718002531027034,0.8841894974659351,0.8702281512871578,0.8975306824296869,0.014546580954952785,0.012985306068095039,0.016182541268367764,0.3843804299353021,0.3537694222517749,0.41449186433955715,0.004988369616924526,0.004069270424142172,0.005977807887371108,0.13181321878780078,0.10920354204023264,0.15606642995679215,0.6156195700646979,0.5855081356604428,0.6462305777482251,0.8681867812121993,0.8439335700432078,0.8907964579597674,0.7658536585365854,0.751219512195122,0.7797373358348968,0.6150093808630394,0.5979362101313321,0.6318949343339587,0.2780487804878049,0.2634146341463415,0.2923076923076923,0.0038923763407449,0.0026256344490952,0.0051878207919231,0.1028525738081512,0.0703057467133525,0.135276367352129,-0.0004411111877554,-0.0015107186721926,0.0006104375001598
