pair,label,version,primary_total_s,global_total_s,historical_dyna_total_s,adc_total_s,adc_total_std_s,adc_feature_s,adc_policy_s,adc_combination_s,adc_overhead_s,dyna_overhead_s,adc_over_primary,adc_over_global,adc_overhead_over_dyna
mkgw_mhyper_native,W-N,historical pre-information-boundary repair,0.4802577266666958,4.533348766666677,5.3055044533333025,5.682993840000003,0.5270745807859908,0.47110401999990853,0.07279484666669304,0.0984845000002982,0.6423833666668998,0.40572117333335883,11.8332168842836,1.253597314591493,1.5833124048941083
mkgw_mhyper_adamf,W-A,historical pre-information-boundary repair,0.522869359999974,2.7246156866667053,2.820363580000018,3.240246000000025,0.20596797929242233,0.4416331000003083,0.07196780000040234,0.0976656466666403,0.6112665466673509,0.32355231333349366,6.197047002333788,1.1892488235521177,1.889235593371582
db15k_mhyper_native,D-N,historical pre-information-boundary repair,0.5080373533333538,4.02371216666661,4.152383479999996,4.809369293333263,0.5253978789825955,0.4928689466664764,0.07845507999994274,0.09302872666676194,0.6643527533331811,0.32931278666686314,9.46656631009088,1.195256791272304,2.0173913076908505
db15k_mhyper_adamf,D-A,historical pre-information-boundary repair,0.47009735333328234,2.526291346666706,2.7994624933333396,3.013961833333239,0.16258407148471027,0.38131912666652473,0.06821627999997873,0.07511665333346779,0.5246520599999712,0.30869430666680275,6.4113567369873,1.193038102002758,1.6995845037280461
