pair,comparator,scope,seed,n,delta_adc_minus_comparator,direction
mkgw_mhyper_native,Shrink,direction,,12822,0.00017856787553112113,head
mkgw_mhyper_native,Shrink,direction,,12822,0.001722143904426141,tail
mkgw_mhyper_native,Shrink,seed_direction,1.0,4274,0.0010857530374755791,head
mkgw_mhyper_native,Shrink,seed_direction,1.0,4274,0.0007560005795284334,tail
mkgw_mhyper_native,Shrink,seed_direction,2.0,4274,-0.0003307185227030684,head
mkgw_mhyper_native,Shrink,seed_direction,2.0,4274,0.001318596415951011,tail
mkgw_mhyper_native,Shrink,seed_direction,3.0,4274,-0.00021933088817914696,head
mkgw_mhyper_native,Shrink,seed_direction,3.0,4274,0.0030918347177989777,tail
mkgw_mhyper_native,Shrink-gate,seed,1.0,8548,0.0009208768085020065,
mkgw_mhyper_native,Shrink-gate,seed,2.0,8548,0.0004939389466239715,
mkgw_mhyper_native,Shrink-gate,seed,3.0,8548,0.0014362519148099157,
mkgw_mhyper_native,Shrink-gate,direction,,12822,0.00017856787553112113,head
mkgw_mhyper_native,Shrink-gate,direction,,12822,0.001722143904426141,tail
mkgw_mhyper_native,Shrink-gate,seed_direction,1.0,4274,0.0010857530374755791,head
mkgw_mhyper_native,Shrink-gate,seed_direction,1.0,4274,0.0007560005795284334,tail
mkgw_mhyper_native,Shrink-gate,seed_direction,2.0,4274,-0.0003307185227030684,head
mkgw_mhyper_native,Shrink-gate,seed_direction,2.0,4274,0.001318596415951011,tail
mkgw_mhyper_native,Shrink-gate,seed_direction,3.0,4274,-0.00021933088817914696,head
mkgw_mhyper_native,Shrink-gate,seed_direction,3.0,4274,0.0030918347177989777,tail
mkgw_mhyper_native,Linear-p,seed,1.0,8548,0.0006347313292299504,
mkgw_mhyper_native,Linear-p,seed,2.0,8548,0.0008516059072165567,
mkgw_mhyper_native,Linear-p,seed,3.0,8548,0.0002930466254751402,
mkgw_mhyper_native,Linear-p,direction,,12822,-4.873421888242531e-05,head
mkgw_mhyper_native,Linear-p,direction,,12822,0.00123499012683019,tail
mkgw_mhyper_native,Linear-p,seed_direction,1.0,4274,0.0009432128019468372,head
mkgw_mhyper_native,Linear-p,seed_direction,1.0,4274,0.0003262498565130636,tail
mkgw_mhyper_native,Linear-p,seed_direction,2.0,4274,-0.00074907423952038,head
mkgw_mhyper_native,Linear-p,seed_direction,2.0,4274,0.0024522860539534933,tail
mkgw_mhyper_native,Linear-p,seed_direction,3.0,4274,-0.0003403412190737332,head
mkgw_mhyper_native,Linear-p,seed_direction,3.0,4274,0.0009264344700240135,tail
mkgw_mhyper_native,Clip-g,seed,1.0,8548,0.00036843091085742556,
mkgw_mhyper_native,Clip-g,seed,2.0,8548,-0.0002737153499490774,
