outer_fold,count,training_gain,positive_gain_rate,negative_transfer_rate
1,38052,0.005173983414312474,0.3350152423000105,0.21841164721959425
2,38046,0.0031638761970514957,0.35202123744940333,0.2173947326920044
3,38016,0.008347812289015556,0.31392045454545453,0.18913089225589225
4,37992,0.0066109225448998344,0.33820277953253314,0.20377974310381133
5,38022,0.005027047007923882,0.3484035558360949,0.21232444374309611
