epoch,train_loss,val_loss,val_accuracy
1,1.290887527087105,1.274749994277954,0.5726190209388733
2,1.270231129890745,1.261733055114746,0.6813809275627136
3,1.2530990249413445,1.2425442934036255,0.547698438167572
4,1.2372040821757126,1.22593355178833,0.5986348986625671
5,1.2254597809340548,1.2155935764312744,0.5532539486885071
6,1.2152008115169373,1.2074073553085327,0.604285717010498
7,1.2071919776902733,1.2022451162338257,0.6166031956672668
8,1.2003589154150511,1.1929184198379517,0.6792857050895691
9,1.193866842490241,1.1885446310043335,0.582111120223999
10,1.1896152905178414,1.1803048849105835,0.6105079650878906
