pair_id,level,group_key,fold_count,median_alpha,foldwise_mad,mean_support_original_triples
mkg_y_mhyper_native,L4,"[9,""head"",1,""text_and_image""]",5,0.4,0.0,337.6
mkg_y_mhyper_native,L4,"[9,""head"",2,""text_and_image""]",5,0.15,0.0,111.2
mkg_y_mhyper_native,L4,"[9,""head"",3,""text_and_image""]",2,0.125,0.024999999999999994,27.5
mkg_y_mhyper_native,L4,"[9,""head"",0,""text_and_image""]",4,0.1,0.0,55.25
mkg_y_mhyper_native,L4,"[9,""head"",1,""image_only""]",2,0.475,0.024999999999999994,38.0
mkg_y_mhyper_native,L4,"[9,""head"",2,""image_only""]",2,0.0,0.0,38.5
mkg_y_mhyper_native,L4,"[10,""head"",3,""text_and_image""]",2,0.375,0.125,27.0
mkg_y_mhyper_native,L4,"[12,""head"",1,""text_and_image""]",2,0.225,0.024999999999999994,32.5
mkg_y_mhyper_native,L4,"[0,""tail"",2,""text_and_image""]",2,0.4,0.0,11.0
mkg_y_mhyper_native,L4,"[0,""tail"",1,""text_and_image""]",2,0.1,0.0,25.0
mkg_y_mhyper_native,L4,"[1,""tail"",1,""text_and_image""]",5,0.8,0.10000000000000009,88.8
mkg_y_mhyper_native,L4,"[1,""tail"",2,""text_and_image""]",5,0.95,0.0,80.0
mkg_y_mhyper_native,L4,"[1,""tail"",2,""text_only""]",2,0.75,0.050000000000000044,11.5
mkg_y_mhyper_native,L4,"[1,""tail"",3,""text_and_image""]",2,0.45,0.10000000000000003,27.5
mkg_y_mhyper_native,L4,"[1,""tail"",1,""text_only""]",2,0.4,0.19999999999999998,15.0
mkg_y_mhyper_native,L4,"[2,""tail"",3,""image_only""]",2,0.575,0.024999999999999967,12.5
mkg_y_mhyper_native,L4,"[2,""tail"",1,""text_and_image""]",2,0.25,0.0,23.5
mkg_y_mhyper_native,L4,"[2,""tail"",3,""text_and_image""]",2,0.05,0.0,39.5
mkg_y_mhyper_native,L4,"[2,""tail"",2,""text_and_image""]",2,0.525,0.275,17.0
mkg_y_mhyper_native,L4,"[3,""tail"",3,""image_only""]",2,0.875,0.125,22.5
mkg_y_mhyper_native,L4,"[3,""tail"",3,""text_and_image""]",5,0.85,0.0,80.8
mkg_y_mhyper_native,L4,"[3,""tail"",2,""text_and_image""]",2,0.55,0.0,42.5
mkg_y_mhyper_native,L4,"[3,""tail"",2,""image_only""]",2,0.55,0.35,24.5
mkg_y_mhyper_native,L4,"[3,""tail"",1,""text_and_image""]",5,0.25,0.04999999999999999,96.8
mkg_y_mhyper_native,L4,"[3,""tail"",1,""image_only""]",2,0.95,0.0,35.0
mkg_y_mhyper_native,L4,"[3,""tail"",0,""text_and_image""]",2,0.65,0.19999999999999998,23.5
mkg_y_mhyper_native,L4,"[4,""tail"",2,""text_and_image""]",5,0.95,0.0,93.6
mkg_y_mhyper_native,L4,"[4,""tail"",1,""text_and_image""]",5,0.95,0.0,115.2
mkg_y_mhyper_native,L4,"[4,""tail"",3,""text_and_image""]",2,0.8,0.0,31.0
mkg_y_mhyper_native,L4,"[4,""tail"",1,""text_only""]",2,0.95,0.0,14.5
mkg_y_mhyper_native,L4,"[4,""tail"",0,""text_and_image""]",2,0.15,0.0,13.0
mkg_y_mhyper_native,L4,"[5,""tail"",1,""text_and_image""]",3,1.0,0.0,46.666666666666664
mkg_y_mhyper_native,L4,"[5,""tail"",0,""text_and_image""]",2,0.1,0.1,21.0
mkg_y_mhyper_native,L4,"[6,""tail"",3,""text_and_image""]",2,0.15,0.0,32.5
mkg_y_mhyper_native,L4,"[6,""tail"",3,""image_only""]",2,0.47500000000000003,0.42500000000000004,11.0
mkg_y_mhyper_native,L4,"[6,""tail"",2,""text_and_image""]",2,0.6,0.4,28.0
mkg_y_mhyper_native,L4,"[6,""tail"",1,""image_only""]",2,0.55,0.35,13.0
