pair_id,level,outer_fold,global_alpha,minimum_support,training_adaptive_gain,oof_delta_mrr,support_coverage,supported_group_count,degree_edges
mkg_y_mhyper_native,L0,1,0.35,1,0.0,0.0,1.0,1,
mkg_y_mhyper_native,L1,1,0.35,1,0.0005132248204959935,-0.0009702426787214535,1.0,2,
mkg_y_mhyper_native,L2,1,0.35,25,0.00466214125203268,-0.0017980940881151492,0.9680451127819549,11,
mkg_y_mhyper_native,L3,1,0.35,25,0.005759207090091904,-0.002959626304977725,0.9680451127819549,22,
mkg_y_mhyper_native,L4,1,0.35,10,0.009491022247402064,-0.002508723093664399,0.8402255639097744,76,"[0.6931471824645996, 1.3862943649291992, 1.7917594909667969]"
mkg_y_mhyper_native,L0,2,0.35,1,0.0,0.0,1.0,1,
mkg_y_mhyper_native,L1,2,0.35,1,0.0005163898148619103,-0.0009745249880705191,1.0,2,
mkg_y_mhyper_native,L2,2,0.35,25,0.0031540533215498987,0.004050175879920019,0.9644859813084112,11,
mkg_y_mhyper_native,L3,2,0.35,25,0.004875348070247565,0.0017132481965592063,0.9644859813084112,22,
mkg_y_mhyper_native,L4,2,0.35,50,0.004292374132362103,0.005024341921419093,0.5364485981308411,20,"[0.6931471824645996, 1.3862943649291992, 1.7917594909667969]"
mkg_y_mhyper_native,L0,3,0.35,1,0.0,0.0,1.0,1,
mkg_y_mhyper_native,L1,3,0.35,1,0.00040626436570668335,-0.0014241645772449165,1.0,2,
mkg_y_mhyper_native,L2,3,0.35,25,0.004170382012316079,0.00019674014619022167,0.9662921348314607,11,
mkg_y_mhyper_native,L3,3,0.35,25,0.005757379310977717,-0.0006230965898604383,0.9662921348314607,22,
mkg_y_mhyper_native,L4,3,0.35,10,0.009559485924489188,-0.0007972780064029226,0.8473782771535581,74,"[0.6931471824645996, 1.3862943649291992, 1.7917594909667969]"
mkg_y_mhyper_native,L0,4,0.35,1,0.0,0.0,1.0,1,
mkg_y_mhyper_native,L1,4,0.35,1,0.0004764889197777992,-0.0026093849258534336,1.0,2,
mkg_y_mhyper_native,L2,4,0.35,25,0.003578779261543374,-0.000665094958128983,0.9644859813084112,11,
mkg_y_mhyper_native,L3,4,0.35,25,0.005042518505662794,0.001100900072101004,0.9644859813084112,22,
mkg_y_mhyper_native,L4,4,0.35,50,0.00512856914366432,-0.00011696835712746643,0.5383177570093458,21,"[0.6931471824645996, 1.3862943649291992, 1.7917594909667969]"
mkg_y_mhyper_native,L0,5,0.35,1,0.0,0.0,1.0,1,
mkg_y_mhyper_native,L1,5,0.35,1,0.0,0.0,1.0,2,
mkg_y_mhyper_native,L2,5,0.35,25,0.0035693096040728687,0.002325341561075046,0.9735349716446124,11,
