dataset,pair_id,level,scope,value,count,delta_mrr,clustered_ci95_low,clustered_ci95_high
mkg_y,mkg_y_mhyper_adamf,L3,direction,head,7995,0.0051152206702589735,0.0019071470112098992,0.00840799990494485
mkg_y,mkg_y_mhyper_adamf,L3,direction,tail,7995,0.0025590936889735884,-0.0003919528704435731,0.0055039840831357205
mkg_y,mkg_y_mhyper_adamf,L4,seed,1,5330,0.004294835992645877,0.001633933429511095,0.0070453674843714295
mkg_y,mkg_y_mhyper_adamf,L4,seed,2,5330,0.002267611175206167,-0.000651666128264816,0.005168514507124008
mkg_y,mkg_y_mhyper_adamf,L4,seed,3,5330,0.003506282948753131,0.0005917875438108314,0.006355861769134212
mkg_y,mkg_y_mhyper_adamf,L4,direction,head,7995,0.003127553925946545,1.5890615933232486e-05,0.0062524389127886874
mkg_y,mkg_y_mhyper_adamf,L4,direction,tail,7995,0.0035849328184569063,0.0010002548199524858,0.0062334292800986305
mkg_y,mkg_y_mhyper_adamf,L5,seed,1,5330,0.0075601726902871326,0.004803780840722804,0.01039451942985931
mkg_y,mkg_y_mhyper_adamf,L5,seed,2,5330,0.005054658704944445,0.0021964378196416452,0.007918587823405794
mkg_y,mkg_y_mhyper_adamf,L5,seed,3,5330,0.0077047387442002995,0.005136259878444358,0.01036143071811117
mkg_y,mkg_y_mhyper_adamf,L5,direction,head,7995,0.00769093772273402,0.0049221483273055415,0.01051539184878015
mkg_y,mkg_y_mhyper_adamf,L5,direction,tail,7995,0.005855442370220566,0.003571893991683931,0.008258928363181478
mkg_y,mkg_y_native_adamf,L0,seed,1,5330,0.0,0.0,0.0
mkg_y,mkg_y_native_adamf,L0,seed,2,5330,0.0,0.0,0.0
mkg_y,mkg_y_native_adamf,L0,seed,3,5330,0.0,0.0,0.0
mkg_y,mkg_y_native_adamf,L0,direction,head,7995,0.0,0.0,0.0
mkg_y,mkg_y_native_adamf,L0,direction,tail,7995,0.0,0.0,0.0
mkg_y,mkg_y_native_adamf,L1,seed,1,5330,-0.0005873273337040978,-0.0026739045392836563,0.0014780749399300477
mkg_y,mkg_y_native_adamf,L1,seed,2,5330,-0.0002761255178320173,-0.0023676856649262456,0.0018301435808102708
mkg_y,mkg_y_native_adamf,L1,seed,3,5330,-0.0013158399830485333,-0.003219557495895115,0.0005804744505332536
mkg_y,mkg_y_native_adamf,L1,direction,head,7995,-0.00045678309678321837,-0.0018409778093651204,0.0008756665141707458
mkg_y,mkg_y_native_adamf,L1,direction,tail,7995,-0.0009960787929398805,-0.0028004831888932026,0.0007742536697646369
mkg_y,mkg_y_native_adamf,L2,seed,1,5330,0.0014253276969643095,-0.0011172525646527371,0.003893112287981659
mkg_y,mkg_y_native_adamf,L2,seed,2,5330,-0.000519687658849513,-0.002875558466878232,0.0018022782007882578
mkg_y,mkg_y_native_adamf,L2,seed,3,5330,0.001457520810125665,-0.001178261429162123,0.0040940768581902015
mkg_y,mkg_y_native_adamf,L2,direction,head,7995,0.0016350400460706572,-0.00040448222367824683,0.0036944542664030314
mkg_y,mkg_y_native_adamf,L2,direction,tail,7995,-5.95994805770161e-05,-0.0020919451404768463,0.0020020424435031117
mkg_y,mkg_y_native_adamf,L3,seed,1,5330,-0.0006265487845797981,-0.003280961018917244,0.002119607050936953
mkg_y,mkg_y_native_adamf,L3,seed,2,5330,-0.0005534695717781406,-0.0030321601512354724,0.0019859008878324383
mkg_y,mkg_y_native_adamf,L3,seed,3,5330,3.239598360149943e-05,-0.0027723452745723235,0.0028623419157382483
mkg_y,mkg_y_native_adamf,L3,direction,head,7995,0.0011630364128809327,-0.0010416372068277116,0.003340232729351374
mkg_y,mkg_y_native_adamf,L3,direction,tail,7995,-0.0019281179947185588,-0.004091447483242024,0.00030512660402625677
mkg_y,mkg_y_native_adamf,L4,seed,1,5330,-0.00013893381641714482,-0.002106682232100876,0.001855742573720257
mkg_y,mkg_y_native_adamf,L4,seed,2,5330,-0.001366441451629287,-0.0030823157120236032,0.00034505015278959696
mkg_y,mkg_y_native_adamf,L4,seed,3,5330,-8.064908206512407e-05,-0.0019600757875326788,0.0017502595927657637
mkg_y,mkg_y_native_adamf,L4,direction,head,7995,-7.907614811526059e-05,-0.0015817046180377282,0.0014113015260916887
mkg_y,mkg_y_native_adamf,L4,direction,tail,7995,-0.0009782734186257766,-0.0025620802503954925,0.0005805044023585956
mkg_y,mkg_y_native_adamf,L5,seed,1,5330,-0.0004859730167181421,-0.0023055960703533616,0.0013328872090044408
mkg_y,mkg_y_native_adamf,L5,seed,2,5330,-0.0003849744963399704,-0.002143689104001935,0.0013405339060663711
mkg_y,mkg_y_native_adamf,L5,seed,3,5330,-0.0004523860502081758,-0.0021836868760723386,0.001318175004956159
mkg_y,mkg_y_native_adamf,L5,direction,head,7995,9.824776937744477e-05,-0.0013834905116881825,0.001595631602333468
mkg_y,mkg_y_native_adamf,L5,direction,tail,7995,-0.0009804701448883038,-0.0023644168201319062,0.00038290813825479173
