dataset,pair_id,representation,delta_alpha,count,mae,smooth_l1,spearman,positive_prevalence,positive_auprc,positive_auprc_lift,positive_auroc,harmful_prevalence,harmful_auprc,harmful_auprc_lift,harmful_auroc,positive_vs_harmful_auroc,positive_vs_harmful_auroc_lift,nonzero_activity_auprc,nonzero_activity_prevalence,nonzero_activity_auprc_lift,highest_10pct_actual_mean_advantage,highest_10pct_positive_rate,highest_10pct_harmful_rate,h1_style_pass,n_queries
db15k,db15k_mhyper_adamf,R0,-0.3,47532,0.05518404411389458,0.04986233941660268,0.1289947164256376,0.373032904148784,0.4963937207620659,0.12336081661328191,0.6519391282762956,0.2756458806698645,0.2581926868801285,-0.017453193789736032,0.4556546973670204,0.5614983812127268,0.06149838121272677,0.5518539980393556,0.6486787848186485,-0.09682478677929285,-0.0028815257134386482,0.5386071954555018,0.32169156322322745,False,47532
db15k,db15k_mhyper_adamf,R0,-0.2,47532,0.039034340508934416,0.03470571069937055,0.1091013921014796,0.363839097870908,0.46736864664550903,0.10352954877460102,0.6354768428514227,0.23701927122780442,0.21718079198013004,-0.019838479247674373,0.4459669711800363,0.5424797126484013,0.042479712648401335,0.5145388521292295,0.6008583690987125,-0.08631951696948303,-0.003201643217448947,0.5099936881969283,0.29833789185777404,False,47532
db15k,db15k_mhyper_adamf,R0,-0.1,47532,0.020535064252422856,0.017683006031198933,0.055992750101801124,0.34023394765631576,0.3886191097069733,0.048385162050657515,0.5811873562960925,0.18360262559959606,0.16321658800352662,-0.02038603759606944,0.444704105390314,0.5054461165026668,0.005446116502666798,0.4652579950855173,0.5238365732559118,-0.058578578170394524,-0.004615039411128759,0.3904902167052388,0.23753418893330527,False,47532
db15k,db15k_mhyper_adamf,R0,-0.05,47532,0.010842013446626405,0.00876703242322443,0.011309638068428877,0.31027518303458723,0.32475926339327177,0.014484080358684537,0.5356058745191546,0.14802659261129344,0.13280616189984515,-0.015220430711448296,0.44885932206416446,0.47849776375763964,-0.021502236242360362,0.42740030680017843,0.45830177564588065,-0.030901468845702218,-0.006152473906056383,0.3103303176940879,0.18619819061645276,False,47532
db15k,db15k_mhyper_adamf,R1,-0.3,47532,0.05664159204009495,0.05047002622983369,0.15112204835179696,0.373032904148784,0.5164629429706985,0.14343003882191452,0.6730452546701648,0.2756458806698645,0.2670875581998079,-0.008558322470056612,0.4535817520238112,0.5693095529184208,0.06930955291842078,0.5422587616330957,0.6486787848186485,-0.10642002318555277,0.0002670662551697671,0.5407111298127498,0.3709236271828319,False,47532
db15k,db15k_mhyper_adamf,R1,-0.2,47532,0.040215640728507696,0.03512548717370046,0.13391547915853194,0.363839097870908,0.49470287285804226,0.13086377498713425,0.6630534091466173,0.23701927122780442,0.22066569517658124,-0.016353576051223173,0.4395259971763756,0.5521053762202862,0.052105376220286215,0.4967083752150812,0.6008583690987125,-0.10414999388363128,-0.0030689345176832614,0.522196507468967,0.34294130023143277,False,47532
db15k,db15k_mhyper_adamf,R1,-0.1,47532,0.021354408144397746,0.017869774955535545,0.09614826129172756,0.34023394765631576,0.43101040859553125,0.09077646093921549,0.6279419894851646,0.18360262559959606,0.15956545944429415,-0.02403716615530191,0.42620747714089985,0.5204855604191461,0.020485560419146065,0.43864008937282434,0.5238365732559118,-0.08519648388308748,-0.003452998958133876,0.45949926362297494,0.2697243845992005,False,47532
db15k,db15k_mhyper_adamf,R1,-0.05,47532,0.011434994653831469,0.008863857635513832,0.06335223727416331,0.31027518303458723,0.3634411267047352,0.053165943670147986,0.5920385270246337,0.14802659261129344,0.1245955693215981,-0.023431023289695346,0.4255242946530672,0.49711315054060384,-0.002886849459396157,0.3954819830051093,0.45830177564588065,-0.06281979264077137,-0.002976443855483658,0.3721859877971807,0.19398274773827057,False,47532
db15k,db15k_mhyper_adamf,R2,-0.3,47532,0.055165761466790864,0.04969674355491432,0.12887744813566215,0.373032904148784,0.48970011212091574,0.11666720797213176,0.6406730064905887,0.2756458806698645,0.27285320057522283,-0.002792680094641675,0.46754602940453405,0.5625952336371446,0.06259523363714459,0.5793652062341391,0.6486787848186485,-0.06931357858450937,0.0005197952667412247,0.5386071954555018,0.31706290763728173,False,47532
db15k,db15k_mhyper_adamf,R2,-0.2,47532,0.03927842957013468,0.034730154638550725,0.09956249835897531,0.363839097870908,0.4643341363682169,0.1004950384973089,0.6223020798423865,0.23701927122780442,0.22509733677997518,-0.011921934447829241,0.45086862203802935,0.538374465809915,0.03837446580991499,0.5454060428361962,0.6008583690987125,-0.05545232626251628,-0.0035459343269108176,0.5120976225541763,0.30359772775089416,False,47532
db15k,db15k_mhyper_adamf,R2,-0.1,47532,0.020891822409450898,0.017747867533115264,0.05221413233922627,0.34023394765631576,0.40274714855867566,0.0625132009023599,0.5790309399560591,0.18360262559959606,0.16608868666344326,-0.0175139389361528,0.4398805293002992,0.5019250204792579,0.0019250204792579106,0.49660445750689086,0.5238365732559118,-0.027232115749020958,-0.004487751677815158,0.44035346097201766,0.24279402482642543,False,47532
db15k,db15k_mhyper_adamf,R2,-0.05,47532,0.01107115505370264,0.00880092508466317,0.02445092342478479,0.31027518303458723,0.3473921193229984,0.03711693628841117,0.5497792214143106,0.14802659261129344,0.13056992587264998,-0.01745666673864346,0.44025192291537185,0.4823145096865545,-0.017685490313445518,0.45369467276001474,0.45830177564588065,-0.00460710288586591,-0.003040091799462274,0.36566379128971177,0.21986114033242163,False,47532
db15k,db15k_mhyper_adamf,R3,-0.3,47532,0.05566083074912109,0.04998349477343354,0.1299241582573807,0.373032904148784,0.4930415213123183,0.12000861716353434,0.6460302600826492,0.2756458806698645,0.2707728082531287,-0.004873072416735791,0.4611794340639606,0.560942517789967,0.060942517789966955,0.564094950409212,0.6486787848186485,-0.08458383440943651,0.00018717882782672725,0.5413423101199243,0.3006522196507469,False,47532
db15k,db15k_mhyper_adamf,R3,-0.2,47532,0.039560176671692704,0.03489244707283351,0.11106388177298744,0.363839097870908,0.46895104436504875,0.10511194649414074,0.6308272774549156,0.23701927122780442,0.22586062508375898,-0.011158646144045437,0.45347947526878174,0.5456994861128183,0.045699486112818266,0.5259514612626436,0.6008583690987125,-0.0749069078360689,-0.0048549000085751776,0.5114664422470019,0.2728802861350726,False,47532
