dataset,pair_id,representation,count,mae,smooth_l1,spearman,positive_prevalence,positive_auprc,positive_auprc_lift,positive_auroc,harmful_prevalence,harmful_auprc,harmful_auprc_lift,harmful_auroc,positive_vs_harmful_auroc,positive_vs_harmful_auroc_lift,nonzero_activity_auprc,nonzero_activity_prevalence,nonzero_activity_auprc_lift,highest_10pct_actual_mean_advantage,highest_10pct_positive_rate,highest_10pct_harmful_rate,h1_style_pass
db15k,db15k_mhyper_adamf,R0,190128,0.031398865580469566,0.02775452214259915,0.0837013807285646,0.34684528317764873,0.41526887281865643,0.0684235896410077,0.5947687985710008,0.21107359252713961,0.2081713073889781,-0.0029022851381615145,0.47214569551995894,0.536759018264014,0.036759018264013954,0.509995597406833,0.5579188757047884,-0.047923278297955396,-0.004242652350961134,0.4439068006101089,0.2639772787040446,False
db15k,db15k_mhyper_adamf,R1,190128,0.032411658891707974,0.02808228649864588,0.10636092859941226,0.34684528317764873,0.43291852436990225,0.08607324119225351,0.6192077909044281,0.21107359252713961,0.21401921542735308,0.002945622900213468,0.47309882182293916,0.551619161288784,0.051619161288783966,0.49244821418043155,0.5579188757047884,-0.06547066152435682,-0.0019790012589257755,0.4567927207699995,0.27507494871929733,False
db15k,db15k_mhyper_adamf,R2,190128,0.03160179212501977,0.027743922702810866,0.0840279307294672,0.34684528317764873,0.42611678938784114,0.07927150621019241,0.5938183487785683,0.21107359252713961,0.21430417249973868,0.003230579972599068,0.47094178658136465,0.5351420188427218,0.035142018842721834,0.5373987482821619,0.5579188757047884,-0.020520127422626433,-0.003304580489071905,0.47777836217324987,0.27512754431178665,False
db15k,db15k_mhyper_adamf,R3,190128,0.03185591428255563,0.027884109828890474,0.09322602880876953,0.34684528317764873,0.4228689483657062,0.07602366518805748,0.5973898198992555,0.21107359252713961,0.21678646832216708,0.005712875795027467,0.48253856698739883,0.547581531920522,0.04758153192052195,0.5158651861784279,0.5579188757047884,-0.04205368952636046,-0.002273656224841997,0.45994845631936043,0.2311576289906906,False
db15k,db15k_mhyper_native,R0,190128,0.020616092576582163,0.017722610599789367,0.03959115470014592,0.3302880164941513,0.3501849024626275,0.01989688596847622,0.5411493366927387,0.19033493225616427,0.19138676212089026,0.0010518298647259894,0.49979671368217127,0.5272233308740542,0.027223330874054152,0.48853482149567573,0.5206229487503156,-0.03208812725463983,-0.0008593036545182687,0.34471151317519594,0.16315152790196183,False
db15k,db15k_mhyper_native,R1,190128,0.02057826622311238,0.017682046941800672,0.09303412259254495,0.3302880164941513,0.39719231989076936,0.06690430339661807,0.5894703814301997,0.19033493225616427,0.18744087358723935,-0.0028940586689249204,0.49214864743410686,0.5545398314737933,0.054539831473793265,0.5003356653922983,0.5206229487503156,-0.020287283358017216,0.002472175880242125,0.43654341766159993,0.1843475516751696,False
db15k,db15k_mhyper_native,R2,190128,0.020690949109349318,0.0177112893859522,0.04403414145643915,0.3302880164941513,0.3951375962575183,0.06484957976336703,0.5700015120063446,0.19033493225616427,0.17400934399325604,-0.016325588262908225,0.44580098693958287,0.5026046849885757,0.0026046849885756895,0.5581454988367351,0.5206229487503156,0.03752255008641958,0.0026592193974598324,0.4561615736601273,0.26539735970125705,False
db15k,db15k_mhyper_native,R3,190128,0.02071013366221617,0.017740972949970197,0.0712876858885177,0.3302880164941513,0.39322051889775395,0.06293250240360265,0.5748640234653125,0.19033493225616427,0.18681672507362113,-0.0035182071825431427,0.48331344811935084,0.5371414320677927,0.037141432067792746,0.49947950649681344,0.5206229487503156,-0.02114344225350212,0.002421446786909727,0.4393835796560248,0.19539262609793298,False
db15k,db15k_native_adamf,R0,190128,0.03442418199660353,0.03065869348978249,0.10604660633507362,0.4010771690650509,0.4682372689459403,0.06716009988088939,0.5802989007181448,0.2105949676007742,0.2204645093685135,0.009869541767739298,0.5171474993245387,0.5620168571003588,0.06201685710035876,0.5845826728868132,0.6116721366658251,-0.02708946377901189,0.0028367963289897976,0.5149108504707306,0.18408457371272288,True
db15k,db15k_native_adamf,R1,190128,0.035441872750795196,0.031065757800434374,0.08857072563347984,0.4010771690650509,0.4898444904921274,0.0887673214270765,0.600775292142296,0.2105949676007742,0.2090608554926887,-0.0015341121080854891,0.480804937593455,0.5444463199803763,0.04444631998037629,0.5778402196317834,0.6116721366658251,-0.03383191703404165,0.004219917241964299,0.5423657497501709,0.2173249881659917,False
db15k,db15k_native_adamf,R2,190128,0.03515093808101322,0.030956853399200828,0.09003566304650441,0.4010771690650509,0.47596640131942597,0.07488923225437505,0.5810837064701996,0.2105949676007742,0.219340466088247,0.008745498487472803,0.501901492266728,0.5500580149563509,0.05005801495635087,0.5950715587804983,0.6116721366658251,-0.01660057788532676,0.004041867108433236,0.5388944406458739,0.1981801924998685,True
db15k,db15k_native_adamf,R3,190128,0.03521479911827678,0.031014127968727143,0.08656336951354537,0.4010771690650509,0.46977256762800684,0.06869539856295592,0.5738699685437606,0.2105949676007742,0.21754801471303267,0.00695304711225847,0.5007478660304836,0.544957173314778,0.044957173314778,0.6042407859513873,0.6116721366658251,-0.00743135071443779,0.0066980037694453955,0.5229053805291116,0.1850838899700205,True
