dataset,pair_id,representation,direction,count,mae,smooth_l1,spearman,positive_prevalence,positive_auprc,positive_auprc_lift,positive_auroc,harmful_prevalence,harmful_auprc,harmful_auprc_lift,harmful_auroc,positive_vs_harmful_auroc,positive_vs_harmful_auroc_lift,nonzero_activity_auprc,nonzero_activity_prevalence,nonzero_activity_auprc_lift,highest_10pct_actual_mean_advantage,highest_10pct_positive_rate,highest_10pct_harmful_rate,h1_style_pass,n_queries
db15k,db15k_mhyper_adamf,R0,head,95064,0.02457988284749255,0.021248503382618373,0.054534362634709344,0.43762097113523524,0.48300431981367975,0.04538334867844451,0.5756774675157765,0.2666624589750063,0.25022649762363147,-0.016435961351374817,0.45681149790983155,0.508199342183803,0.008199342183803027,0.6395511786797508,0.7042834301102415,-0.06473225143049077,-0.0025461751879319425,0.47832947612034504,0.3398905954134231,False,23766
db15k,db15k_mhyper_adamf,R0,tail,95064,0.03821784831344658,0.034260540902579927,0.09999246920969113,0.2560695952200623,0.32693347368491554,0.07086387846485326,0.5801969771621894,0.1554847260792729,0.18200786140665517,0.026523135327382263,0.5306502783815149,0.5820940099745957,0.0820940099745957,0.41202078875013354,0.41155432129933517,0.00046646745079836904,-0.00724193683531924,0.3864927414264675,0.1684199452977067,False,23766
db15k,db15k_mhyper_adamf,R1,head,95064,0.025336019232158502,0.021455011028872293,0.06594932709633836,0.43762097113523524,0.49693553392082773,0.059314562785592495,0.597698289298993,0.2666624589750063,0.2493648365053843,-0.017297622469621993,0.4493797852244892,0.5141378339893574,0.014137833989357418,0.6140030048821943,0.7042834301102415,-0.09028042522804725,-0.0007434383521320967,0.4869556069850621,0.34588680833158003,False,23766
db15k,db15k_mhyper_adamf,R1,tail,95064,0.03948729855125744,0.03470956196841947,0.1283769841448606,0.2560695952200623,0.3322488041380754,0.07617920891801311,0.5924518039076765,0.1554847260792729,0.1991198353832309,0.043635109303957975,0.5601893432386829,0.6141008475206611,0.11410084752066108,0.4097005759910789,0.41155432129933517,-0.0018537453082562716,-0.005147746035000979,0.389753839680202,0.13770250368188514,False,23766
db15k,db15k_mhyper_adamf,R2,head,95064,0.02492889330258165,0.021268421983249585,0.05202300552885255,0.43762097113523524,0.48849960599115255,0.050878634855917315,0.5729426887033858,0.2666624589750063,0.2507878916174692,-0.01587456735753706,0.4540870425286203,0.505314378092314,0.005314378092314054,0.6581366198085152,0.7042834301102415,-0.04614681030172629,-0.0008413515116522982,0.49758047548916473,0.3327372185987797,False,23766
db15k,db15k_mhyper_adamf,R2,tail,95064,0.03827469094745788,0.03421942342237214,0.1043890271856826,0.2560695952200623,0.33478245499285586,0.07871285977279358,0.5781717867179546,0.1554847260792729,0.19585988136672358,0.04037515528745067,0.5381031119396394,0.5854279127412102,0.0854279127412102,0.4369141315880119,0.41155432129933517,0.025359810288676732,-0.007057392071569911,0.40847885545970963,0.16757837155480748,False,23766
db15k,db15k_mhyper_adamf,R3,head,95064,0.025029657183738757,0.02137923075685438,0.06296976363143221,0.43762097113523524,0.49248486391607926,0.054863892780844026,0.5799520265874994,0.2666624589750063,0.25273072299769467,-0.013931735977311621,0.4621103498152695,0.5155288586584604,0.015528858658460432,0.6376803582776731,0.7042834301102415,-0.06660307183256842,-0.0016432407328124884,0.501051967178624,0.29086892488954347,False,23766
db15k,db15k_mhyper_adamf,R3,tail,95064,0.038682171381372504,0.03438898890092657,0.11303941386289652,0.2560695952200623,0.3291363722908107,0.07306677707074843,0.580645260937304,0.1554847260792729,0.19921915438191026,0.04373442830263735,0.5521748843605789,0.6003819716428229,0.10038197164282292,0.4251399300136684,0.41155432129933517,0.01358560871433323,-0.0035334191030231402,0.3867031348621923,0.14148958552493163,False,23766
db15k,db15k_mhyper_native,R0,head,95064,0.01645486367949805,0.013715959970700435,0.02898744335738191,0.42116889674324665,0.4329346444468357,0.011765747703589069,0.5306370594248117,0.2527981149541362,0.2521958403577905,-0.0006022745963456533,0.5019608526994603,0.5191196821948909,0.019119682194890908,0.6287774022813222,0.6739670116973828,-0.04518960941606065,1.8052761602665228e-06,0.4168945928887019,0.2154428781822007,False,23766
db15k,db15k_mhyper_native,R0,tail,95064,0.02477732147366628,0.021729261228878298,0.041784432359971924,0.23940713624505597,0.2558612765637871,0.01645414031873113,0.5284494590797081,0.1278717495581924,0.1454516369855814,0.017579887427389,0.5291533584651996,0.5465734903176843,0.04657349031768432,0.3726537023798079,0.36727888580324836,0.005374816576559527,-0.0017103594503734712,0.2682516305491269,0.10908899642331159,False,23766
db15k,db15k_mhyper_native,R1,head,95064,0.016456003866452767,0.013694474118940245,0.08134079407265306,0.42116889674324665,0.4677991859579568,0.04663028921471013,0.568854707380658,0.2527981149541362,0.251346324793479,-0.0014517901606571626,0.512380459053338,0.5508591982215764,0.05085919822157636,0.6305043033404547,0.6739670116973828,-0.043462708356928115,0.002517102201643029,0.4831685251420156,0.20555438670313486,False,23766
db15k,db15k_mhyper_native,R1,tail,95064,0.024700528579771994,0.0216696197646611,0.09931982378878057,0.23940713624505597,0.321442103925278,0.08203496768022203,0.5995640100388463,0.1278717495581924,0.13799898359138224,0.010127234033189852,0.4890130514398203,0.5625411545423359,0.06254115454233589,0.39307823754297977,0.36727888580324836,0.025799351739731413,0.0020328264358772195,0.38849147906585313,0.16273932253313697,True,23766
db15k,db15k_mhyper_native,R2,head,95064,0.01673203062112403,0.013734661661951968,0.0189184557859992,0.42116889674324665,0.46223024680489583,0.04106135006164918,0.5473954179614127,0.2527981149541362,0.2246116691097748,-0.02818644584436139,0.44439659201769716,0.485823034009003,-0.014176965990996993,0.6870558315474117,0.6739670116973828,0.013088819850028854,0.004320617097625556,0.49579213128550387,0.30212497370082053,False,23766
db15k,db15k_mhyper_native,R2,tail,95064,0.024649867597574603,0.02168791710995243,0.06639657821447649,0.23940713624505597,0.30732121839853477,0.0679140821534788,0.568270138659338,0.1278717495581924,0.13712400135544067,0.009252251797248284,0.48929486642766434,0.5401597072034002,0.04015970720340023,0.42138515590401837,0.36727888580324836,0.054106270100770015,-0.0005278008339526041,0.3750262991794656,0.1755733221123501,False,23766
db15k,db15k_mhyper_native,R3,head,95064,0.0165890905523455,0.013755857347511311,0.05535970361590596,0.42116889674324665,0.4659121105097067,0.044743213766460066,0.5529188628070806,0.2527981149541362,0.24472868471733827,-0.008069430236797903,0.4978994620225366,0.5301367968697048,0.03013679686970483,0.6412550108237673,0.6739670116973828,-0.03271200087361548,0.003443200726803981,0.500525983589312,0.22101830422890806,False,23766
